window,kind,rise,pullback,tp,stop,breakout_veto,exit_mode,signals,executed,execution_rate,net_win_rate,win_wilson_low95,avg_net_per_trade,median_net_per_trade,avg_net_per_signal,total_pnl_1000,pf,worst_pnl_1000,max_losing_streak,tp_count,trail_count,stop_count
full,limit,0.002,,,,,fixed,61,55,0.9016393442622951,0.5454545454545454,0.4152269024186158,-0.0030942012332296175,0.0017562747961160814,-0.002789853570944737,-6606.114822200512,0.5436035140396999,-6912.2442402054,6,0,0,0
full,limit,0.002,,,0.04,,fixed,61,55,0.9016393442622951,0.5454545454545454,0.4152269024186158,-0.0016394668214242153,0.0017562747961160814,-0.0014782077898087187,-1590.2840611689453,0.8318703625864207,-2472.100097103139,6,0,0,5
full,limit,0.002,,0.015,,,fixed,61,55,0.9016393442622951,0.5818181818181818,0.45033103735231106,-0.0024648138459508807,0.0025531941354657367,-0.0022223731397917777,-5698.743270818311,0.587500412831359,-6912.2442402054,6,18,0,0
full,limit,0.002,,0.015,0.04,,fixed,61,55,0.9016393442622951,0.5818181818181818,0.45033103735231106,-0.0010100794341454783,0.0025531941354657367,-0.000910727358655759,-682.9125097867433,0.9223902933102867,-2472.100097103139,6,18,0,5
full,limit,0.002,,0.02,,,fixed,61,55,0.9016393442622951,0.5636363636363636,0.43269816346414797,-0.0018389226416488224,0.0023275670699776335,-0.0016580450047653317,-4545.016957050819,0.6745838763183629,-6912.2442402054,6,13,0,0
full,limit,0.002,,0.025,,,fixed,61,55,0.9016393442622951,0.5454545454545454,0.4152269024186158,-0.0031834293767487166,0.0017562747961160814,-0.0028703051757570396,-6860.072333112312,0.5260583579709833,-6912.2442402054,6,5,0,0
full,limit,0.002,,0.03,,,fixed,61,55,0.9016393442622951,0.5454545454545454,0.4152269024186158,-0.003023660641136207,0.0017562747961160814,-0.0027262513977457602,-6437.4847601667425,0.5552536548275713,-6912.2442402054,6,3,0,0
full,limit,0.003,,,,,fixed,61,53,0.8688524590163934,0.5283018867924528,0.3966008127870664,-0.002917401640254608,0.002364864666752948,-0.002534791589073676,-5862.972187329931,0.5805706696880695,-6853.311799766111,6,0,0,0
full,limit,0.003,,,0.04,,fixed,61,53,0.8688524590163934,0.5283018867924528,0.3966008127870664,-0.0012236329450305435,0.002364864666752948,-0.001063156493223259,-783.9319133012935,0.9119119265458709,-2474.5672628687116,6,0,0,4
full,limit,0.003,,0.015,,,fixed,61,53,0.8688524590163934,0.5660377358490566,0.4326535142760763,-0.0022958431544448294,0.003320750457744361,-0.0019947489702553437,-5274.742049694535,0.6062900677929929,-6853.311799766111,6,17,0,0
full,limit,0.003,,0.015,0.04,,fixed,61,53,0.8688524590163934,0.5660377358490566,0.4326535142760763,-0.0006020744592207648,0.003320750457744361,-0.0005231138744049268,-195.70177566589732,0.9764738916363497,-2474.5672628687116,6,17,0,4
full,limit,0.003,,0.02,,,fixed,61,53,0.8688524590163934,0.5471698113207547,0.4145397548710615,-0.001771360881964933,0.0027500277674057313,-0.0015390512581006795,-4124.643255055692,0.695182948935424,-6853.311799766111,6,11,0,0
full,limit,0.003,,0.025,,,fixed,61,53,0.8688524590163934,0.5283018867924528,0.3966008127870664,-0.0030381257027238505,0.002364864666752948,-0.0026396829876125256,-6203.426514015714,0.5562150142830848,-6853.311799766111,6,4,0,0
full,limit,0.003,,0.03,,,fixed,61,53,0.8688524590163934,0.5283018867924528,0.3966008127870664,-0.002660561977469127,0.002364864666752948,-0.0023116358164895693,-5642.019836545202,0.5963773106816523,-6853.311799766111,6,4,0,0
full,limit,0.004,,,,,fixed,61,47,0.7704918032786885,0.46808510638297873,0.3333168707656108,-0.0035672237811331647,-0.0012132594210391753,-0.0027485166838239136,-6165.369780750879,0.5427095252609878,-6794.379359326809,6,0,0,0
full,limit,0.004,,,0.04,,fixed,61,47,0.7704918032786885,0.46808510638297873,0.3333168707656108,-0.0017473406185537026,-0.0012132594210391753,-0.0013463116241315414,-1233.1646629508882,0.8557733799350742,-2477.0344286342925,6,0,0,4
full,limit,0.004,,0.015,,,fixed,61,47,0.7704918032786885,0.5106382978723404,0.372424537482272,-0.003073318447169377,0.002948469371720084,-0.002367966672409192,-5838.453713424048,0.5501933350933724,-6794.379359326809,6,14,0,0
full,limit,0.004,,0.015,0.04,,fixed,61,47,0.7704918032786885,0.5106382978723404,0.372424537482272,-0.0012534352845899157,0.002948469371720084,-0.0009657616127168202,-906.2485956240572,0.8873905434887818,-2477.0344286342925,6,14,0,4
full,limit,0.004,,0.02,,,fixed,61,47,0.7704918032786885,0.48936170212765956,0.35275555033682504,-0.0025399575996025202,-0.0008204248315259841,-0.001957016511169155,-4746.514101395689,0.6375680244331096,-6794.379359326809,6,10,0,0
full,limit,0.004,,0.025,,,fixed,61,47,0.7704918032786885,0.46808510638297873,0.3333168707656108,-0.0036092556435520892,-0.0012132594210391753,-0.0027809018892942326,-6521.04208917945,0.5163290218107935,-6794.379359326809,6,4,0,0
full,limit,0.004,,0.03,,,fixed,61,47,0.7704918032786885,0.46808510638297873,0.3333168707656108,-0.003608245630039038,-0.0012132594210391753,-0.002780123682161226,-6191.029721631142,0.5408063066440695,-6794.379359326809,6,3,0,0
full,limit,0.005,,,,,fixed,61,45,0.7377049180327869,0.4666666666666667,0.3293513206501164,-0.00343189216098852,-0.00026442745843440537,-0.0025317237253194,-6918.200748604025,0.4674014895560941,-6735.4469188875055,7,0,0,0
full,limit,0.005,,,0.04,,fixed,61,45,0.7377049180327869,0.4666666666666667,0.3293513206501164,-0.0016250542774686849,-0.00026442745843440537,-0.001198810532558866,-2132.830787032637,0.7400303596141049,-2479.5015943998505,7,0,0,4
full,limit,0.005,,0.015,,,fixed,61,45,0.7377049180327869,0.5111111111111111,0.37004464644583546,-0.002658194530583911,0.00017441166581887667,-0.0019609631782996064,-5752.97147821234,0.5421610351324477,-6735.4469188875055,7,15,0,0
full,limit,0.005,,0.015,0.04,,fixed,61,45,0.7377049180327869,0.5111111111111111,0.37004464644583546,-0.0008513566470640757,0.00017441166581887667,-0.0006280499855390722,-967.6015166409519,0.8756315629825653,-2479.5015943998505,7,15,0,4
full,limit,0.005,,0.02,,,fixed,61,45,0.7377049180327869,0.4888888888888889,0.34957023752878846,-0.0023391586950594406,-0.00021852930718738064,-0.0017256088734045052,-5117.9630464242155,0.5958725567488973,-6735.4469188875055,7,9,0,0
full,limit,0.005,,0.025,,,fixed,61,45,0.7377049180327869,0.4666666666666667,0.3293513206501164,-0.0030756316275883672,-0.00026442745843440537,-0.0022689085777291233,-6688.73002704475,0.4850673204468238,-6735.4469188875055,7,4,0,0
full,limit,0.005,,0.03,,,fixed,61,45,0.7377049180327869,0.4666666666666667,0.3293513206501164,-0.0035237486735017758,-0.00026442745843440537,-0.002599486726353769,-6997.822835566926,0.46127177368691624,-6735.4469188875055,7,2,0,0
full,open,0.0,,,,,fixed,61,61,1.0,0.5409836065573771,0.41724048130756813,-0.0025543897439990184,0.001087774446254024,-0.0025543897439990184,-7440.1829893349,0.5201333214929492,-7030.109121084006,5,0,0,0
full,open,0.0,,0.015,,,fixed,61,61,1.0,0.5573770491803278,0.433033676931442,-0.002949168712117624,0.0013840289328232343,-0.002949168712117624,-6986.089400537174,0.5303577722368119,-7030.109121084006,5,20,0,0
full,open,0.0,,0.02,,,fixed,61,61,1.0,0.5409836065573771,0.41724048130756813,-0.002672973707463991,0.001087774446254024,-0.002672973707463991,-7117.979509185441,0.5409143579330967,-7030.109121084006,5,14,0,0
full,open,0.0,,0.025,,,fixed,61,61,1.0,0.5409836065573771,0.41724048130756813,-0.0027698798811926478,0.001087774446254024,-0.0027698798811926478,-7052.400390282577,0.5451439896521614,-7030.109121084006,5,8,0,0
full,open,0.0,,0.03,,,fixed,61,61,1.0,0.5409836065573771,0.41724048130756813,-0.002443958950720865,0.001087774446254024,-0.002443958950720865,-6228.996520765912,0.5982507587331374,-7030.109121084006,5,6,0,0
full,pullback,0.003,0.003,,,,fixed,61,53,0.8688524590163934,0.5849056603773585,0.4509442218134474,-0.0007939870550877011,0.002392369514991387,-0.0006898576052401337,1157.7852400811125,1.1568965199883479,-2534.525123660989,6,0,0,0
full,pullback,0.003,0.003,,,0.02,fixed,61,47,0.7704918032786885,0.5531914893617021,0.41245459838219095,-0.001761730376163802,0.0021939721845175126,-0.00135739881442129,282.8100357680946,1.0510190108921695,-2534.525123660989,6,0,0,0
full,pullback,0.003,0.003,0.015,,,fixed,61,53,0.8688524590163934,0.6226415094339622,0.48806895941753736,0.0002503453164447822,0.003390337268266236,0.00021751314379628615,3597.457751913709,1.6629721484031543,-2534.525123660989,6,16,0,0
full,pullback,0.003,0.003,0.015,,0.02,fixed,61,47,0.7704918032786885,0.574468085106383,0.4328191934549317,-0.0012946204608760843,0.00222498571049834,-0.000997494453461901,568.1384676775901,1.1047017106194836,-2534.525123660989,6,11,0,0
full,pullback,0.003,0.003,0.015,0.04,0.02,trail005,61,47,0.7704918032786885,0.574468085106383,0.4328191934549317,-0.0012626868031715133,0.00222498571049834,-0.0009728898319518218,506.50510740808295,1.096246964542355,-2404.441212209994,6,0,43,4
full,pullback,0.003,0.003,0.02,,,fixed,61,53,0.8688524590163934,0.5849056603773585,0.4509442218134474,2.714702022151095e-05,0.002392369514991387,2.3586755274427548e-05,1974.6150736524753,1.2675886879944194,-2534.525123660989,6,11,0,0
