id,losing_RT_mean,large_RT_loss,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,episodes,delete5_pct,delete5_cash,double_slip_pct,double_slip_cash,matched_n,excluded_n,matched_open_pct,matched_open_cash,delayed_pct,delayed_cash,month_ci_low,month_ci_high
D,-0.4904196864560082,False,166,0.09903364820113696,-0.19466951895043905,46.98795180722892,3635.911459946618,1.1095580021584408,1.0678961223538865,-7.313733019285691,-13228.988693372656,12,18,-0.21166319768577804,-14475.911216181405,-0.0010886691274214863,-1965.7552561073926,166,0,0.09903364820113696,3635.911459946618,-0.05960282285079554,-6080.072952477385,-0.20917664123050092,0.5179302528698652
DD2,-0.6222440561192537,True,278,0.23753224389174016,0.05892862915054655,50.35971223021583,18105.34500258015,1.2516422667318816,1.1663079737407536,-8.464638457150821,-17159.957663192818,20,33,0.054380262018301415,-6652.4125051378505,0.13734236592904123,7532.895259159146,278,0,0.23753224389174016,18105.34500258015,0.18318505656167194,16714.73634172816,-0.07725793106608689,0.6224883266631644
DD3,-0.4901436848726565,False,188,0.10076860843509113,-0.009667326040041696,50.0,-4606.2464780412965,1.1072288710246125,0.9313391664746458,-8.464638457150821,-14872.575338900628,14,20,-0.147484467450265,-19892.501232109345,0.000645918455724767,-10873.263600083315,188,0,0.10076860843509113,-4606.2464780412965,0.022822219583392128,-6947.44395377227,-0.1601327458885782,0.5108512081474929
BR10,-0.56347857507824,True,209,0.17898449790323423,0.1484225832080536,52.15311004784689,6420.568671673889,1.1784601114457027,1.0719557369670023,-8.464638457150821,-11483.643066263958,23,25,-0.026600605499742656,-14903.813726956141,0.07882393644315788,-1448.6601506531338,209,0,0.17898449790323423,6420.568671673889,0.12935374202639247,7871.86901520191,-0.09211473541937057,0.482464618389842
BR20,-0.5698976231494969,True,146,0.1790730552790404,0.12090576390175056,52.054794520547944,2678.908197253562,1.1935476270226077,1.0554367987423596,-8.464638457150821,-7361.62524490281,16,18,-0.09083208215054885,-12392.510020366499,0.07891086361995436,-1974.0766474934735,146,0,0.1790730552790404,2678.908197253562,0.026154314387971642,-3154.4579882264225,-0.06047126407096438,0.4902874553686684
D_I10,-0.31048868625365755,False,111,-0.08175854431634824,-0.4454136331375372,43.24324324324324,-8757.783550397566,0.9161309272067307,0.7705910949699887,-7.313733019285691,-10045.34586069665,13,19,-0.47494186096942387,-19416.813147794586,-0.1817907158573598,-12399.823380795626,111,0,-0.08175854431634824,-8757.783550397566,-0.24802356614099086,-13790.734958492558,-0.38160803258088977,0.1985400149788099
DD2_I10,-0.6777432606970257,True,194,0.29145978719190374,0.12433342619999116,51.546391752577314,17323.456680617797,1.322321610232429,1.2442719448606743,-8.464638457150821,-15014.226676967872,21,36,0.06033663108977591,-4000.9257180122513,0.1912425602169305,10237.398807234753,194,0,0.29145978719190374,17323.456680617797,0.2317963506605338,18424.59748787385,-0.021790897629917805,0.6924144667537029
DD3_I10,-0.4337079743225939,False,149,0.044915049837025184,-0.152024962642239,48.322147651006716,-8768.359809288417,1.0453615038924957,0.8512170343929386,-8.464638457150821,-15585.7599454876,14,22,-0.2426960917696602,-23409.354509874473,-0.05517957949237992,-13805.070808577466,149,0,0.044915049837025184,-8768.359809288417,-0.03324619863086925,-8647.90710703541,-0.2532834910581949,0.44605197238268623
BR10_I10,-0.6718152139920032,True,160,0.2857065757838785,0.2314812996972056,52.5,17589.102859413666,1.3141469697507229,1.3077624803048509,-8.464638457150821,-9893.035621511988,21,28,0.018572700269013906,-3735.279539216368,0.18549227169950325,11726.988828826607,160,0,0.2857065757838785,17589.102859413666,0.21597823590044268,17019.019422144727,-0.006642824603440394,0.6840564478500931
BR20_I10,-0.539041889238323,True,122,0.14919597133150608,0.07425872670124936,50.81967213114754,322.6396596174894,1.160525515314889,1.007648996395575,-8.464638457150821,-7051.911668702921,15,18,-0.17735112095319275,-13450.147335928566,0.049048957795113236,-3696.654226765569,122,0,0.14919597133150608,322.6396596174894,0.009388855869385102,-3989.840234748497,-0.10371027333187341,0.45041636487079667
