scale,phase,n,rt_cash,overnight_log_pct,intraday_log_pct
0.08,early,94,33663.70375934754,-57.37476796585516,-94.7262639114943
0.08,late,83,40409.78353884842,-68.7226503447456,-98.83333861240678
0.08,middle,89,-43.639251934660024,-41.24789421467818,-21.715725148698297
0.12,early,98,21619.340875504586,-63.694685045405194,-64.37232898648637
0.12,late,93,15337.062741594444,-79.63022746246533,-48.60872096510191
0.12,middle,95,8106.564417996309,-28.4177881410372,-39.19920951719849
0.2,early,45,-5429.365534379769,-40.29346187248535,-2.473782656003934
0.2,late,42,6843.137317344231,-32.9026510721189,-11.720117573635099
0.2,middle,43,16346.409618270183,-19.580830353637058,-36.37440137716803
