id,scale,window,label,phase,n,overnight_log_pct,intraday_log_pct,total_log_pct,linked_overnight_pct,linked_intraday_pct,linked_total_pct,raw_overnight_log_pct,action_adjustment_log_pct,gross_rt_cash,rt_cash,rt_mean_pct,pt_cash,pt_mean_pct,cost_cash
D,0.08,full_2020,U,ALL,121,28.359611185613726,144.27440412579386,172.63401531140775,32.78965007782923,323.2293485418617,462.00477095541527,27.206605064059968,-1.1530061215537553,-38280.00000000001,-44124.940570361716,-1.4691074718339907,32414.138266862305,1.0006917129740636,5844.940570361703
D,0.08,full_2020,U,early,91,24.599776688826463,106.97383228669739,131.57360897552402,27.8896717619281,191.46167116342457,272.7493745627345,23.446770567272708,-1.1530061215537553,-24050.00000000002,-28176.356314029774,-1.455934912604691,19910.04727253027,0.9702285676101101,4126.356314029756
D,0.08,full_2020,U,middle,24,0.19490031168068744,22.529335374095776,22.724235685776424,0.19509036579011427,25.269014363601833,25.513402141945402,0.19490031168068744,0.0,-9159.999999999996,-10385.261440863966,-1.201232591316063,7929.947039364014,0.7772506670407385,1225.26144086397
D,0.08,full_2020,U,late,6,3.564934185106571,14.771236465000712,18.33617065010728,3.6292398397453325,15.917942742623358,20.124882902051823,3.564934185106571,0.0,-5069.999999999996,-5563.322815467975,-2.7403908088834132,4574.143954968014,2.3564802680606567,493.3228154679782
D,0.08,full_2020,D,ALL,289,-92.09386601657212,-138.37138982682075,-230.4652558433927,-60.18548573553946,-74.93540512221028,-90.02065329705314,-97.01910227166684,-4.925236255094719,34270.00000000001,21658.44538634969,0.21187357836376114,-46861.22268384833,-0.7082353961522552,12611.55461365032
D,0.08,full_2020,D,early,32,3.035292508671035,-6.484433233763219,-3.449140725092166,3.081827139152142,-6.278665416679583,-3.3903358923152145,3.035292508671035,0.0,-690.0000000000045,-2376.3377370579083,-0.047739438751786295,-996.4973739419029,-0.4200544780974468,1686.3377370579037
D,0.08,full_2020,D,middle,116,-27.45250841020849,-29.17267986848377,-56.62518827869217,-24.006705822564793,-25.302741800894207,-43.23509283427514,-30.202800299171166,-2.750291888962674,7900.000000000021,2872.214529384275,-0.008567402729672057,-12923.898025383742,-0.4902956973027882,5027.785470615745
D,0.08,full_2020,D,late,141,-67.67665011503466,-102.71427672457376,-170.39092683960837,-49.17422108447298,-64.19715287977438,-81.80292407720998,-69.8515944811667,-2.1749443661320447,27059.999999999993,21162.568594023323,0.45214854541720634,-32940.82728452269,-0.9529360659699292,5897.431405976669
D,0.08,full_2020,R,ALL,34,2.955644349794228,38.125163051701506,41.08080740149571,2.9997570496955106,46.411597532106924,50.80358975064808,2.955644349794228,0.0,-8899.999999999995,-10281.29774131393,-1.416725583156802,7513.245730314062,0.8846198948613575,1381.2977413139365
D,0.08,full_2020,R,early,11,0.6474075084158285,12.745411942306701,13.392819450722532,0.6495077206899816,13.593274979564116,14.331072070740989,0.6474075084158285,0.0,-4249.999999999998,-4692.11696134597,-1.452756166478469,3805.419784846029,0.9170626917611849,442.11696134597105
D,0.08,full_2020,R,middle,14,0.32282927584711457,6.64872417586538,6.971553451712449,0.3233509307543712,6.87473286518346,7.22031330864423,0.32282927584711457,0.0,-1330.0,-1891.656842614985,-0.7511455033286899,767.518644115024,0.2181519749440157,561.656842614985
D,0.08,full_2020,R,late,9,1.985407565531285,18.731026933529424,20.716434499060725,2.005247867627512,20.600141226336934,23.018472986633846,1.985407565531285,0.0,-3319.999999999997,-3697.5239373529776,-2.40803499438516,2940.3073013530097,1.881695462966322,377.5239373529804
D,0.08,full_2020,EDGE,ALL,1,1.4186846405281803,3.0039614824056073,4.422646122933775,1.4287957293138698,3.04953560371517,4.521902967498814,1.4186846405281803,0.0,-1969.9999999999989,-2086.9411112189846,-3.230558995695023,1852.074667719008,2.866988649719828,116.94111121898572
D,0.08,full_2020,EDGE,early,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
D,0.08,full_2020,EDGE,middle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
D,0.08,full_2020,EDGE,late,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
D,0.08,primary,U,ALL,63,17.820443987981175,94.36335353061268,112.18379751859385,19.506961615083082,156.93001208605537,207.0492509213105,16.667437866427417,-1.1530061215537553,-31540.000000000007,-35475.5123341618,-1.7539114861991005,27588.728853162196,1.360555223137724,3935.5123341617964
D,0.08,primary,U,early,45,18.236824943730564,70.75053522140973,88.98736016514034,20.005603248016335,102.89234906331221,143.48218743749896,17.08381882217681,-1.1530061215537553,-19640.000000000015,-22275.93480697986,-1.8277604701198957,16994.251842980182,1.4305830304768286,2635.9348069798425
D,0.08,primary,U,middle,14,-2.7372254720792513,18.003218227282357,15.265992755203051,-2.7001029360150195,19.725589291760414,16.49287514013224,-2.7372254720792513,0.0,-8559.999999999995,-9438.50457036397,-1.5553735016671844,7677.2186463640055,1.1649648964876687,878.5045703639746
D,0.08,primary,U,late,4,2.3208445163298617,5.609600081920591,7.930444598250452,2.347985673984756,5.769921885428949,8.253384498683687,2.3208445163298617,0.0,-3339.999999999996,-3761.072956817976,-1.6179933629518617,2917.2583638180095,1.2573085338479861,421.0729568179795
D,0.08,primary,D,ALL,98,-63.154108911171434,-62.897360641526454,-126.05146955269781,-46.822833830242686,-46.68612695508463,-71.64919313937187,-65.90440080013411,-2.750291888962674,24180.00000000002,18070.620188399414,0.4224167099812654,-30277.29865339861,-0.8130447984108752,6109.379811600602
D,0.08,primary,D,early,11,-9.284144346033662,-1.647556874696277,-10.931701220729945,-8.866201256110074,-1.6340588870915798,-10.355381193628768,-9.284144346033662,0.0,-1350.000000000003,-2258.2050878579485,-0.05672737430165356,441.12053935806216,-0.326091668152753,908.2050878579455
D,0.08,primary,D,middle,35,-14.797139827172403,-16.623772212544775,-31.420912039717198,-13.754421768478517,-15.31551035095833,-26.96337222977107,-17.54743171613508,-2.750291888962674,5890.0000000000155,3701.35748183415,0.27082230346832986,-8075.699580333864,-0.6606790690441113,2188.642518165865
D,0.08,primary,D,late,52,-39.07282473796538,-44.62603155428539,-83.69885629225065,-32.34360109035308,-35.99828560356207,-56.69874479893298,-39.07282473796538,0.0,19640.000000000004,16627.467794423213,0.625808809117128,-22642.719612422807,-1.0186079707315694,3012.5322055767906
D,0.08,primary,R,ALL,4,1.160590414776575,8.120755278342676,9.281345693119238,1.167351395780427,8.459598412257607,9.725703048180929,1.160590414776575,0.0,-4830.0,-5185.180315963986,-2.2698807259057516,4472.40659246402,1.8840020345645256,355.18031596398583
