scale,segment,label,phase,n,overnight_log_pct,intraday_log_pct,total_log_pct,linked_overnight_pct,linked_intraday_pct,linked_total_pct,raw_overnight_log_pct,action_adjustment_log_pct,gross_rt_cash,rt_cash,rt_mean_pct,pt_cash,pt_mean_pct,cost_cash
0.08,0,R,early,1,9.517263768183316,0.0,9.517263768183316,9.984871406959162,0.0,9.984871406959162,9.517263768183316,0.0,0.0,-54.045294999994034,-0.2478005272810363,-54.045294999994034,-0.2478005272810363,54.045294999994034
0.08,0,R,middle,1,9.526849663806553,0.0,9.526849663806553,9.995414947271897,0.0,9.995414947271897,9.526849663806553,0.0,0.0,-58.44780499999797,-0.2436340350145809,-58.44780499999797,-0.2436340350145809,58.44780499999797
0.08,0,R,late,1,2.3074777388926377,4.655704512888904,6.963182251781539,2.334305960817007,4.765784114052952,7.211338057523966,2.3074777388926377,0.0,-1169.9999999999982,-1230.1754308499949,-5.010897885336027,1108.655165849998,4.515906989205694,60.1754308499967
0.08,1,D,early,7,-18.2706487026238,-16.259151860366394,-34.52980056299018,-16.69873801301221,-15.006169850065909,-29.199066874027977,-18.2706487026238,0.0,3510.000000000005,3149.6492475500295,1.952411355006817,-3866.8425425499813,-2.4497452857401916,360.35075244997495
0.08,1,D,middle,6,-4.310868206664377,2.593850117383654,-1.7170180892807314,-4.219271206538351,2.627783165069266,-1.7023613399231232,-4.310868206664377,0.0,-470.0000000000059,-748.6486273499911,-0.7292501722544832,190.8816123500199,0.21340568758097092,278.6486273499851
0.08,1,D,late,6,-4.517652198797572,-2.721397443228061,-7.239049642025659,-4.4171257849322805,-2.6847010613611264,-6.983240223463698,-4.517652198797572,0.0,469.9999999999989,201.62535235001224,0.178177697189333,-737.9048873499878,-0.6973941092648603,268.3746476499866
0.08,2,U,early,3,-1.4582423294270164,8.36153340196807,6.90329107254105,-1.4476614699331924,8.721060043093953,7.147147147147148,-1.4582423294270164,0.0,-1450.000000000003,-1585.692922249996,-3.149350490851701,1312.857817250011,2.624077241242438,135.69292224999313
0.08,2,U,middle,3,-0.17446936673387536,-5.061123733948064,-5.235593100681937,-0.17431725740848503,-4.93518247832238,-5.1008968609865475,-0.17446936673387536,0.0,879.9999999999991,744.0009594000104,1.411766562160689,-1015.1194893999859,-1.926154505711497,135.99904059998858
0.08,2,U,late,3,-1.3385539771716712,7.799789161551204,6.461235184379532,-1.329635182067543,8.112037925024296,6.674542232722967,-1.3385539771716712,0.0,-1359.9999999999995,-1494.192981799993,-2.9090874993315814,1224.4477118000107,2.3827612071157662,134.19298179999362
0.08,3,D,early,19,-5.139609550988135,-13.960085770334342,-19.099695321322454,-5.009765604655268,-13.029469769856721,-17.386489479512733,-5.139609550988135,0.0,2319.9999999999914,1513.741281600029,0.4435590166801464,-3123.9399015999616,-0.9708712052438611,806.2587183999623
0.08,3,D,middle,19,-1.7486658958097783,-0.41944071032257535,-2.1681066061324095,-1.7334654642827245,-0.41856228636026027,-2.144772117962472,-1.7486658958097783,0.0,59.99999999999886,-701.2455596999732,-0.25711178104925486,-821.1855902999642,-0.2811223808841327,761.2455596999719
0.08,3,D,late,18,-8.952832679291232,-15.963577322319352,-24.916410001610583,-8.563763619587068,-14.754578091810943,-22.05479452054794,-8.952832679291232,0.0,2009.999999999998,1340.0644650500221,0.5929704150226747,-2677.9265600499757,-1.1442000380864121,669.9355349499757
0.08,4,U,early,8,-5.063822741083021,11.198625131534058,6.134802390451037,-4.937748249904789,11.84974826701504,6.326889279437592,-5.063822741083021,0.0,-1319.9999999999984,-1593.6970165999887,-1.7434889351842453,1044.9836566000074,1.1690706934793151,273.6970165999904
0.08,4,U,middle,7,5.337076767148717,-2.968652463313143,2.368424303835573,5.4820666028100336,-2.925020799556273,2.396694214876039,5.337076767148717,0.0,370.0000000000028,122.6948468500128,0.13289153882804208,-616.9353418499909,-0.695267599810264,247.30515314999002
0.08,4,U,late,7,-1.938359970307713,6.898054084244901,4.959694113937213,-1.9196945688795892,7.141536010519961,5.084745762711867,-1.938359970307713,0.0,-869.9999999999992,-1118.3212643499903,-1.2807041637500662,620.8091793500079,0.7157875725423327,248.32126434999117
0.08,5,D,early,3,-2.041481958458211,-2.5958911673221245,-4.6373731257803446,-2.020784797738928,-2.5624875770224658,-4.531490015360983,-2.041481958458211,0.0,330.0000000000018,223.6292516500067,0.5756066691414604,-436.0409166499969,-1.1361239112840804,106.37074834999513
0.08,5,D,middle,3,0.7512659720582675,-7.146138432085615,-6.394872460027344,0.7540950550705303,-6.896777065745237,-6.194690265486727,0.7512659720582675,0.0,859.9999999999994,757.6154343000044,2.048228232347787,-961.5250042999955,-2.6139172564837594,102.38456569999498
0.08,5,D,late,2,0.5919679020299833,-2.3221148656052693,-1.7301469635752864,0.593723494486853,-2.2953612616026353,-1.7152658662092675,0.5919679020299833,0.0,269.99999999999955,202.6390613499998,0.8424648056698496,-337.09107634999845,-1.4141653594071277,67.36093864999978
0.08,6,U,early,21,-0.5870194594855336,1.7150140659922097,1.127994606506675,-0.5852998666832668,1.7298048660100787,1.134380453752173,-0.5870194594855336,0.0,-209.99999999999557,-925.991851049965,-0.37795890065792376,-506.20174394997605,-0.19384292413332038,715.9918510499695
0.08,6,U,middle,21,0.051234711048230255,-0.13755323172941422,-0.0863185206811184,0.05124783826811324,-0.13745867063386866,-0.08628127696290183,0.051234711048230255,0.0,20.00000000000138,-693.6934898999798,-0.28751731993097807,-733.6735000999763,-0.2848390251403232,713.6934898999813
0.08,6,U,late,21,9.664731193540652,29.840103531450236,39.504834724990914,10.147182913991404,34.77021556768844,48.44559585492234,9.664731193540652,0.0,-4279.999999999994,-5087.006351399955,-1.747900526022582,3468.7158314000358,1.197013231595236,807.006351399961
0.08,7,D,early,5,-4.186002086885584,-11.258156805136304,-15.444158892021898,-4.099598827418959,-10.647553891316537,-14.31064572425829,-4.186002086885584,0.0,1759.9999999999998,1549.0750738000036,1.924858955445588,-1969.1658237999982,-2.4492371204925525,210.9249261999962
0.08,7,D,middle,4,1.282490345851623,0.9331088438692422,2.2155991897208858,1.2907495232381114,0.937475876930389,2.2403258655804725,1.282490345851623,0.0,-140.0000000000005,-301.705885699992,-0.5060672580018214,-21.845814299992014,-0.03115320045525022,161.70588569999143
0.08,7,D,late,4,-1.4694090658380197,-4.129322572953751,-5.598731638791792,-1.4586659353724651,-4.045227538940244,-5.4448871181939005,-1.4694090658380197,0.0,599.999999999998,439.3379530000069,0.7457021794799726,-760.0623529999893,-1.281143219941868,160.662046999991
