id,scale,window,profitable_down_legs,detected_legs,oracle_cash,captured_cash,remaining_after_first_cash,missed_before_first_cash,median_days_missed,other_dates_cash
BR20,0.08,full_2020,34,23,104893.80456481174,26325.87574990346,30152.88359740358,74740.92096740816,8.0,-57213.0153699056
BR20,0.08,primary,18,11,74029.84804626131,19592.944076103322,23072.188726703414,50957.65931955789,7.5,-39828.3091143558
BR20,0.12,full_2020,17,11,59465.84077299558,4101.706618572467,18585.646260120753,40880.19451287482,9.0,-34988.84623857461
BR20,0.12,primary,11,6,46384.99495769528,3726.073834822367,11234.312553270573,35150.682404424704,8.0,-23961.438873074847
BR20,0.2,full_2020,7,7,27372.40483198487,3220.964731511266,17021.66738802942,10350.737443955453,17.0,-34108.10435151341
BR20,0.2,primary,3,3,19082.208323834584,3238.100716811177,10061.07062137925,9021.137702455335,17.0,-23473.465755063655
D_I10,0.08,full_2020,34,16,104893.80456481174,20576.334457642453,23984.044786935538,80909.7597778762,9.0,-34519.31794174366
D_I10,0.08,primary,18,8,74029.84804626131,15390.645096692308,16246.555752285383,57783.29229397593,9.0,-20349.377511293864
D_I10,0.12,full_2020,17,9,59465.84077299558,6521.2031728344655,11082.362520030674,48383.4782529649,14.0,-20464.18665693568
D_I10,0.12,primary,11,5,46384.99495769528,5956.089852334351,5614.008221780524,40770.986735914754,9.0,-10914.822266935907
D_I10,0.2,full_2020,7,5,27372.40483198487,2891.0272243152535,9255.688468265309,18116.716363719555,18.0,-16834.010708416467
D_I10,0.2,primary,3,2,19082.208323834584,3063.3599140151464,4524.780180215165,14557.428143619416,18.0,-8022.092328616703
DD2_I10,0.08,full_2020,34,27,104893.80456481174,27942.93674899172,38575.7327048569,66318.07185995484,7.0,-89975.24119500742
DD2_I10,0.08,primary,18,14,74029.84804626131,19027.792762691504,27492.018603606644,46537.82944265466,7.0,-62749.081417807705
DD2_I10,0.12,full_2020,17,14,59465.84077299558,4551.370560309684,17453.279703627995,42012.561069367584,8.0,-66583.67500632539
DD2_I10,0.12,primary,11,8,46384.99495769528,4504.267339309523,11906.808652477763,34478.18630521751,7.0,-48225.555994425726
DD2_I10,0.2,full_2020,7,7,27372.40483198487,-965.6331782605657,14012.762599308666,13359.642232676202,7.0,-61066.67126775513
DD2_I10,0.2,primary,3,3,19082.208323834584,1181.620697139279,11065.564430458424,8016.643893376158,6.0,-44902.90935225548
DD3_I10,0.08,full_2020,34,21,104893.80456481174,32193.48825624951,36740.19919614961,68153.60536866213,9.0,-57275.635478609576
DD3_I10,0.08,primary,18,10,74029.84804626131,27207.899554199386,30891.549558899434,43138.29848736187,8.5,-37335.91837990978
DD3_I10,0.12,full_2020,17,11,59465.84077299558,10665.914964433516,20473.90212473675,38991.93864825883,9.0,-35748.062186793584
DD3_I10,0.12,primary,11,6,46384.99495769528,12745.342776383433,15367.308253336581,31017.686704358694,9.0,-22873.361602093828
DD3_I10,0.2,full_2020,7,7,27372.40483198487,9664.800746279316,18981.420152329425,8390.984679655441,15.0,-34746.94796863938
DD3_I10,0.2,primary,3,3,19082.208323834584,12279.97510727924,14410.572829979268,4671.635493855316,15.0,-22407.993932989637
BR10_I10,0.08,full_2020,34,25,104893.80456481174,25003.923390067597,31491.48784688883,73402.3167179229,7.5,-79236.76198417948
BR10_I10,0.08,primary,18,13,74029.84804626131,16777.61874611742,23231.123217238623,50798.724829022685,7.0,-56194.27103302975
BR10_I10,0.12,full_2020,17,12,59465.84077299558,984.261347370561,18553.018758427963,40912.82201456761,8.0,-55217.09994148245
BR10_I10,0.12,primary,11,7,46384.99495769528,239.70205642044243,11872.649149577766,34512.345808117505,7.0,-39656.35434333277
BR10_I10,0.2,full_2020,7,7,27372.40483198487,-5956.3944782786575,15146.661157008635,12225.743674976235,7.0,-48276.44411583323
BR10_I10,0.2,primary,3,3,19082.208323834584,-4506.59667282877,11065.564430458424,8016.643893376158,6.0,-34910.05561408356
BR20_I10,0.08,full_2020,34,22,104893.80456481174,23759.90675751542,28773.821229065557,76119.98333574618,9.0,-49135.88570878164
BR20_I10,0.08,primary,18,11,74029.84804626131,17257.62072671529,21921.7401725154,52108.1078737459,8.0,-32691.043144331823
BR20_I10,0.12,full_2020,17,11,59465.84077299558,1535.73762618443,18357.03244597074,41108.80832702483,9.0,-26911.71657745065
BR20_I10,0.12,primary,11,6,46384.99495769528,1390.750485434336,11234.312553270573,35150.682404424704,8.0,-16824.172903050872
BR20_I10,0.2,full_2020,7,7,27372.40483198487,1093.1321532612487,16446.344503879413,10926.060328105455,17.0,-26469.11110452747
BR20_I10,0.2,primary,3,3,19082.208323834584,1685.5910227111622,10061.07062137925,9021.137702455335,17.0,-17119.013440327697
