id,scale,window,profitable_down_legs,detected_legs,oracle_cash,captured_cash,remaining_after_first_cash,missed_before_first_cash,median_days_missed,other_dates_cash
D,0.08,full_2020,34,17,104893.80456481174,23322.192025199573,25096.550285427635,79797.2542793841,9.0,-58156.92606174451
D,0.08,primary,18,9,74029.84804626131,17290.8129678494,15833.668894077457,58196.17915218385,8.5,-41967.82654079476
D,0.12,full_2020,17,10,59465.84077299558,7194.964667515595,10323.1928051287,49142.64796786688,14.0,-42029.69870406054
D,0.12,primary,11,6,46384.99495769528,5777.618191815463,4854.838506878548,41530.15645081673,9.0,-30454.631764760823
D,0.2,full_2020,7,5,27372.40483198487,4325.168748615285,9255.688468265309,18116.716363719555,18.0,-39159.90278516023
D,0.2,primary,3,2,19082.208323834584,3645.2682831151615,4524.780180215165,14557.428143619416,18.0,-28322.281856060523
DD2,0.08,full_2020,34,32,104893.80456481174,34551.909745846024,42905.1879528991,61988.61661191266,4.5,-122608.29704492315
DD2,0.08,primary,18,17,74029.84804626131,25226.95278999576,29859.785039598788,44170.06300666252,5.0,-82582.75075057356
DD2,0.12,full_2020,17,16,59465.84077299558,7280.275989388001,17537.6855049261,41928.15526806948,6.0,-95336.66328846513
DD2,0.12,primary,11,10,46384.99495769528,8298.05354533779,12953.72868872585,33431.266268969426,6.0,-65653.85150591559
DD2,0.2,full_2020,7,7,27372.40483198487,-1546.0489724434074,11004.505055522699,16367.899776462167,6.0,-86510.33832663373
DD2,0.2,primary,3,3,19082.208323834584,4249.03650325639,10000.67651852245,9081.531805312132,6.0,-61604.83446383418
DD3,0.08,full_2020,34,22,104893.80456481174,32531.34052940262,36179.36207835269,68714.44248645905,8.0,-67677.74280295949
DD3,0.08,primary,18,10,74029.84804626131,27601.283104802475,29911.8911105525,44117.956935708804,7.5,-46543.946046259734
DD3,0.12,full_2020,17,11,59465.84077299558,7621.480379810644,16955.89504920083,42509.945723794735,9.0,-42767.88265336751
DD3,0.12,primary,11,6,46384.99495769528,11060.086795310544,13397.81313185062,32987.18182584466,8.0,-30002.749736767804
DD3,0.2,full_2020,7,7,27372.40483198487,8117.256650643382,15608.422685643503,11763.982146341365,12.0,-43263.658924200245
DD3,0.2,primary,3,3,19082.208323834584,11588.064528393295,12441.077708493307,6641.130615341277,12.0,-30530.727469850557
BR10,0.08,full_2020,34,28,104893.80456481174,36085.79710942076,42804.83932109694,62088.96524371481,6.0,-91371.81699444234
BR10,0.08,primary,18,15,74029.84804626131,27673.120147070575,34054.74006724671,39975.10797901459,6.0,-63322.03823074268
BR10,0.12,full_2020,17,14,59465.84077299558,13358.496287323711,30168.89478009702,29296.94599289856,7.0,-68644.5161723453
BR10,0.12,primary,11,9,46384.99495769528,12339.79124772358,22911.017116796815,23473.977840898457,6.0,-47988.70933139569
BR10,0.2,full_2020,7,7,27372.40483198487,1021.9382492304289,18805.295332927635,8567.109499057233,7.0,-56307.95813425202
BR10,0.2,primary,3,3,19082.208323834584,3621.8958288803065,14909.207357077426,4173.000966757158,6.0,-39270.81391255241
