scale,window,label,n,overnight_log_pct,intraday_log_pct,total_log_pct,linked_overnight_pct,linked_intraday_pct,linked_total_pct,raw_overnight_log_pct,action_adjustment_log_pct,gross_rt_cash,rt_cash,rt_mean_pct,pt_cash,pt_mean_pct,cost_cash
0.08,full_available,U,867,159.53688088480482,916.2829132522114,1075.8197941370167,393.01470187038024,953499.7551317469,4701286.989799476,151.56031790350318,-7.976562981301683,-247409.99999999994,-290185.1641651758,-1.3451131021744103,204476.7433446801,0.8553501386875155,42775.164165175855
0.08,full_available,D,897,-361.02862849268445,-629.1025568031934,-990.1311852958777,-97.29558965611845,-99.81471412605775,-99.99498910965934,-366.498195988711,-5.469567496026634,159839.99999999994,116083.66445096227,0.42949665839787327,-203488.80526045774,-0.9206383064282483,43756.33554903767
0.08,full_available,R,229,-6.592398878058948,50.50235574459211,43.90995686653309,-6.3797976555445794,65.70245552674194,55.130974153866966,-11.780284119503877,-5.187885241444926,-13720.000000000024,-22546.303978554628,-0.5224830187011164,4883.132005555393,-0.023603062466836678,8826.303978554606
0.08,full_available,EDGE,14,17.848860678409732,24.934981623728607,42.78384230213831,19.54092636400604,28.319083555585028,53.393821184149225,-0.35908485681710733,0.0,-7529.999999999983,-9055.4434443439,-2.1088577664609947,5999.139912344049,1.7350589968720027,1525.443444343917
0.08,full_2020,U,656,143.1927660970739,754.2130281946423,897.4057942917163,318.67620760207444,188484.31266927466,789457.648416158,136.32024830039558,-6.8725177966783315,-223039.99999999997,-257671.0104383261,-1.4327529415229125,188275.25464282976,0.9622657550424467,34631.010438326164
0.08,full_2020,D,729,-271.4156409399104,-507.20473679734033,-778.6203777372507,-93.37391735529964,-99.37304291269126,-99.95845730524812,-276.8852084359371,-5.469567496026634,140709.99999999997,103700.062670312,0.4295524882556914,-177631.52728480808,-0.9096513614630625,37009.93732968798
0.08,full_2020,R,226,-27.94399004894146,45.84665123170322,17.902661182761687,-24.379282586942942,58.164668863978044,19.60525728892619,-33.13187529038638,-5.187885241444926,-12550.000000000025,-21203.63544770464,-0.5050720302430266,3886.9699397053873,-0.041723777574405645,8653.635447704619
0.08,full_2020,EDGE,13,-0.35908485681710767,6.672564179841345,6.313479323024204,-0.3584409181378113,6.9002148430794055,6.517040731504544,-0.35908485681710767,0.0,-4219.9999999999845,-5700.393187793901,-0.7088452159252139,2737.498480794048,0.3497872119647827,1480.3931877939165
0.08,primary,U,336,109.49786832120185,457.87919946279135,567.3770677839932,198.91189642990093,9639.666741661007,29013.02256345126,106.40305361393796,-3.0948147072639065,-174659.99999999997,-197537.12916892662,-1.6186627187556737,151695.60718092922,1.233557732775542,22877.129168926673
0.08,primary,D,278,-171.21552001938227,-229.0043623527267,-400.21988237210894,-81.95235896251205,-89.87379556500223,-98.17245897284941,-174.5101431492769,-3.294623129894589,95810.0,75577.26702081131,0.5975262939385676,-115994.86220530873,-0.9774034667202118,20232.73297918867
