date,bars,first,last,open,high,low,close,volume,amount,bars_240
2026-08-17,240,2026-08-17 09:31:00,2026-08-17 15:00:00,67.0,68.5,66.43000030517578,68.2300033569336,161554300.0,10932734038.0,True
2026-08-18,240,2026-08-18 09:31:00,2026-08-18 15:00:00,67.69999694824219,67.69999694824219,65.6500015258789,66.19999694824219,131581700.0,8747299695.0,True
2026-08-19,240,2026-08-19 09:31:00,2026-08-19 15:00:00,64.0999984741211,64.37999725341797,61.29999923706055,61.83000183105469,138927000.0,8731974459.0,True
2026-08-20,240,2026-08-20 09:31:00,2026-08-20 15:00:00,62.5,62.95000076293945,61.5,62.130001068115234,78118500.0,4868591216.0,True
2026-08-21,240,2026-08-21 09:31:00,2026-08-21 15:00:00,61.650001525878906,63.380001068115234,61.380001068115234,62.84000015258789,79434800.0,4961497019.0,True
2026-08-24,240,2026-08-24 09:31:00,2026-08-24 15:00:00,62.70000076293945,62.70000076293945,59.220001220703125,60.400001525878906,98015500.0,5939783491.0,True
2026-08-25,240,2026-08-25 09:31:00,2026-08-25 15:00:00,58.75,60.849998474121094,58.75,60.150001525878906,75599400.0,4520906411.0,True
2026-08-26,240,2026-08-26 09:31:00,2026-08-26 15:00:00,60.20000076293945,60.79999923706055,59.380001068115234,60.56999969482422,73340500.0,4413181488.0,True
2026-08-27,240,2026-08-27 09:31:00,2026-08-27 15:00:00,62.0,64.5,62.0,63.86000061035156,149038800.0,9431944361.0,True
2026-08-28,240,2026-08-28 09:31:00,2026-08-28 15:00:00,64.04000091552734,66.69000244140625,63.79999923706055,64.04000091552734,157964500.0,10314637535.0,True
2026-08-31,240,2026-08-31 09:31:00,2026-08-31 15:00:00,63.150001525878906,65.0,62.5,64.83999633789062,108990400.0,6934708745.0,True
2026-09-01,240,2026-09-01 09:31:00,2026-09-01 15:00:00,64.3499984741211,64.5,62.79999923706055,62.939998626708984,74991300.0,4742835683.0,True
2026-09-02,240,2026-09-02 09:31:00,2026-09-02 15:00:00,61.720001220703125,62.400001525878906,61.400001525878906,61.79999923706055,61973200.0,3836041085.0,True
2026-09-03,240,2026-09-03 09:31:00,2026-09-03 15:00:00,63.0,63.9900016784668,62.29999923706055,63.20000076293945,91922000.0,5807397072.0,True
2026-09-04,240,2026-09-04 09:31:00,2026-09-04 15:00:00,63.84000015258789,65.30000305175781,63.29999923706055,63.689998626708984,129549800.0,8337057615.0,True
2026-09-07,240,2026-09-07 09:31:00,2026-09-07 15:00:00,64.5999984741211,66.87999725341797,64.5999984741211,66.56999969482422,174347600.0,11506069481.0,True
2026-09-08,240,2026-09-08 09:31:00,2026-09-08 15:00:00,66.30000305175781,66.69999694824219,64.55000305175781,64.75,107603600.0,7060179524.0,True
2026-09-09,240,2026-09-09 09:31:00,2026-09-09 15:00:00,64.9000015258789,66.08000183105469,64.47000122070312,65.23999786376953,76150600.0,4971511355.0,True
2026-09-10,240,2026-09-10 09:31:00,2026-09-10 15:00:00,64.5,64.66000366210938,63.790000915527344,63.90999984741211,56759500.0,3640258035.0,True
2026-09-11,240,2026-09-11 09:31:00,2026-09-11 15:00:00,62.65999984741211,64.48999786376953,62.5,64.06999969482422,75898300.0,4825820258.0,True
