id,status,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,mother_n,coverage_pct,new_n,new_cash,new_mean_pct,block_low,block_high,delete_top3_pct,2024_n,2024_pct,2025_n,2025_pct,2026_ytd_n,2026_ytd_pct,indicative_0935_pct,indicative_0935_cash,decision_time
U__failed_breakout,historical_exploration,25,-1.3103578404569476,-0.847637721180383,32.0,-9112.623069711837,0.37322543749541265,0.5833525060706124,-12.332728137168736,-19315.09157728288,13,216,11.574074074074074,23,-10744.747825487826,-1.510402691636096,-2.399683390691868,0.12155845367875534,-2.13914832029348,7,-1.503414866313186,15,-1.8765176632615725,3,1.9709076672307362,-0.7801473900641537,-5156.826011684858,previous_close
U__failed_rebound,historical_exploration,0,,,,0.0,,,,0.0,0,216,0.0,0,0.0,,,,,0,,0,,0,,,,previous_close
U__distribution3,historical_exploration,13,-1.2935372525867295,-0.5599742136193162,30.76923076923077,-5878.062212138942,0.22227503916781838,0.32148711451078277,-6.850463732622584,-6131.569871933965,8,216,6.018518518518518,11,-5118.936623788949,-1.2224916238017363,-2.7037449798793185,0.23501894784814187,-2.1504606825283124,4,-2.7064408629685364,5,-0.9248183524149443,4,-0.3415322674196546,-1.3068115875212563,-7436.178452294958,previous_close
U__relative_weak,historical_exploration,36,-0.4835858020280901,0.08795780422219934,52.77777777777778,-5342.538320142837,0.6381673852980293,0.7207433883297869,-11.294812295554268,-14263.776570690878,18,216,16.666666666666668,36,-5342.538320142837,-0.4835858020280901,-1.6071039010489636,0.9474688225449986,-0.9536274496342768,12,0.35207182968303,21,-1.241526935045521,3,1.4793716022494439,-0.15479974260568444,-957.3240216428974,previous_close
U__gapdown_red,historical_exploration,30,-0.9624716324391625,-0.9134398041318248,36.666666666666664,-17913.216504861826,0.4679256941257771,0.4187344831210399,-7.195385792790471,-24471.96941351784,19,216,13.88888888888889,29,-17788.570996961826,-0.9767840645271185,-2.450284140684826,0.1421633551226413,-1.6041553707533227,10,0.6496471351807311,14,-2.372350639944586,6,-0.3596185609596613,-0.47492240721599,-12189.596452508824,after_open
U__gapup_weak,historical_exploration,18,-0.5807133640155089,0.148307574380021,55.55555555555556,-6728.388729706956,0.5922908401677249,0.4635086642831635,-8.955440431609654,-8452.884619506962,15,216,8.333333333333334,16,-9174.655122082944,-0.9714843865591627,-1.9637371050658181,0.5586133222866482,-1.2757439404853732,8,-0.30376683081346234,5,-0.12557381355996808,5,-1.4789673675943242,-0.6431801032140905,-5090.476421543953,after_open
R__failed_breakout,historical_exploration,1,-6.953841041699601,-6.953841041699601,0.0,-1759.3217835499988,0.0,0.0,-6.953841041699601,-1759.3217835499988,1,152,0.6578947368421053,0,0.0,,-6.953841041699601,-6.953841041699601,,1,-6.953841041699601,0,,0,,-6.24309698675889,-1579.503537649999,previous_close
R__failed_rebound,historical_exploration,17,0.04176563418132305,0.0564858345833436,52.94117647058824,1279.3489320590866,1.049112413825643,1.2345179836789886,-3.356925709556595,-2989.402295900978,13,152,11.18421052631579,16,1036.4349056090823,-0.01759187757265146,-0.7989327266312196,1.0289532719773342,-0.620355763160215,7,0.019593529766471107,8,-0.4816337582222587,2,2.2129655692476318,0.04332391414891552,230.62975595804437,previous_close
R__distribution3,historical_exploration,8,-1.2417843538149766,-0.6093850016064775,37.5,-4931.360725923958,0.31420078897461956,0.18432775431533033,-6.728208157067416,-4950.793613673962,5,152,5.2631578947368425,6,-4222.653780573975,-1.4525841378844764,-2.836959666086953,1.024010376228646,-2.8971380167283862,5,-0.39745933404788836,3,-2.648992720093457,0,,-0.46412734953939005,-2364.2507949879637,previous_close
R__relative_weak,historical_exploration,27,-0.7053966315208213,-0.6229183218151051,37.03703703703704,-9807.297299588867,0.48464578484422494,0.4399345049275131,-8.628950102799992,-12743.023436177895,17,152,17.763157894736842,25,-9699.134559863878,-0.7765710620596793,-1.8509703964500512,0.3839939903269615,-1.2111132983201252,13,-0.2651459907428305,8,-0.9522160043501697,6,-1.3301805227673362,-0.7584447893380276,-10886.067382719893,previous_close
