candidate,kind,date,rt_cash,rt_pct,gap,vr,clv,r3
UR_VOL_frozen,worst,2024-11-11,-1759.3217835499988,-6.953841041699601,-2.617397998460358,2.1642999259614863,0.5142857142857148,4.969696969696957
UR_VOL_frozen,worst,2026-04-23,-1060.5377833379823,-1.583364860164202,0.1345492599790665,1.8388676539936664,0.8987730061349698,9.70969329178284
UR_VOL_frozen,worst,2026-06-22,-940.322522159996,-1.204306508913929,0.0,1.6775554245163815,0.7710691823899363,6.376021798365095
UR_VOL_frozen,worst,2024-03-15,-634.4800804499962,-2.821165319919948,-1.575492341356688,1.9694938312854529,0.6718750000000018,-11.502711076684747
UR_VOL_frozen,worst,2025-07-04,-545.6803749999976,-2.34097114972114,0.1288659793814428,3.380902702026864,1.0,8.886810102899933
UR_VOL_frozen,best,2026-05-14,5270.984852580012,7.122952503486502,4.460756634669671,1.7166934788679875,1.0,11.94690265486724
UR_VOL_frozen,best,2026-05-15,1756.7702636759875,2.527726998094946,1.3119533527696792,1.6031770770638747,0.1964285714285704,4.176157934700053
UR_VOL_frozen,best,2026-04-24,1441.810023911992,2.165855526381241,-1.9876325088339364,1.5477253352590234,0.5163934426229534,10.421069744756984
UR_VOL_frozen,best,2024-06-07,1271.3876691000014,4.91832754003869,-0.8438818565400852,2.159589969421542,1.0,9.216589861751157
UR_VOL_frozen,best,2024-11-12,1239.6094589500058,4.58944634931509,0.0,1.9355786857292507,0.913705583756346,11.703887510339127
UR_VOL_v3,worst,2024-11-11,-1759.3217835499988,-6.953841041699601,-2.617397998460358,2.1642999259614863,0.5142857142857148,4.969696969696957
UR_VOL_v3,worst,2026-04-23,-1060.5377833379823,-1.583364860164202,0.1345492599790665,1.8388676539936664,0.8987730061349698,9.70969329178284
UR_VOL_v3,worst,2026-06-22,-940.322522159996,-1.204306508913929,0.0,1.6775554245163815,0.7710691823899363,6.376021798365095
UR_VOL_v3,worst,2024-03-15,-634.4800804499962,-2.821165319919948,-1.575492341356688,1.9694938312854529,0.6718750000000018,-11.502711076684747
UR_VOL_v3,worst,2025-07-04,-545.6803749999976,-2.34097114972114,0.1288659793814428,3.380902702026864,1.0,8.886810102899933
UR_VOL_v3,best,2026-05-14,5270.984852580012,7.122952503486502,4.460756634669671,1.7166934788679875,1.0,11.94690265486724
UR_VOL_v3,best,2026-05-15,1756.7702636759875,2.527726998094946,1.3119533527696792,1.6031770770638747,0.1964285714285704,4.176157934700053
UR_VOL_v3,best,2025-12-10,1511.371758501035,2.2611785734605547,-1.6914252095896365,1.5447328628337282,0.9249999999999998,10.732899022801302
UR_VOL_v3,best,2026-04-24,1441.810023911992,2.165855526381241,-1.9876325088339364,1.5477253352590234,0.5163934426229534,10.421069744756984
UR_VOL_v3,best,2026-09-08,1432.2870176850058,2.160312243868787,-0.4055881027489771,1.51252987553081,0.8640350877192973,7.718446601941764
R_deceleration,worst,2025-12-02,-1237.8579906509894,-2.068958700737071,0.0334392242099967,1.013265213293287,0.8190045248868786,1.4932971321907296
R_deceleration,worst,2024-04-16,-322.8630188999946,-1.4995960004644429,-3.1924460431654533,0.6522994918434076,0.6352941176470568,5.402843601895757
R_deceleration,worst,2025-03-18,-102.67483029999477,-0.4780020032588211,-0.1858736059479504,0.8151606744791705,0.342105263157893,2.917264466762326
R_deceleration,worst,2025-06-03,-8.586394849996651,-0.0456237770988132,-0.5810882197569978,1.222330526523958,0.0,2.4905251759610447
R_deceleration,worst,2025-12-01,112.65528749400174,0.1876649800000029,-1.1363636363636354,0.9260390115620676,0.977011494252874,7.260201377848419
R_deceleration,best,2026-07-13,2104.510034394005,3.22283313077183,-1.4637090689603172,1.0635658684117717,0.0145833333333319,3.904045155221048
R_deceleration,best,2024-11-12,1239.6094589500058,4.58944634931509,0.0,1.9355786857292507,0.913705583756346,11.703887510339127
R_deceleration,best,2024-11-15,832.759004400003,3.3578992112903348,-0.2814636107760337,1.0561079304770826,0.0114285714285711,-7.9229914846353
R_deceleration,best,2024-04-30,751.9583290000058,2.9721673083004188,3.1810766721044104,1.4369892054101552,0.5932203389830474,10.251798561151082
R_deceleration,best,2024-12-09,445.8731574500037,1.9711457004863115,0.0884955752212368,0.7982736030783398,0.8409090909090907,1.6187050359712352
