id,window,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters
U__failed_breakout,primary,25,-1.3103578404569476,-0.847637721180383,32.0,-9112.623069711837,0.37322543749541265,0.5833525060706124,-12.332728137168736,-19315.09157728288,13
U__failed_breakout,2023,11,-0.15262353489110767,0.6415262955742919,63.63636363636363,-873.4307123499772,0.8937100745528519,0.6870179578441348,-7.338887368666635,-1673.4471472499827,7
U__failed_breakout,early,22,-0.31506287463948907,-0.6458267808427121,40.909090909090914,-296.1365822999643,0.7344710652162396,0.9105064752430959,-7.40198376874062,-2117.3438432499797,12
U__failed_breakout,2024,7,-1.503414866313186,-0.6790961826483921,28.57142857142857,-2768.8469445999835,0.1426807916806235,0.1451861793894945,-4.72242339117081,-3114.477302049988,5
U__failed_breakout,2025,15,-1.8765176632615725,-1.9754220112709475,20.0,-10724.524899617882,0.29613963327270126,0.4244084427803347,-12.332728137168736,-16538.79208968289,6
U__failed_breakout,2026_ytd,3,1.9709076672307362,1.750381084328469,100.0,4380.748774506032,,,1.6346149192687938,0.0,2
U__failed_rebound,primary,0,,,,0.0,,,,0.0,0
U__failed_rebound,2023,0,,,,0.0,,,,0.0,0
U__failed_rebound,early,0,,,,0.0,,,,0.0,0
U__failed_rebound,2024,0,,,,0.0,,,,0.0,0
U__failed_rebound,2025,0,,,,0.0,,,,0.0,0
U__failed_rebound,2026_ytd,0,,,,0.0,,,,0.0,0
U__distribution3,primary,13,-1.2935372525867295,-0.5599742136193162,30.76923076923077,-5878.062212138942,0.22227503916781838,0.32148711451078277,-6.850463732622584,-6131.569871933965,8
U__distribution3,2023,7,-1.3097447692967943,-0.7262728532494707,28.57142857142857,-1250.7099899999957,0.31111582079139105,0.32690431120482494,-4.503160301401862,-1292.309710499998,4
U__distribution3,early,18,-0.5144160907498436,-0.3481460553641961,44.44444444444444,-1209.3352324499724,0.6237980602458977,0.6593905580083058,-9.9595380342756,-2784.7659222999905,11
U__distribution3,2024,4,-2.7064408629685364,-1.7139443086815604,0.0,-2472.3426339999883,0.0,0.0,-6.850463732622584,-2472.3426339999883,2
U__distribution3,2025,5,-0.9248183524149443,0.1174126938461571,60.0,-2512.280456377982,0.5024071460297588,0.5178473592592217,-6.621527983699524,-4658.907089330985,4
U__distribution3,2026_ytd,4,-0.3415322674196546,-0.4397736897734549,25.0,-893.439121760973,0.09126691632078225,0.08857129189567167,-0.6237863211999876,-980.26221230098,2
U__relative_weak,primary,36,-0.4835858020280901,0.08795780422219934,52.77777777777778,-5342.538320142837,0.6381673852980293,0.7207433883297869,-11.294812295554268,-14263.776570690878,18
U__relative_weak,2023,12,-3.4490878306095074,-3.706641756155342,33.33333333333333,-7902.2430018499645,0.0982229162013325,0.08017766713837239,-10.291097949299694,-8013.129152549967,8
U__relative_weak,early,29,-0.5002563137055369,-0.414036219787972,44.827586206896555,-1939.613843799966,0.5670906997620836,0.622361249984305,-9.9595380342756,-3309.169807549976,18
U__relative_weak,2024,12,0.35207182968303,0.1310134719748944,66.66666666666666,1054.4096980500258,2.373129022467183,2.4193178066399548,-1.036384948987093,-281.37851364999574,7
U__relative_weak,2025,21,-1.241526935045521,-0.2631238892592399,42.857142857142854,-9315.639954921866,0.4197328980907292,0.4914017776361133,-11.294812295554268,-14263.776570690878,9
U__relative_weak,2026_ytd,3,1.4793716022494439,0.137204631068279,66.66666666666666,2918.6919367290047,42.99026640363083,41.490578446697725,-0.1056938949633474,-72.0832363650029,2
U__gapdown_red,primary,30,-0.9624716324391625,-0.9134398041318248,36.666666666666664,-17913.216504861826,0.4679256941257771,0.4187344831210399,-7.195385792790471,-24471.96941351784,19
U__gapdown_red,2023,7,-0.15962561923094828,-1.4313686499999758,42.857142857142854,-218.7201441999763,0.9031695001313986,0.9127971683572201,-4.751767666894029,-2021.4805142499886,4
U__gapdown_red,early,11,-0.5839929142859008,0.1843866818532813,54.54545454545454,-947.7048774499838,0.5928650754375685,0.5996857555056229,-7.40198376874062,-2102.6960239999876,10
U__gapdown_red,2024,10,0.6496471351807311,0.32611676335013046,60.0,1671.6249882000175,2.518504506998094,2.6415593015033707,-2.1767964384920515,-548.552702499997,7
U__gapdown_red,2025,14,-2.372350639944586,-1.8615417220643047,21.428571428571427,-18719.34991201888,0.11124876304096959,0.10781898590282916,-7.195385792790471,-18719.34991201888,9
U__gapdown_red,2026_ytd,6,-0.3596185609596613,-1.185263133624435,33.33333333333333,-865.4915810429611,0.8290058018108286,0.901846535609576,-5.360479502473951,-5597.7760922669695,3
U__gapup_weak,primary,18,-0.5807133640155089,0.148307574380021,55.55555555555556,-6728.388729706956,0.5922908401677249,0.4635086642831635,-8.955440431609654,-8452.884619506962,15
U__gapup_weak,2023,4,1.8516311960252754,2.2140697579968385,100.0,1608.0418590000027,,,0.005033455532587,0.0,4
U__gapup_weak,early,6,-0.4375430013541484,0.025630406903640948,50.0,-339.7344905499935,0.44675082253114334,0.49030289179284636,-2.368107655953976,-647.7858678499956,5
U__gapup_weak,2024,8,-0.30376683081346234,0.2934475590991211,62.5,-510.3537031499843,0.7605447894819009,0.7902347905809775,-8.955440431609654,-2234.84959294999,7
U__gapup_weak,2025,5,-0.12557381355996808,0.2381122341618004,60.0,-1018.5538658179728,0.8354830625903397,0.4452181172943709,-2.1770656294411923,-1461.0287439179842,5
