candidate,n,losers,best3_cash_share_of_positive,max_single_topup,exclude_2024_cash,exclude_2025_cash,exclude_2026_cash
UR_VOL_frozen,23,9,0.5759195347695373,1759.3217835499988,7323.617623870053,7851.290908620039,2237.4988631500673
UR_VOL_v3,31,12,0.4325061115488631,1759.3217835499988,11171.326809931117,10550.153361230077,4851.590680401114
R_deceleration,15,4,0.6098268125262002,1237.8579906509894,1205.7172579870266,6076.0969488440305,3072.7941380430475
