id,date,stage,open,close,rt_pct,rt_cash,gap,vr,clv,r3
U__failed_breakout,2024-03-14,U,22.77,22.85,-0.5474111018884396,-124.64550789999768,-6.4887063655030826,1.887162689200294,0.0899653979238759,-2.090872537193411
U__failed_breakout,2024-05-06,U,25.0,24.82,0.5283922036000006,132.09805090000015,2.0408163265306145,1.2688585268257526,0.0588235294117654,10.410094637223978
U__failed_breakout,2024-05-17,U,25.2,25.7,-2.1767964384920515,-548.552702499997,-1.4855355746677068,1.3380889419529398,0.1683168316831662,6.583333333333319
U__failed_breakout,2024-06-14,U,26.05,27.23,-4.72242339117081,-1230.191293399996,0.5791505791505891,1.4926242207490708,0.6208791208791202,5.584997961679572
U__failed_breakout,2024-06-18,U,27.53,28.62,-4.149635390301478,-1142.394622949997,0.0727008360596137,1.2598923017548758,0.633587786259544,12.88469429626591
U__failed_breakout,2024-06-20,U,28.47,28.61,-0.6790961826483921,-193.33868319999723,0.0,0.8597450370057413,0.1836734693877547,4.553800954829246
U__failed_breakout,2024-07-12,U,27.65,27.26,1.2230662367088676,338.1778144500019,-3.859527121001405,1.035581517820701,0.5562500000000011,6.676557863501476
U__failed_breakout,2025-06-12,U,20.25,20.66,-2.2270816767901143,-450.9840395499981,-0.7352941176470562,1.0681482239974056,0.3269230769230736,0.4431314623338123
U__failed_breakout,2025-06-13,U,20.6,20.9,-1.6575720946601589,-341.45985149999274,-0.2904162633107443,1.3429132868686369,0.6417910447761207,1.1257953989231684
U__failed_breakout,2025-06-16,U,20.85,21.22,-1.9754220112709475,-411.87548934999256,-0.2392344497607501,1.3168145565107288,0.5606060606060566,3.67063492063493
U__failed_breakout,2025-07-21,U,27.0,27.02,-0.2631238892592399,-71.04345009999477,-0.4057543341940195,0.7971482505195769,0.0537634408602158,-0.513761467889895
U__failed_breakout,2025-07-23,U,26.5,26.58,-0.4917516052830084,-130.31417539999725,-1.7062314540059351,0.8561913063672199,0.1095890410958904,-1.9636363636363563
U__failed_breakout,2025-07-28,U,28.94,29.57,-2.364557249999991,-684.3028681499974,0.9769713886950582,0.6299788085211718,0.3378378378378385,6.305637982195833
U__failed_breakout,2025-08-08,U,35.73,36.59,-2.588131183319349,-924.7392718000036,0.2244039270687281,1.4048588932980162,0.3184931506849312,8.128601759175025
U__failed_breakout,2025-08-15,U,42.59,44.86,-5.512384943716815,-2347.7247475289914,-1.45765849143914,1.3022297584278182,0.0857142857142863,18.899587345254453
U__failed_breakout,2025-08-21,U,47.42,45.29,4.315619940638995,2046.4669758510115,-1.0227509914422783,1.1866381118372098,0.6677215189873408,6.798930004458303
U__failed_breakout,2025-08-29,U,48.0,53.83,-12.332728137168736,-5919.709505840993,-1.920719248058844,1.4718882504072852,0.823734729493891,1.9583333333333064
U__failed_breakout,2025-09-03,U,53.88,54.24,-0.847637721180383,-456.7072041719904,0.0,1.0929245109748915,0.2495446265938076,10.093992644053971
U__failed_breakout,2025-09-22,U,66.55,70.5,-6.118273057347849,-4071.710719664994,0.6807866868381307,0.8490479018205295,0.3030303030303018,10.664657625983564
U__failed_breakout,2025-09-24,U,68.8,68.63,0.0681975150567122,46.91989035901804,-2.9208409764357346,0.9607484250747672,0.3810289389067532,10.114978247358586
U__failed_breakout,2025-10-29,U,78.12,80.8,-3.6118889309216295,-2821.6076328359773,5.5818353831599055,1.1042344041472942,0.6242038216560494,15.627441787779372
U__failed_breakout,2025-10-31,U,77.95,72.0,7.45897009629892,5814.267190065008,-0.0256508913684672,1.3199949229959198,0.0436893203883489,7.160527762506863
U__failed_breakout,2026-05-15,U,69.5,67.62,2.527726998094946,1756.7702636759875,1.3119533527696792,1.6031770770638747,0.1964285714285704,4.176157934700053
U__failed_breakout,2026-06-01,U,75.2,73.75,1.750381084328469,1316.2865754150089,2.452316076294281,1.3301890651091406,0.0459418070444121,4.887110603029443
U__failed_breakout,2026-06-04,U,80.0,78.55,1.6346149192687938,1307.691935415035,-1.295496607032698,1.373660763702259,0.4018404907975448,10.422343324250672
U__distribution3,2024-02-26,U,17.6,17.67,-0.6067232974431727,-106.7833003499984,-3.1370390753990063,1.2080899057406405,0.1235955056179808,-1.7306652244456378
U__distribution3,2024-03-14,U,22.77,22.85,-0.5474111018884396,-124.64550789999768,-6.4887063655030826,1.887162689200294,0.0899653979238759,-2.090872537193411
U__distribution3,2024-03-15,U,22.49,23.08,-2.821165319919948,-634.4800804499962,-1.575492341356688,1.9694938312854529,0.6718750000000018,-11.502711076684747
U__distribution3,2024-03-18,U,23.45,25.01,-6.850463732622584,-1606.433745299996,1.6031195840554568,1.2436041666615945,0.7560975609756063,-6.935483870967762
U__distribution3,2025-06-18,U,20.65,21.16,-2.671394382808711,-551.6429400499989,0.2427184466019305,1.045561250771809,0.0487804878048813,-0.2904162633107665
