id,scope,n,rt_pct,pt_pct,pt_cash,large_loss
U__failed_breakout,primary,25,-1.3103578404569476,0.9365510407778848,5183.804068212102,True
U__failed_breakout,2023,11,-0.15262353489110767,-0.4166778921871336,66.09952735001957,False
U__failed_breakout,early,22,-0.31506287463948907,-0.24243707936721196,-1375.5968576999646,False
U__failed_breakout,2024,7,-1.503414866313186,1.1204412056659094,2069.9436846000176,True
U__failed_breakout,2025,15,-1.8765176632615725,1.5030799456115564,8290.723499118067,True
U__distribution3,primary,13,-1.2935372525867295,0.9164326392550601,3719.539316139083,True
U__distribution3,2023,7,-1.3097447692967943,0.7362896749453294,748.2905200000095,True
U__distribution3,early,18,-0.5144160907498436,-0.030329720291620017,-229.8249825499834,True
U__distribution3,2024,4,-2.7064408629685364,2.304760151585841,2126.507964000008,True
U__distribution3,2025,5,-0.9248183524149443,0.5524115156659584,1626.6853038780405,True
U__distribution3,2026_ytd,4,-0.3415322674196546,-0.016868468589343162,-33.653951738965674,False
U__relative_weak,primary,36,-0.4835858020280901,0.10698557496596456,555.9927396431206,False
U__relative_weak,2023,12,-3.4490878306095074,2.9074900932890646,6830.39075685003,True
U__relative_weak,early,29,-0.5002563137055369,-0.039728269053262114,-420.37345619994625,True
U__relative_weak,2025,21,-1.241526935045521,0.8685094513686177,6340.4528164220765,True
U__gapdown_red,primary,30,-0.9624716324391625,0.5910759589485648,12779.114728362136,True
U__gapdown_red,2023,7,-0.15962561923094828,-0.33695700069352547,-538.5602257999836,False
U__gapdown_red,early,11,-0.5839929142859008,0.0496133143272915,31.80537245001102,True
U__gapdown_red,2025,14,-2.372350639944586,2.0059235673751368,16071.956842019052,True
U__gapdown_red,2026_ytd,6,-0.3596185609596613,0.0011854614275378002,-685.5365454569328,False
U__gapup_weak,primary,18,-0.5807133640155089,0.20204694038510207,4108.903479707036,True
U__gapup_weak,early,6,-0.4375430013541484,-0.11431836176997195,-119.84443444998807,False
U__gapup_weak,2024,8,-0.30376683081346234,-0.08156075689040632,-250.41866934998052,False
U__gapup_weak,2025,5,-0.12557381355996808,-0.2606651144995974,421.0865028180235,False
U__gapup_weak,2026_ytd,5,-1.4789673675943242,1.1185313109106145,3938.2356462389935,True
R__failed_breakout,primary,1,-6.953841041699601,6.560567830237173,1659.8236610500048,True
R__failed_breakout,2023,3,-0.7701865906146955,0.2205668037296313,138.26554630000487,True
R__failed_breakout,early,2,-0.7944772424143085,0.217748152190255,71.11872070000176,True
R__failed_breakout,2024,1,-6.953841041699601,6.560567830237173,1659.8236610500048,True
R__failed_rebound,2023,3,-0.8214320222604062,0.31429987411237886,-154.15885999998864,True
R__failed_rebound,early,20,-0.6023710512288681,0.04809672716877532,249.82112505002343,True
R__failed_rebound,2025,8,-0.4816337582222587,0.10011179500045245,419.0904072260404,False
R__distribution3,primary,8,-1.2417843538149766,0.85684686006262,3866.4409759240257,True
R__distribution3,early,21,-0.5765572093562303,0.013148986841768715,22.394858950026503,True
R__distribution3,2024,5,-0.39745933404788836,-0.000922839440235812,58.578223900010926,False
R__distribution3,2025,3,-2.648992720093457,2.286463025900713,3807.8627520240148,True
R__relative_weak,primary,27,-0.7053966315208213,0.32553286097979645,5968.7607090891015,True
R__relative_weak,early,53,-0.11995986807572231,-0.43704396187965855,-3224.8511162999325,False
R__relative_weak,2024,13,-0.2651459907428305,-0.12300414710054128,-342.40326619995204,False
R__relative_weak,2025,8,-0.9522160043501697,0.571047116455933,1870.0310533840195,True
R__relative_weak,2026_ytd,6,-1.3301805227673362,0.9700107045190126,4441.132921905033,True
