mode,source,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5
1000_S0,original5m,9,0.6608867336589906,0.7868595444341261,55.55555555555556,3246.157924794035,1.6543706820515913,1.5926607121608019,-4.552052626129442,-4.552052626129442,-3779.912716541994,1,1,1,2,430.552075206,0.8413317078437745,-0.0574731953288552,-2.272404909814545,,-5477.26187713499,2,4,3.5626851744387427,
1000_S0,recovered1m,9,0.6608863059461138,0.7868590448773779,55.55555555555556,3246.1556385965323,1.6543701729467988,1.5926602123045492,-4.552050516140168,-4.552050516140168,-3779.9107351708412,1,1,1,2,430.55207372953527,0.8413312793641806,-0.057473322614457256,-2.272405207105383,,-5477.262639200816,2,4,3.5626846342647944,
1000_S2,original5m,9,0.9385843725396451,0.7868595444341261,55.55555555555556,4694.497562709044,2.281763643900468,2.165199347113217,-3.084037157135793,-3.084037157135793,-2331.573078626985,1,1,1,2,431.487437291,1.1195271482529559,0.25493664841188124,-1.6475852223330723,,-4028.9222392199804,2,4,3.5626851744387427,
1000_S2,recovered1m,9,0.9385837103835155,0.7868590448773779,55.55555555555556,4694.494057206215,2.2817620979813524,2.1651979039996507,-3.084037157135793,-3.084037157135793,-2331.5723165611585,1,1,1,2,431.4874350270874,1.1195264849098459,0.2549362573776197,-1.6475860471212291,,-4028.924220591134,2,4,3.5626846342647944,
1000_S2_WORSTBAR,original5m,9,0.8636825666806376,0.7868595444341261,55.55555555555556,4304.944142856044,2.070023946471779,1.974305275172488,-3.084037157135793,-3.084037157135793,-2721.1264984799855,1,1,1,2,431.23585714399997,1.04449107321688,0.17067211682049777,-1.8161142855158392,,-4418.475659072981,2,4,3.5626851744387427,
1000_S2_WORSTBAR,recovered1m,9,0.8771256718696043,0.7868590448773779,55.55555555555556,4374.859719876384,2.1050840664020485,2.006048248311503,-3.084037157135793,-3.084037157135793,-2651.2066538909894,1,1,1,2,431.2810097989325,1.057958276552087,0.18579596404946974,-1.7858666337775293,,-4348.558557920965,2,4,3.5626846342647944,
