threshold,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,new_n,new_cash,new_mean_pct
1.2,94,-0.8383741049874776,-0.5716313916431448,46.808510638297875,-23436.60787831557,0.5772251972750724,0.6729506443832759,-12.332728137168735,-38517.47617611669,15,71,-32142.811576135657,-1.3727610662560739
1.3,67,-0.3692374827224466,0.12216527561645191,52.23880597014925,-4721.459807663669,0.7797576821735176,0.8928733532012114,-12.332728137168735,-18843.735963752762,17,44,-13427.663505483753,-0.9863132085855072
1.4,41,-0.31533205942575443,0.12216527561645191,53.65853658536586,-4388.885505265867,0.7934008628239596,0.802009312326588,-12.332728137168735,-12706.25694247589,16,18,-13095.089203085949,-1.7548602373230175
1.5,23,0.8112552102329732,0.777436959612295,60.86956521739131,8706.203697820081,2.0589290436085164,2.4510443853912,-6.953841041699601,-1769.2447286879656,12,0,0.0,
1.6,20,0.6414558279308225,0.7761111230073321,60.0,6810.5415863330745,1.7535608818062556,2.207044892168436,-6.953841041699601,-1759.3217835499988,12,0,0.0,
1.7,17,0.5143768440498339,0.7747852864023691,58.82352941176471,5055.255339817075,1.5527314712547327,2.0751277926256155,-6.953841041699601,-1759.3217835499988,10,0,0.0,
1.8,16,0.10134086533504211,0.7506658772255865,56.25,-215.72951276293657,1.1024916425156754,0.9541196676982475,-6.953841041699601,-1759.3217835499988,9,0,0.0,
2.0,6,-0.5512322036206875,-0.11206678887474886,50.0,-761.7635623999818,0.677185522652657,0.6990580360025338,-6.953841041699601,-2382.3219834999873,4,0,0.0,
