id,scope,source_direction,opposite_direction,n,source_mean_pct,source_cash,opposite_mean_pct,opposite_cash,large_loss,status,start,end
stage_v3_ALL,early_stress_baseline,rt,pt,1030,-0.3502516649985796,-46352.8888758485,-0.2144249819740013,-28022.05419914856,False,research_candidate_only,2018-10-10,2022-12-30
stage_v3_U,early_stress_baseline,rt,pt,236,-0.39289249305599666,-13382.752915599645,-0.15605224894662106,-5146.870814399645,False,research_candidate_only,2019-02-14,2022-12-22
stage_v3_R,early_stress_baseline,rt,pt,323,-0.2948668191391798,-13177.69143169952,-0.2654284505369123,-10499.030748299563,False,research_candidate_only,2018-11-05,2022-12-30
stage_v3_D,early_stress_baseline,rt,pt,308,-0.35599616449713634,-12349.558489849587,-0.22243893309947546,-8411.527485149589,False,research_candidate_only,2018-10-10,2022-11-01
stage_v3_C,early_stress_baseline,rt,pt,163,-0.387409726013796,-7442.886038699753,-0.18272895560587518,-3964.625151299763,False,research_candidate_only,2018-11-09,2022-11-25
RT_UR_VOL_stage_v3,early_stress_candidate,rt,pt,65,-0.5107914469981295,-5073.261932549898,-0.03681990245324906,-55.77065244989331,True,research_candidate_only,2018-11-05,2022-11-30
stage_v3_ALL,2024_baseline,rt,pt,242,-0.5493237546948151,-25225.373183299358,0.15079459107132462,4087.3006283005616,True,research_candidate_only,2024-01-02,2024-12-31
stage_v3_U,2024_baseline,rt,pt,80,-0.5767826259222817,-9639.236396649798,0.1902049213092299,2017.8501191501987,True,research_candidate_only,2024-02-21,2024-11-14
stage_v3_R,2024_baseline,rt,pt,78,-0.369198164726328,-7261.4242038497505,-0.023843210608248205,276.69177635019116,False,research_candidate_only,2024-01-02,2024-12-31
stage_v3_D,2024_baseline,rt,pt,59,-0.5667952167337261,-5178.84247964987,0.14992105179598406,679.6932821501083,True,research_candidate_only,2024-01-03,2024-12-23
stage_v3_C,2024_baseline,rt,pt,25,-0.9822145570567726,-3145.870103149936,0.5716130282400989,1113.0654506500641,True,research_candidate_only,2024-01-23,2024-12-30
stage_v3_ALL,2025_baseline,rt,pt,243,-0.838457905978554,-78280.24264005882,0.45507970592058017,44549.06961056096,True,research_candidate_only,2025-01-02,2025-12-31
stage_v3_U,2025_baseline,rt,pt,104,-1.263233404264024,-49641.7387074845,0.8900258584058796,33237.55594498547,True,research_candidate_only,2025-02-21,2025-11-11
stage_v3_R,2025_baseline,rt,pt,55,-0.8681994300603624,-20768.171393805645,0.48740439282247305,12183.59475680622,True,research_candidate_only,2025-01-22,2025-12-23
stage_v3_D,2025_baseline,rt,pt,51,-0.45771547551323877,-7678.514260696844,0.057170033144731465,2558.9276946971486,False,research_candidate_only,2025-01-02,2025-12-22
stage_v3_C,2025_baseline,rt,pt,33,-0.038622400146515405,-191.81827807183026,-0.35458284942811596,-3431.008785927873,False,research_candidate_only,2025-01-23,2025-12-31
stage_v3_ALL,2026_ytd_baseline,rt,pt,169,-0.33909132986123836,-29756.313932155965,-0.01930503834631404,-7941.764618341885,False,research_candidate_only,2026-01-05,2026-09-11
stage_v3_R,2026_ytd_baseline,rt,pt,42,-0.6212452352619245,-16057.869361874755,0.26234398226840333,6436.51008637531,True,research_candidate_only,2026-01-05,2026-09-11
stage_v3_D,2026_ytd_baseline,rt,pt,63,-0.4026395656231304,-13513.85272848561,0.04412948452060575,842.5601104864007,False,research_candidate_only,2026-01-09,2026-09-07
stage_v3_C,2026_ytd_baseline,rt,pt,27,-0.25800903383743834,-3447.786755033861,-0.10024224611547794,-2607.9965889658183,False,research_candidate_only,2026-01-06,2026-09-01
UR_volume_ge_1.2,primary_sensitivity,rt,pt,94,-0.8383741049874776,-23436.60787831557,0.4610676402794943,9975.042898816311,True,research_candidate_only,2024-02-21,2026-06-22
UR_volume_ge_1.2_new,primary_increment_only,rt,pt,71,-1.3727610662560739,-32142.811576135657,0.9953234455725385,21863.69277263623,True,research_candidate_only,2024-02-22,2026-06-04
UR_volume_ge_1.3,primary_sensitivity,rt,pt,67,-0.3692374827224466,-4721.4598076636685,-0.0074445095626293365,-4921.409790335756,False,research_candidate_only,2024-02-21,2026-06-22
UR_volume_ge_1.3_new,primary_increment_only,rt,pt,44,-0.9863132085855072,-13427.663505483753,0.6097460070154915,6967.2400834841565,True,research_candidate_only,2024-02-22,2026-06-04
UR_volume_ge_1.4,primary_sensitivity,rt,pt,41,-0.3153320594257545,-4388.885505265867,-0.06481018541123262,-949.7447087338312,False,research_candidate_only,2024-02-21,2026-06-22
UR_volume_ge_1.4_new,primary_increment_only,rt,pt,18,-1.7548602373230175,-13095.089203085949,1.370577158195403,10938.905165086082,True,research_candidate_only,2024-02-22,2026-04-27
UR_volume_ge_2.0,primary_sensitivity,rt,pt,6,-0.5512322036206875,-761.7635623999817,0.163757170048118,197.99656240002565,True,research_candidate_only,2024-06-07,2025-07-09
