date,code,open,high,low,close,preclose,volume,amount,adjustflag,tradestatus,pctChg,signal_close,chain_return_error_pct,action_ratio,stage,stage_v3,ordinal,vr,r3,r5,clv,upper,bias20,decelerate,gap,rt_cash,rt_pct,pt_cash,pt_pct,extra_cash_needed,s_open,s_close,rows,duplicate_dt,proxy_rt_cash,proxy_rt_pct
2024-01-19,sh.601138,13.84,14.47,13.72,14.2,13.71,199161081,2829169535.52,3,1,3.574,116.55527414542233,3.355215171207959e-05,1.0,C,R,1366,2.674176816611122,7.783018867924518,4.2585551330798666,0.9196428571428573,0.08035714285714265,0.4837291116974507,False,0.9482129832239172,-391.2169417999986,-2.8267120072254235,328.6031518000014,2.3743002297687963,391.2169417999986,14.18000030517578,14.199999809265137,240,0,-51.55975940023127,-0.363609014743192
2024-01-22,sh.601138,14.71,14.94,14.2,14.4,14.2,214606830,3147146255.33,3,1,1.4085,118.19689772493531,4.929577464984902e-05,1.0,C,R,1367,2.2205234487464014,9.992254066615036,10.419906687402802,0.6399999999999982,0.3600000000000018,4.21635903269606,True,3.591549295774654,277.8025790500034,1.8885287494901657,-342.04250154999846,-2.325237943915693,0.0,14.760000228881836,14.399999618530272,240,0,327.7527021150053,2.220546727862989
2024-02-21,sh.601138,17.73,17.86,17.25,17.55,18.49,248590873,4361411874.64,3,1,-5.0838,144.05246910226487,2.909680907769996e-05,1.0,U,U,1383,1.8102365916510748,20.849673202614348,25.186188219363537,0.6376811594202896,0.3623188405797104,26.50087230185061,True,-4.110329908058397,143.14663340000058,0.8073696187253275,-216.76341339999942,-1.2225798838127435,0.0,17.770000457763672,17.549999237060547,240,0,183.107464230007,1.0304302730054673
2024-02-28,sh.601138,19.05,19.29,18.2,18.2,19.33,219414506,4136701239.35,3,1,-5.8458,149.38774573568205,3.548887739324158e-05,1.0,U,U,1388,1.5259145349360774,6.267179769103892,4.5429962141698255,0.9463414634146327,0.05365853658536729,22.59783091266565,False,-1.4485256078634157,811.4822667500036,4.259749431758549,-888.0929542500037,-4.661905271653563,0.0,18.989999771118164,18.200000762939453,240,0,751.5418594707203,3.9575664482826274
2024-03-14,sh.601138,22.77,23.27,21.99,22.85,24.35,550613186,12448108454.28,3,1,-6.1602,187.55549395935907,3.572895276882093e-05,1.0,U,U,1399,1.887162689200294,-2.090872537193411,10.631531122217176,0.08996539792387595,0.498269896193772,20.601272875857447,False,-6.4887063655030826,-124.64550789999768,-0.5474111018884396,35.31451290000233,0.1550922832674674,124.64550789999768,22.8799991607666,22.850000381469727,240,0,-14.757799900264743,-0.06450087605584631
2024-03-15,sh.601138,22.49,23.28,22.46,23.08,22.85,358323553,8214079652.22,3,1,1.0066,189.44336107579895,3.544857770454435e-05,1.0,U,U,1400,1.9694938312854529,-11.502711076684747,1.0614772224679436,0.6718750000000018,0.3281249999999983,11.094904706339936,True,-1.575492341356688,-634.4800804499962,-2.8211653199199476,545.2250729500001,2.4243000131169414,634.4800804499962,22.59000015258789,23.07999992370605,240,0,-534.5808261833178,-2.3664489711040426
2024-04-29,sh.601138,24.76,24.76,24.17,24.52,24.41,256688898,6273636106.45,3,1,0.4506,201.26305084829244,3.498566160209382e-05,1.0,R,U,1429,1.9643487028385083,18.552695483244296,10.702947845804989,1.0,0.0,9.801628356799053,False,1.4338385907415097,192.49339120000423,0.777436959612295,-287.3866711999994,-1.1606893021001592,0.0,24.46999931335449,24.520000457763672,240,0,-97.21492669930822,-0.3972820981905513
2024-06-07,sh.601138,25.85,26.14,23.88,24.53,26.07,295697836,7341980762.71,3,1,-5.9072,201.34513202726802,2.70042194143727e-05,1.0,R,U,1455,2.159589969421542,9.216589861751157,8.897243107769427,1.0,0.0,5.994999085198494,False,-0.8438818565400852,1271.3876691000014,4.91832754003869,-1367.9526740999986,-5.291886553578331,0.0,25.940000534057617,24.530000686645508,240,0,1361.2966385726547,5.247866655921445
2024-06-11,sh.601138,24.5,25.05,24.04,24.21,24.53,161039103,3945047340.91,3,1,-1.3045,198.71853430004725,2.5071341211546638e-05,1.0,R,R,1456,1.9997201412771974,3.110550651534272,7.0711479703186475,0.2876106194690273,0.128318584070796,-0.38983188499959187,True,-0.12229922543823823,242.9140264500041,0.9914858222449147,-336.9410489499923,-1.375269587550989,0.0,24.809999465942383,24.209999084472656,240,0,552.6013879759157,2.227333332814023
2024-09-02,sh.601138,20.37,20.37,19.45,19.45,20.47,131361234,2592560075.37,3,1,-4.9829,164.0996132039088,1.8075231986713902e-06,1.0,C,R,1515,1.563296654770854,3.645569620253153,0.04887585532742378,0.8333333333333326,0.16666666666666738,1.0103840345612403,False,-0.488519785051289,879.5118971000038,4.317682361806598,-960.0283420999998,-4.712952096710849,0.0,20.209999084472656,19.450000762939453,240,0,719.6717783685493,3.560968881594226
