date,code,open,high,low,close,preclose,volume,amount,adjustflag,tradestatus,pctChg,signal_close,chain_return_error_pct,action_ratio,stage,stage_v3,ordinal,vr,r3,r5,clv,upper,bias20,decelerate,gap,rt_cash,rt_pct,pt_cash,pt_pct,extra_cash_needed,execution_open
2024-02-21,sh.601138,17.73,17.86,17.25,17.55,18.49,248590873,4361411874.64,3,1,-5.0838,144.0524691022649,2.909680907769996e-05,1.0,U,U,1383,1.8102365916510748,20.849673202614348,25.186188219363537,0.6376811594202896,0.3623188405797104,26.50087230185061,True,-4.110329908058397,113.17692575000001,0.6383357346305697,-216.76341339999945,-1.2225798838127435,0.0,17.7
2024-02-28,sh.601138,19.05,19.29,18.2,18.2,19.33,219414506,4136701239.35,3,1,-5.8458,149.38774573568205,3.548887739324158e-05,1.0,U,U,1388,1.5259145349360774,6.267179769103892,4.5429962141698255,0.9463414634146328,0.0536585365853672,22.59783091266565,False,-1.4485256078634157,721.5731438000018,3.78778553175854,-888.0929542500037,-4.661905271653563,0.0,18.96
2024-03-14,sh.601138,22.77,23.27,21.99,22.85,24.35,550613186,12448108454.28,3,1,-6.1602,187.55549395935907,3.572895276882093e-05,1.0,U,U,1399,1.887162689200294,-2.090872537193411,10.631531122217176,0.0899653979238759,0.498269896193772,20.601272875857447,False,-6.4887063655030826,75.15254310000014,0.3300506943346515,35.31451290000233,0.1550922832674674,124.64550789999768,22.97
2024-03-15,sh.601138,22.49,23.28,22.46,23.08,22.85,358323553,8214079652.22,3,1,1.0066,189.44336107579892,3.544857770454435e-05,1.0,U,U,1400,1.9694938312854529,-11.502711076684747,1.0614772224679436,0.6718750000000018,0.3281249999999983,11.094904706339936,True,-1.575492341356688,-554.5608600499935,-2.4658108494886326,545.2250729500001,2.424300013116941,634.4800804499962,22.57
2024-04-29,sh.601138,24.76,24.76,24.17,24.52,24.41,256688898,6273636106.45,3,1,0.4506,201.26305084829244,3.498566160209382e-05,1.0,R,U,1429,1.9643487028385085,18.552695483244296,10.702947845804989,1.0,0.0,9.801628356799052,False,1.4338385907415097,-97.21378274999535,-0.3926243245153286,-287.3866711999994,-1.1606893021001592,0.0,24.47
2024-06-07,sh.601138,25.85,26.14,23.88,24.53,26.07,295697836,7341980762.71,3,1,-5.9072,201.345132027268,2.70042194143727e-05,1.0,R,U,1455,2.159589969421542,9.216589861751157,8.897243107769427,1.0,0.0,5.994999085198494,False,-0.8438818565400852,1491.1655252000007,5.768532012379113,-1367.9526740999986,-5.291886553578331,0.0,26.07
2024-06-11,sh.601138,24.5,25.05,24.04,24.21,24.53,161039103,3945047340.91,3,1,-1.3045,198.71853430004725,2.507134121154664e-05,1.0,R,R,1456,1.9997201412771972,3.110550651534272,7.071147970318648,0.2876106194690273,0.128318584070796,-0.3898318849995918,True,-0.1222992254382382,522.631297850001,2.133188970816331,-336.9410489499923,-1.375269587550989,0.0,24.78
2024-11-11,sh.601138,25.3,27.18,25.21,27.01,25.98,312967957,8231086029.74,3,1,3.9646,227.88331890167512,1.1855273289285153e-05,1.0,R,U,1558,2.1642999259614863,4.969696969696957,9.712837837837853,0.5142857142857148,0.4857142857142852,4.103221670139456,False,-2.617397998460358,-1579.503537649999,-6.24309698675889,1659.8236610500048,6.560567830237173,1759.3217835499988,25.48
2024-11-12,sh.601138,27.01,27.01,25.46,25.72,27.01,231145238,6024691958.05,3,1,-4.776,216.9995913421357,8.885597937435818e-06,1.0,R,U,1559,1.9355786857292507,11.703887510339127,11.01520756267984,0.913705583756346,0.0862944162436539,7.830808232029862,True,0.0,600.2556957500054,2.222346152351001,-1339.7458764500016,-4.960184659200302,0.0,26.37
2025-06-06,sh.601138,20.5,20.5,20.25,20.31,20.56,84800400,1726461322.01,3,1,-1.216,171.3554315769353,4.669260700818079e-05,1.0,R,C,1695,2.7815376391351543,8.61067089276284,10.656620021528562,0.8939393939393935,0.1060606060606064,7.618623884425157,False,-0.291828793774318,29.06319535000611,0.14177168463417616,-230.96302344999884,-1.126648894878043,0.0,20.38
2025-07-04,sh.601138,23.31,24.35,23.28,23.81,23.28,323605462,7750318603.29,3,1,2.2766,200.88492495553064,3.230240549001451e-05,1.0,U,U,1715,3.380902702026864,8.886810102899933,10.646387832699622,1.0,0.0,11.302352266207684,False,0.1288659793814428,313.45124430000203,1.3447071827541914,454.069755000006,1.9479611969112225,545.6803749999976,24.17
2025-07-07,sh.601138,23.8,24.33,23.34,23.98,23.81,164899723,3935417533.13,3,1,0.714,202.3192146339196,1.4279714396270292e-05,1.0,U,U,1716,2.862523928402035,11.261682242990643,11.522248243559671,0.4953271028037359,0.5046728971962641,12.89175477691902,True,-0.0419991600167923,123.38473835000131,0.5184232703781568,133.64819590000425,0.5615470415966565,226.26185089999575,24.15
2025-07-09,sh.601138,27.0,27.12,26.5,26.6,26.38,265386641,7099473984.72,3,1,0.834,224.42414967732532,3.48749052289099e-05,1.0,U,U,1718,2.2468560243047637,13.316151202749117,23.271028037383168,1.0,0.0,22.24564980652932,False,2.3502653525398154,89.43328570000175,0.3312343914814879,-450.629351999992,-1.6689975999999704,0.0,26.74
2025-07-10,sh.601138,26.9,26.99,25.88,26.16,26.6,186420588,4894678073.73,3,1,-1.6541,220.71187050973043,3.533834587465812e-05,1.0,U,U,1719,1.9243088536920656,11.717765644687116,25.708884688090738,0.1612903225806471,0.1935483870967755,21.51944996459489,True,1.1278195488721776,170.0211961000032,0.632049056133841,-790.1340636999952,-2.937301352044592,0.0,26.38
