id,stage,region,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,mother_n,coverage_pct,opposite_mean_pct,opposite_cash,complement_mean_pct,mirror_candidate,large_loss_mirror,n_2024,mean_2024,cash_2024,n_2025,mean_2025,cash_2025,n_2026,mean_2026,cash_2026
U__volume_lt08,U,volume_lt08,59,-0.7987698850905594,-0.4864325860844135,40.67796610169492,-14318.837035912746,0.47799636041001314,0.5881650996512039,-9.70526855644401,-21550.284933709772,16,216,27.314814814814813,0.4214414862601358,6136.050920413169,-0.8635451995550657,True,True,28,-0.44570138961634614,-3130.6140037499194,24,-1.487010166892201,-12516.19215682988,7,0.14863709918964357,1327.9691246670527
U__volume_08_12,U,volume_08_12,82,-0.8771743337319945,0.02311108002412931,50.0,-25977.097411337643,0.5240257671884025,0.6259479657146729,-10.700662622461781,-29855.068584122688,15,216,37.96296296296296,0.5035237497324814,12513.289287838445,-0.8266845088392891,True,True,20,-0.756317636416811,-2331.207094449953,48,-0.8679906683671917,-14030.868416146786,14,-1.081313611147295,-9615.021900740901
U__volume_12_15,U,volume_12_15,60,-1.307942311752215,-0.8468739106914394,45.0,-25496.858663415704,0.4527539706651357,0.5559412059629717,-12.332728137168735,-33642.44876732082,13,216,27.77777777777778,0.9324588877270169,16452.6585624162,-0.6681248772138166,True,True,23,-1.1538564426274351,-6069.045674949956,26,-2.235588823456599,-24509.355843107856,11,0.5624971713790614,5081.542854642104
U__volume_ge15,U,volume_ge15,15,0.9885491827340765,0.8073696187253275,60.0,8078.8858550700415,2.569474627358596,3.287386827013496,-2.8211653199199476,-1531.0678142499874,7,216,6.944444444444445,-1.3649670149879016,-10276.527493069938,-0.9827475487139276,False,False,4,0.4246356571688724,195.50331180001035,6,0.6834719089085172,1414.6777086000188,5,1.8057727317769117,6468.704834670013
U__r3_le0,U,r3_le0,75,-0.8317687914390521,-0.373307965523587,45.33333333333333,-24564.967987626726,0.5004045977790705,0.5452224971488066,-9.916277761251097,-33748.055622241845,18,216,34.72222222222222,0.45430644562292855,13605.494008127273,-0.8533429800890737,True,True,32,-0.18249749962449324,-1206.0623733999173,33,-1.8082226026977823,-26105.36840307289,10,0.3128606519081692,2746.4627888460795
U__r3_0_3,U,r3_0_3,36,-1.7008433005581969,-0.9713462461205252,36.11111111111111,-22114.668380847837,0.3523686876049361,0.4278366936263362,-12.332728137168735,-22114.668380847834,17,216,16.666666666666668,1.3221265908417035,16935.57355734814,-0.6748536707244067,True,True,9,-2.2578154709380187,-3856.373017199986,20,-1.6066896343716983,-12521.0379211449,7,-1.2537466991741344,-5737.257442502947
U__r3_3_6,U,r3_3_6,34,-1.1147393497224887,-0.802367051869012,44.11764705882353,-15716.501640525881,0.4264879223406607,0.4529576682019042,-9.068980315511391,-16328.231448775881,17,216,15.74074074074074,0.739414209970184,10257.012949026142,-0.7956202289006796,True,True,10,-2.153928099881843,-5226.372208749972,14,-0.015604819016892575,884.114428221083,10,-1.6143389425509682,-11374.24385999699
U__r3_gt6,U,r3_gt6,71,-0.29844878143520714,0.12216527561645191,54.929577464788736,4682.230753404388,0.8051559101609892,1.1069744708011722,-10.155278745951653,-21735.53636183282,16,216,32.870370370370374,-0.07299437499708812,-15972.609236903681,-1.1138907315075075,True,False,24,-0.1977752901710431,-1046.555861999942,37,-1.0635856216421948,-11899.446811487796,10,2.2909411482966537,17628.233426892126
U__clv_lt04,U,clv_lt04,77,-1.3982989471196592,-0.847637721180383,37.66233766233766,-47419.31215004969,0.27752473912762343,0.30798987731822197,-10.105854526435449,-47419.31215004968,16,216,35.648148148148145,1.0200938096676953,35999.8432330503,-0.5398201483616876,True,True,26,-1.0198013360226326,-5653.440407149934,39,-1.4926647643798243,-26010.362118651792,12,-1.911688198401014,-15755.50962424795
U__clv_04_07,U,clv_04_07,68,-0.48960261965634366,0.13101347197489444,55.88235294117647,-7940.933045967794,0.7032357090580221,0.8026685774155407,-10.700662622461781,-14264.354161096848,19,216,31.48148148148148,0.10997755794675411,-922.6820775317574,-1.0095340636071415,True,False,32,-0.23602625601375746,-1424.9994595999356,30,-0.8325828134846248,-6495.077535484894,6,-0.1271089232753966,-20.856050882966883
U__clv_ge07,U,clv_ge07,71,-0.5879158096569461,-0.013956033620672095,47.88732394366197,-2353.66205957858,0.6862347291399811,0.9582686041921138,-12.332728137168735,-29206.2656463068,10,216,32.870370370370374,0.2197369848087626,-10251.689877920668,-0.9721517038954834,True,True,17,-1.0810866035482793,-4256.923594599947,35,-1.3767103950887598,-17136.299053347822,19,1.3063849264623242,19039.56058836919
U__upper_ge03,U,upper_ge03,91,-1.3173735236094468,-0.8198495024477119,42.857142857142854,-39526.620527714644,0.3695503727778971,0.4593613070347699,-10.105854526435449,-39908.46991719169,12,216,42.129629629629626,0.9376782196195804,27156.720651215346,-0.502584231216229,True,True,37,-1.209429882339477,-9863.435990599903,46,-1.2535615116132426,-17471.25473632879,8,-2.183531933461231,-12191.92980078594
U__bias20_le_m5,U,bias20_le_m5,0,,,,0.0,,,,0.0,0,216,0.0,,0.0,-0.8458519423633718,False,False,0,,0.0,0,,0.0,0,,0.0
U__bias20_m5_0,U,bias20_m5_0,0,,,,0.0,,,,0.0,0,216,0.0,,0.0,-0.8458519423633718,False,False,0,,0.0,0,,0.0,0,,0.0
U__bias20_0_5,U,bias20_0_5,62,-0.3675844863298525,-0.2126335304454705,46.774193548387096,-9563.137858998769,0.7311538429910205,0.75647828422981,-10.700662622461781,-20381.858167130875,14,216,28.703703703703702,-0.009196980999573964,94.44898849921628,-1.038401177909334,True,False,22,0.06903663925360579,351.5437897000518,22,-0.03262202869920932,5270.100809266026,18,-1.3106310880359768,-15184.782457964846
U__bias20_gt5,U,bias20_gt5,154,-1.038401177909334,-0.4213447975770884,46.75324675324675,-48150.76939659728,0.4832820775185545,0.6175345209929759,-12.332728137168735,-69424.66840988936,11,216,71.29629629629629,0.6636184157674515,24731.022289098655,-0.3675844863298525,True,True,53,-1.0182066651495991,-11686.907251049868,82,-1.593397431854584,-54911.83951675053,19,1.30051375089301,18447.977371203113
U__r5_positive_decelerate,U,r5_positive_decelerate,86,-0.7871598936074868,-0.05898732475666521,47.674418604651166,-17216.878014447633,0.5246392380751106,0.6969340393725879,-11.294812295554268,-29451.016491873717,14,216,39.81481481481482,0.41012744882370084,4637.665478948369,-0.8846789900018802,True,True,31,-0.45187968852527705,-2458.888749949927,41,-1.4785421265559717,-21440.005727266765,14,0.49519619163103973,6682.016462769065
U__r5_negative,U,r5_negative,52,-0.5670318243895006,-0.15670355698592217,50.0,-8062.387219964757,0.6406483520507382,0.7747248133672628,-9.916277761251097,-16851.11314491287,16,216,24.074074074074073,0.19300339574815395,-124.37119453479795,-0.9342583212331358,True,True,21,-0.9280774829764366,-4847.3195816999605,21,-0.7269964634872035,-6921.8923774949035,10,0.5270898007482405,3706.8247392301064
U__pair_volume_ge15_clv_lt04,U,pair_volume_ge15_clv_lt04,3,1.514499510259667,2.527726998094946,66.66666666666666,2321.6208844759913,9.299975128573388,19.625788635227938,-0.5474111018884396,-124.64550789999768,3,216,1.3888888888888888,-1.8877341882379373,-2757.1100304759902,-0.8790963290200342,False,False,1,-0.5474111018884396,-124.64550789999768,1,2.563182634572495,689.4961287000011,1,2.527726998094946,1756.7702636759877
U__pair_volume_ge15_upper_ge03,U,pair_volume_ge15_upper_ge03,6,0.23587639968135607,0.129979258418444,50.0,1538.40772306201,1.3276625059665268,2.5612211621379526,-2.8211653199199476,-985.3874392499897,5,216,2.7777777777777777,-0.6201672496855889,-2240.647979561972,-0.8767584664217926,False,False,3,-0.8537356010276865,-615.9789549499933,2,0.9053048373949776,712.5766541000114,1,2.165855526381241,1441.810023911992
U__pair_decelerate_upper_ge03,U,pair_decelerate_upper_ge03,39,-1.047351309024511,-0.010369338679246661,48.717948717948715,-8058.243198564795,0.43456413793780774,0.6618858238185267,-10.105854526435449,-18154.78807163383,14,216,18.055555555555557,0.667217574515785,2899.0231615651765,-0.8014537768278666,True,True,13,-0.889120504312009,-2197.4096529999633,23,-1.5277875075649312,-9999.964595168862,3,1.9503260593645315,4139.131049604028
U__pair_r5negative_volume_lt08,U,pair_r5negative_volume_lt08,28,-0.919324605605375,-0.6194902511739628,42.857142857142854,-12120.318192257884,0.4797784785843813,0.4616677055861862,-8.955440431609654,-14300.964738798917,13,216,12.962962962962964,0.5420495645432856,7994.655444258058,-0.8349092052847755,True,True,14,-0.7196907824246731,-2613.8441546999748,10,-1.0110595840906473,-5888.835922733975,4,-1.3887055405246513,-3617.6381148239343
R__volume_lt08,R,volume_lt08,79,-0.9005740361473956,-1.0478324646697543,34.177215189873415,-27576.94807167267,0.44107300289153234,0.4624043148784511,-8.628950102799992,-27612.736180577678,13,152,51.973684210526315,0.5181023891011487,16492.03962067332,-0.34430715718264876,True,True,38,-0.8123634551098711,-7323.782190549877,22,-1.1319818496634937,-10376.13211992189,19,-0.8090493088880168,-9877.033761200895
R__volume_08_12,R,volume_08_12,54,-0.1847325475857818,0.14243360262270421,51.85185185185185,-5455.027178776778,0.8535001565409538,0.818847527602169,-6.311610978034164,-14001.23230669793,19,152,35.526315789473685,-0.1936120270115465,-2395.7913057227797,-0.8806552424525042,True,False,26,-0.12578300900280007,-382.64255349991987,16,0.09566736261016584,-67.43630082991876,12,-0.6863230947768391,-5004.9483244469375
R__volume_12_15,R,volume_12_15,11,-1.7263179090043972,-1.4888413857758556,27.27272727272727,-6645.952912719944,0.2518347432013055,0.19375139540582745,-6.728208157067416,-6824.723154069954,5,152,7.2368421052631575,1.3382210338208398,5411.034210220031,-0.5481579739782216,True,True,7,-0.7062645463152973,-1107.767466399976,4,-3.511411293710323,-5538.185446319967,0,,0.0
R__volume_ge15,R,volume_ge15,8,0.47882901179340476,0.7519917138305494,62.5,627.3178427500386,1.468715820843059,1.254177690642053,-6.953841041699601,-1759.3217835499988,5,152,5.2631578947368425,-0.8566376530699079,-1612.1223807499762,-0.6952111348911448,False,False,5,0.8645711259022779,1187.0827621500166,3,-0.16407451172138374,-559.764919399978,0,,0.0
R__r3_le0,R,r3_le0,102,-0.8775104906466871,-0.9139229524061738,34.31372549019608,-38101.56981290859,0.4531149830264829,0.4372870986616275,-8.223646820562418,-38156.790809563594,19,152,67.10526315789474,0.4968950806239234,23383.066522409437,-0.1354740256803112,True,True,48,-0.5247657735864723,-5783.788845499843,28,-1.5353897022427905,-19256.420608454864,26,-0.8202462019620491,-13061.360358953867
R__r3_0_3,R,r3_0_3,32,-0.08680182265872316,0.11438689969908461,53.125,1293.5990702311465,0.9172201322621611,1.1190638299764606,-4.9576950603842525,-4345.732185029967,14,152,21.05263157894737,-0.29784547069655126,-5204.777252730875,-0.7791842750408208,True,False,18,-0.3520255224649976,-1280.0392998499494,12,0.5767761511978965,4891.850093024078,2,-1.681256367541971,-2318.211722942981
R__r3_3_6,R,r3_3_6,9,-2.039546674361847,-1.4995960004644429,44.44444444444444,-8741.54171546096,0.27780587987410466,0.2542295632893563,-8.628950102799992,-11140.90616155497,8,152,5.921052631578948,1.6574327168063718,7454.41119346102,-0.5449220367882587,True,True,5,-2.2341559933287662,-2782.834650249984,2,-0.8895115652923141,-1850.3730255889882,2,-2.703058486014081,-4108.334039621989
R__r3_gt6,R,r3_gt6,9,1.5955419011466896,0.777436959612295,77.77777777777779,6498.902137719046,3.2797329659451737,4.562861650166597,-5.322547377045629,-1235.895500949995,6,152,5.921052631578948,-1.9696409094189649,-7737.540318718984,-0.773703835246838,False,False,5,1.586966156044173,2219.5533473000223,3,-0.020723540610550845,-326.57524545198214,1,6.487216951930993,4605.924035871005
R__clv_lt04,R,clv_lt04,73,-0.9245739062795789,-0.7798533561794848,35.61643835616438,-25395.42204863469,0.44540391974774235,0.48402388606906743,-8.223646820562418,-25414.85493638469,21,152,48.026315789473685,0.5438387340607796,14854.519952135333,-0.36437817938694156,True,True,34,-0.9850888053892712,-7794.701881249892,23,-1.1045659312776546,-12078.704973256883,16,-0.5372412097367485,-5522.015194127917
R__clv_04_07,R,clv_04_07,39,-1.0229548740298535,-1.1453265503356,38.46153846153847,-16521.610229925845,0.38496129271992746,0.3255689156279048,-6.953841041699601,-17191.21631288086,17,152,25.657894736842106,0.6409444352709318,11091.489698426138,-0.49897815259126843,True,True,20,-1.1105806924763548,-5174.742948849934,10,-0.3929700466319184,-2462.055015380944,9,-1.5282139745908898,-8884.812265694965
R__clv_ge07,R,clv_ge07,40,0.2777340978898977,0.17997647240741424,55.00000000000001,2866.421958141188,1.2621964044211134,1.1557373419783488,-8.628950102799992,-10124.346382709915,17,152,26.31578947368421,-0.6588672783541508,-8050.849506140874,-0.9588315646926208,False,False,22,0.9519757959008511,5342.335381800068,12,-0.7146728929278674,-2000.7587978339307,6,-0.20967147984806722,-475.15462582495115
R__upper_ge03,R,upper_ge03,57,-1.2005854978377934,-1.0478324646697543,36.84210526315789,-28145.343797449757,0.35499768304135554,0.32269850900341857,-8.223646820562418,-29458.523210904765,16,152,37.5,0.8195484206114979,20062.609772950254,-0.29311997845498317,True,True,29,-1.1779926258756934,-8307.324179899915,17,-1.1472545078433125,-10165.455783323872,11,-1.342569144820255,-9672.563834225968
R__bias20_le_m5,R,bias20_le_m5,63,-0.4622790500596609,-0.9763820698804593,36.507936507936506,-10841.62457734172,0.6675343658413957,0.7035653529079485,-6.728208157067416,-12623.724740184734,9,152,41.44736842105263,0.08422286057228794,1515.287633342285,-0.7545639458002135,True,False,33,-0.38452334286185985,-2658.636153399902,18,-0.6202993209839006,-4842.937921630875,12,-0.43907683846725365,-3340.0505023109413
R__bias20_m5_0,R,bias20_m5_0,79,-0.7763626017321658,-0.4967202294285576,43.037974683544306,-27341.042688527665,0.4894006378557326,0.4613551595551684,-8.628950102799992,-29561.31108609873,21,152,51.973684210526315,0.3938852883144346,16428.02045902829,-0.47872775059091144,True,True,35,-0.6233495563391461,-5171.642775299879,25,-0.8470607648153455,-10627.468329890893,19,-0.9652048391888075,-11541.931583336891
R__bias20_0_5,R,bias20_0_5,5,-3.961494052938639,-5.322547377045629,20.0,-4472.333928749987,0.06648313941918679,0.0660183041562263,-6.953841041699601,-4788.459933049983,3,152,3.289473684210526,3.5618328005604645,4025.5421762500173,-0.5202197351379894,True,True,4,-3.378009773474648,-3252.279367849993,1,-6.295431170794602,-1220.054560899994,0,,0.0
R__bias20_gt5,R,bias20_gt5,5,2.7967849250630596,2.9721673083004188,100.0,3604.390874200022,,,0.7265464680488039,0.0,4,152,3.289473684210526,-3.177954513571916,-4073.6901241999926,-0.7500931697638976,False,False,4,3.3143445393166235,3455.4488482500174,1,0.7265464680488039,148.9420259500048,0,,0.0
