date,route,rows,first,last,price_high,price_low,price_last,daily_high,daily_low,daily_close,high_gap,low_gap,close_gap,vol_hands,daily_volume_shares,volume_ratio,aggregated_records,trade_count_sum,duplicate_rows,raw_hash
2023-05-16,original,4721,09:25:00,15:00:01,15.4399995803833,14.510000228881836,14.779999732971191,15.46,14.51,14.78,0.02000041961670007,2.2888183615066282e-07,-2.6702880795426154e-07,1666709.0,166670928.0,0.9999998320042953,4650,153258,0,ebec888b1c562d18390be506a4181bcc9cc3b42084ee965538db6ef179b5e46b
2023-05-16,serial,4718,09:25:00,15:00:01,15.4399995803833,14.510000228881836,14.779999732971191,15.46,14.51,14.78,0.02000041961670007,2.2888183615066282e-07,-2.6702880795426154e-07,1666709.0,166670928.0,0.9999998320042953,4647,153258,0,8c73cf4265c624f925c58f4d88d7134b85c7465ec39472ce306054eb7f198995
2023-09-25,original,4715,09:25:00,15:00:03,20.0,19.229999542236328,19.290000915527344,20.04,19.23,19.29,0.03999999999999915,-4.5776367230132564e-07,9.155273446026513e-07,1046753.0,104675298.0,1.0000000191067047,4636,125844,0,99dcba43d07e67fbfc08044ff349b4077534751234fdf6d571e35053dd66a12a
2023-09-25,serial,4715,09:25:02,15:00:03,20.0,19.229999542236328,19.290000915527344,20.04,19.23,19.29,0.03999999999999915,-4.5776367230132564e-07,9.155273446026513e-07,1046753.0,104675298.0,1.0000000191067047,4636,125844,0,ce875f2833b540f9fc8b84a92e6f26f7adaba48f09e3f82339c75312d5d1e47c
2024-08-01,original,4725,09:25:00,15:00:00,24.709999084472656,23.96999931335449,23.96999931335449,24.78,23.96,23.97,0.07000091552734489,0.009999313354487782,-6.866455102283453e-07,1452511.0,145251146.0,0.9999996833071458,4655,172518,0,520d2961ed1601170ad08fa7d79ce47e579f7892b0eb25ceecb9e92722b5cb5e
2024-08-01,serial,4725,09:25:00,15:00:02,24.709999084472656,23.96999931335449,23.96999931335449,24.78,23.96,23.97,0.07000091552734489,0.009999313354487782,-6.866455102283453e-07,1452511.0,145251146.0,0.9999996833071458,4655,172518,0,b91cd7d86928cfd88e556cb2ff94c1bbe169834cadddd6c2c29f208f1458929a
2025-11-28,original,2000,10:57:09,14:10:00,60.65999984741211,59.59999847412109,60.33000183105469,60.76,59.02,60.72,0.10000015258788864,0.5799984741210835,-0.38999816894531136,487762.0,166778785.0,0.29246045892467676,2000,120161,0,b8833266f9a7c83d163f85e4d665292dc371441011567a43bd8502ded3e25015
2025-11-28,serial,4744,09:25:00,15:00:00,60.7400016784668,59.02999877929688,60.720001220703125,60.76,59.02,60.72,0.019998321533201135,0.009998779296878979,1.2207031261368684e-06,1667788.0,166778785.0,1.0000000899394967,4744,387240,0,7bb3faad438bd05ce1db5ad458f7f0bdab928a46f56cfeaeebd234a6972fc351
2026-07-30,original,5251,09:15:04,15:30:50,57.7400016784668,53.220001220703125,53.79999923706055,57.38,53.22,53.8,-0.3600016784667943,1.2207031261368684e-06,-7.629394502828291e-07,2413069.0,152598379.0,1.5813202052428093,5077,764504571316,0,c5fddbe6f431ebe383af53b5238ffbe769c3b7fdc51e9ec3a7cc436465f12897
2026-07-30,serial,4995,09:25:01,15:30:50,57.27000045776367,53.220001220703125,53.79999923706055,57.38,53.22,53.8,0.10999954223633068,1.2207031261368684e-06,-7.629394502828291e-07,1527797.0,152598379.0,1.0011882236311305,4827,396069,0,678bd1991fff9d51b43127e5bfda0e0b635ca7c39c5336afc6ac155fbaced8f5
