mode,latency,slip,window,delta_mean,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5
1000_S0,original,0.0005,all,4.777599081378747e-18,61,1.138858215530514,0.3800977456945471,55.73770491803278,14222.155809396183,2.9007915648166573,2.007990950109833,-4.552052626129442,-3.516213853669689,-3977.8185803669567,3,14,4,16,1727.0241906040003,1.3511244420342858,0.9962760296085044,0.543723854673698,0.05357466949905329,893.4973200951508,12,25,1.5401042790160413,0.9259612615541968
1000_S0,original,0.0005,recent2024,-1.0877185038557277e-17,37,0.9011407209179928,0.13249063575250986,54.054054054054056,8622.223729496134,2.1471834129830207,1.6639113008485173,-4.552052626129442,-3.985637767732264,-3977.8185803669576,2,9,3,12,1219.6062705040003,1.0953806777456656,0.6570264467390583,-0.014489327214580128,-0.7113848976134853,-4677.7053569088985,10,15,1.5661779734844588,0.6041418520989031
1000_S0,original,0.001,all,-0.10107045497565205,61,1.0377877605548622,0.27976778450536377,55.73770491803278,12427.823206792182,2.6145476604991362,1.8332481083364216,-4.6474529210559865,-3.612649580431678,-4408.265907161924,3,14,4,16,1726.536793208,1.3511244420342858,0.8953483575123793,0.4432497620587041,-0.04640767400988318,-689.4397258098429,13,25,1.4386343852427046,0.8251070363731824
1000_S0,original,0.001,recent2024,-0.10082137627738477,37,0.8003193446406079,0.03240812830956364,54.054054054054056,7200.4110469921425,1.9635051778099988,1.527858787958319,-4.6474529210559865,-4.0816044151465025,-4408.265907161926,2,9,3,12,1219.2489530080002,1.0953806777456656,0.5564498389968484,-0.114391005867654,-0.8105838273044116,-5841.9700558178865,11,15,1.4646964978577302,0.503628147851109
1000_S0,original,0.002,all,-0.30290882369527994,61,0.8359493918352342,0.0794081786272016,50.81967213114754,8839.158001583983,2.133559367277936,1.5297167208411742,-4.837967881283581,-3.805232321844188,-6112.870452324023,4,14,4,16,1725.5619984159998,1.3511244420342858,0.6937951278176093,0.24260233236181714,-0.24607307714117832,-3855.3138176200205,16,24,1.235998330313551,0.6237004746641437
1000_S0,original,0.002,recent2024,-0.30216231087675377,37,0.598978410041239,-0.16745730933246103,48.64864864864865,4356.785681983993,1.643677555075778,1.2886193136063568,-4.837967881283581,-4.273250419902058,-6112.87045232402,3,9,3,12,1218.5343180159998,1.0953806777456656,0.3555977102339617,-0.3138952999714994,-1.0086847230478289,-8207.03865502001,12,14,1.2620373364729816,0.3029016295007998
1000_S0,next_bar_open,0.0005,all,0.003500319020770626,61,1.1423585345512846,0.3363437255927923,55.73770491803278,14242.154666965193,2.9109076675483427,2.007269504340709,-4.5347675940081285,-3.511607266560282,-4047.7384249559545,3,14,4,16,1727.0153330350004,1.3546293010463188,0.9988915125449173,0.5455088949335511,0.05619401251170787,883.5291766601736,12,25,1.5441752120341956,0.9282046937757932
1000_S0,next_bar_open,0.0005,recent2024,0.008958852669221912,37,0.9100995735872146,0.17372278814552483,54.054054054054056,8662.18739966515,2.1645617990551282,1.665964439803478,-4.5347675940081285,-3.952612317630687,-4047.738424955951,2,9,3,12,1219.6226003350002,1.1043555352652399,0.6645362324387114,-0.008633504564649508,-0.7044446633617157,-4667.708687743875,10,15,1.5769882965316726,0.6116173748228817
1000_S0,next_bar_open,0.001,all,-0.09757363401571233,61,1.041284581514802,0.23605749329585599,55.73770491803278,12447.812059930176,2.6233689156403455,1.8329160230836672,-4.630185165337238,-3.6080475961246905,-4508.101431701934,3,14,4,16,1726.5279400699999,1.3546293010463188,0.8979612291071414,0.44503301855909266,-0.04379094851111058,-699.4028826798453,13,25,1.442701249810444,0.8273482265939438
1000_S0,next_bar_open,0.001,recent2024,-0.09187147667324584,37,0.8092692442447469,0.07359907715103545,54.054054054054056,7240.354725330137,1.9790242778882938,1.5300114834648282,-4.630185165337238,-4.0486119710373485,-4508.101431701934,2,9,3,12,1219.2652746699998,1.1043555352652399,0.5639521197522557,-0.1085410350603716,-0.8036505285698546,-5831.9783874878885,11,15,1.4754960173136742,0.5110961998166684
