date,code,open,high,low,close,preclose,volume,amount,adjustflag,tradestatus,pctChg,signal_close,chain_return_error_pct,action_ratio,stage,stage_v3,ordinal,vr,r3,r5,clv,upper,bias20,decelerate,gap,rt_cash,rt_pct,pt_cash,pt_pct,extra_cash_needed,exit_date,next_open,next_close,dividend_today,dividend,exit0935close,exit0935open,cash,net,fee,gross,price_only,event,calendar_days,model_exit,reason,delayed,exit_clock,actual_exit,entry,exit_model
2023-05-08,sh.601138,14.73,14.78,14.35,14.68,14.77,151113962,2202460780.0,3,1,-0.6093,117.57310971751718,4.326337169779926e-05,1.0,R,R,1191,1.0254963867994211,-8.260869565217387,-20.162162162162144,0.3444444444444435,0.0333333333333326,-16.02706236852577,False,3,10.27826525000189,0.06977776816023,-89.67176024999992,-0.6087695875763742,0.0,2023-05-09,14.68,14.7,0.0,0.0,14.78,14.76,379.7197521000024,2.584448469288516,25.3902479,2.861035422343328,0.0,1,1.0,15.1,deadline,False,10:00,2023-05-09,C,1000_S0
2023-05-24,sh.601138,15.14,15.29,14.53,14.82,15.23,122492233,1820114878.28,3,1,-2.6921,118.69437915624016,4.484569927898363e-05,1.0,R,R,1203,0.5293296440646708,-6.85015290519877,3.04465493910695,0.1666666666666666,0.5208333333333329,-3.6197949626629033,False,3,279.5879716000023,1.8466840924702923,-360.09219159999776,-2.378416060766168,0.0,2023-05-25,16.0,16.3,0.0,0.0,16.3,16.3,1437.8369574000003,9.693789370851096,26.6030426,9.986504723346831,7.962213225371117,2,1.0,16.3,deadline,False,10:00,2023-05-25,C,1000_S0
2023-08-14,sh.601138,21.09,21.61,20.7,21.4,21.5,129339573,2737037106.41,3,1,-0.4651,175.65372300789005,1.6279069777136446e-05,1.0,R,R,1259,0.8678137038455702,-11.083540115798174,-9.549852755574229,0.1463414634146353,0.5853658536585369,-6.849207096427657,False,3,-362.749356549999,-1.7200064321953483,256.9408015499974,1.2183063136557486,362.749356549999,2023-08-15,22.04,21.39,0.0,0.0,21.86,21.86,585.8166232000025,2.735426656425199,32.4633768,2.9906542056074903,2.9906542056074903,3,1.0,22.04,deadline,False,10:00,2023-08-15,C,1000_S0
2023-09-20,sh.601138,18.49,18.98,18.18,18.4,18.48,104732424,1951207190.43,3,1,-0.4329,151.02936931519514,4.3290044043908793e-07,1.0,D,D,1286,0.9181439963083826,-0.5917159763313751,-4.149377593361003,0.4022988505747138,0.5977011494252862,-8.109989557953368,False,3,51.94572295000029,0.2809395508382925,-128.0093004499997,-0.6923163896700903,0.0,2023-09-21,18.26,18.31,0.0,0.0,18.46,18.45,71.92552805000189,0.3905942641939864,19.61947195,0.5978260869565322,-0.7608695652173703,4,1.0,18.51,deadline,False,10:00,2023-09-21,C,1000_S0
2023-10-25,sh.601138,13.82,13.85,13.47,13.54,13.76,193065907,2625027048.38,3,1,-1.5988,111.13791633302948,3.7209302328422567e-05,1.0,D,D,1305,2.945614141356292,-16.757410768300062,-20.37037037037037,0.5730337078651679,0.426966292134832,-23.59800111049416,False,3,249.13985640000152,1.8027485991317045,-310.7202164000003,-2.2483373111432727,0.0,2023-10-26,13.4,13.83,0.0,0.0,13.29,13.29,-200.4057583499981,-1.4788013303933605,16.95075835,-1.2555391432791718,-1.0339734121122546,5,1.0,13.37,deadline,False,10:00,2023-10-26,C,1000_S0
2024-01-09,sh.601138,13.33,13.58,13.06,13.19,13.08,88639975,1178732747.65,3,1,0.841,108.26507506888171,2.140672783190745e-05,1.0,D,D,1358,0.7200220768572638,-5.763688760806918,-13.492063492063478,0.1199999999999974,0.240000000000002,-9.546696172331504,True,3,109.8131332000016,0.8238044501125401,-170.11690320000022,-1.2761958229557406,0.0,2024-01-10,13.08,12.91,0.0,0.0,12.89,12.89,-219.85365094999932,-1.6653400840439108,16.75865095,-1.4404852160727732,-0.83396512509476,6,1.0,13.0,deadline,False,10:00,2024-01-10,C,1000_S0
2024-01-18,sh.601138,12.68,13.8,12.68,13.71,12.68,222034735,2966176137.81,3,1,8.123,112.5332963756155,2.8391167209207424e-05,1.0,D,D,1365,1.0118202259172184,-1.3996889580093377,-1.7815646785437789,0.0,0.5476190476190488,-7.350577232208099,True,3,-1059.7957351500015,-8.358010529574145,999.6895326500004,7.883986850552053,1059.7957351500015,2024-01-19,13.84,14.2,0.0,0.0,14.14,14.14,588.5381856000014,4.289014148753826,17.4418144,4.522246535375629,0.9482129832239172,7,1.0,14.33,deadline,False,10:00,2024-01-19,C,1000_S0
2024-04-11,sh.601138,21.23,21.65,21.1,21.25,21.1,135552814,2899217551.91,3,1,0.7109,174.4225053232551,4.739336511017101e-07,1.0,R,R,1417,0.458562609031849,-3.740875912408759,-9.480909480909473,0.1808510638297888,0.1914893617021271,-10.11523142132954,True,3,-62.274492599994325,-0.2933325134243727,-22.28448739999433,-0.1049669684408588,62.274492599994325,2024-04-12,21.8,22.26,0.0,0.0,21.96,21.96,1326.3219618500025,6.236866783277787,21.743038150000004,6.447058823529406,2.5882352941176467,8,1.0,22.62,deadline,False,10:00,2024-04-12,C,1000_S0
2024-04-23,sh.601138,21.05,21.19,20.36,20.59,20.84,104059777,2158505427.26,3,1,-1.1996,169.00514751086223,1.6122840696519702e-05,1.0,R,R,1425,0.9143045345950976,-7.377777777777783,-6.294964028776972,0.77391304347826,0.22608695652174,-7.309804968087697,True,3,418.2438648000039,1.9869067211401608,-501.5262547999961,-2.3825475287410742,0.0,2024-04-24,21.02,22.24,0.0,0.0,21.12,21.12,927.7288948500028,4.5023360253030695,21.19610515,4.711024769305472,2.0883924235065576,9,1.0,21.56,deadline,False,10:00,2024-04-24,C,1000_S0
2024-07-31,sh.601138,22.76,23.88,22.74,23.84,22.85,150300024,3523270166.9,3,1,4.3326,195.6815306779483,3.938730849917249e-06,1.0,R,R,1492,1.1733823259821228,-1.508620689655138,-6.88671556642213,0.2268041237113421,0.1134020618556728,-12.149173394848113,True,3,-1125.1403153999956,-4.9434987495606135,1034.319965400001,4.544463819859406,1125.1403153999956,2024-08-01,24.6,23.97,0.0,0.0,24.26,24.26,413.304677300004,1.732413677711789,22.6253227,1.9295302013422777,3.187919463087252,10,1.0,24.3,deadline,False,10:00,2024-08-01,C,1000_S0
