signal_date,date,purpose,window,has_true_1m
2024-04-23,2024-04-24,sell,09:15-10:10 auction and continuous trading,False
2024-07-31,2024-07-31,buy,14:50-15:00 closing auction,False
2024-07-31,2024-08-01,sell,09:15-10:10 auction and continuous trading,False
2024-08-05,2024-08-05,buy,14:50-15:00 closing auction,False
2024-08-05,2024-08-06,sell,09:15-10:10 auction and continuous trading,False
2024-08-06,2024-08-06,buy,14:50-15:00 closing auction,False
2024-08-06,2024-08-07,sell,09:15-10:10 auction and continuous trading,False
2024-08-07,2024-08-07,buy,14:50-15:00 closing auction,False
2024-08-07,2024-08-08,sell,09:15-10:10 auction and continuous trading,False
2024-08-08,2024-08-08,buy,14:50-15:00 closing auction,False
2024-08-08,2024-08-09,sell,09:15-10:10 auction and continuous trading,False
2024-08-09,2024-08-09,buy,14:50-15:00 closing auction,False
2024-08-09,2024-08-12,sell,09:15-10:10 auction and continuous trading,False
2024-08-12,2024-08-12,buy,14:50-15:00 closing auction,False
2024-08-12,2024-08-13,sell,09:15-10:10 auction and continuous trading,False
2024-08-13,2024-08-13,buy,14:50-15:00 closing auction,False
2024-08-13,2024-08-14,sell,09:15-10:10 auction and continuous trading,False
2024-08-14,2024-08-14,buy,14:50-15:00 closing auction,False
2024-08-14,2024-08-15,sell,09:15-10:10 auction and continuous trading,False
2024-08-15,2024-08-15,buy,14:50-15:00 closing auction,False
2024-08-15,2024-08-16,sell,09:15-10:10 auction and continuous trading,False
2024-08-16,2024-08-16,buy,14:50-15:00 closing auction,False
2024-08-16,2024-08-19,sell,09:15-10:10 auction and continuous trading,False
2024-08-30,2024-08-30,buy,14:50-15:00 closing auction,False
2024-08-30,2024-09-02,sell,09:15-10:10 auction and continuous trading,False
2024-12-10,2024-12-10,buy,14:50-15:00 closing auction,False
2024-12-10,2024-12-11,sell,09:15-10:10 auction and continuous trading,False
2025-04-09,2025-04-09,buy,14:50-15:00 closing auction,False
2025-04-09,2025-04-10,sell,09:15-10:10 auction and continuous trading,False
2025-04-17,2025-04-17,buy,14:50-15:00 closing auction,False
2025-04-17,2025-04-18,sell,09:15-10:10 auction and continuous trading,False
2025-04-18,2025-04-18,buy,14:50-15:00 closing auction,False
2025-04-18,2025-04-21,sell,09:15-10:10 auction and continuous trading,False
2025-11-25,2025-11-25,buy,14:50-15:00 closing auction,False
2025-11-25,2025-11-26,sell,09:15-10:10 auction and continuous trading,False
2025-11-26,2025-11-26,buy,14:50-15:00 closing auction,False
2025-11-26,2025-11-27,sell,09:15-10:10 auction and continuous trading,False
