gap,mode,removed_event,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5
3,1000_S0,1,54,1.0236159244056349,0.2914413468005073,55.55555555555556,12094.912917346166,2.6378172986222785,1.8834439658530961,-4.552052626129442,-3.711562315180963,-3977.8185803669567,3,14,4,16,1549.0220826540003,1.2277781834343455,0.8600277461708148,0.3317029516789798,-0.18983211651133972,-1233.7455719548602,11,21,1.4704234366416578,0.7506575706774309
3,1000_S0,2,60,0.9962760296085044,0.2914413468005073,55.00000000000001,12784.318851996177,2.635557939782318,1.9060846948123678,-4.552052626129442,-3.711562315180963,-3977.8185803669567,3,14,4,16,1700.4211480040003,1.2072014373457434,0.8489374099178074,0.44021216506271454,-0.03262810942989887,-515.6102344088558,12,24,1.3918554591644945,0.8197431511197251
3,1000_S0,3,60,1.1122487415156028,0.2914413468005073,55.00000000000001,13636.339186196175,2.8259470328856406,1.9664713758256462,-4.552052626129442,-3.711562315180963,-3977.8185803669567,3,13,4,15,1694.5608138040004,1.3237989459747324,0.9667989003404247,0.5038747128236707,-6.237023946964015e-05,307.6806968951487,12,24,1.518371144881329,0.8897719536567769
3,1000_S0,4,59,1.1819031225302825,0.3800977456945471,55.932203389830505,14280.443219296176,2.9426421543065016,2.0215497329261565,-4.552052626129442,-3.711562315180963,-3977.8185803669567,2,13,4,15,1687.0867807040001,1.3944426938868044,1.035146463076475,0.5687123878454146,0.06110696380361256,951.784729995145,12,25,1.6019957908671036,0.969101171861007
3,1000_S0,5,48,1.2438454343494545,0.38534600494426674,56.25,12714.832792246156,2.836176602030623,1.9393350495839372,-4.552052626129442,-3.711562315180963,-3977.8185803669567,2,12,4,15,1496.612207754,1.4535684393531394,1.0640593931472917,0.4981175236878613,-0.11642160608858451,-613.825697054875,11,21,1.7786062634025757,1.0051195262135522
3,1000_S0,6,60,1.1855948538567544,0.38534600494426674,56.666666666666664,14442.00946034618,3.039278376769495,2.0397748448975217,-4.552052626129442,-3.711562315180963,-3977.8185803669567,3,14,4,15,1710.2655396540003,1.3976512696694032,1.0413881671280367,0.5838886535594727,0.08795296456991265,1113.3509710451485,11,25,1.5983850856171309,0.9777872884661588
3,1000_S0,7,60,1.086355616643459,0.2914413468005073,55.00000000000001,13633.61762379618,2.783439028364995,1.9662784859216034,-4.552052626129442,-3.711562315180963,-3977.8185803669567,3,14,4,15,1709.5823762040004,1.2982724071452632,0.9404669089450244,0.47562766750860475,-0.031134120086042164,304.95913449514956,12,24,1.4901240995662632,0.8587002038102043
3,1000_S0,8,60,1.0538914060680595,0.2914413468005073,55.00000000000001,12895.833847546179,2.730143459880601,1.9139882860697264,-4.552052626129442,-3.711562315180963,-3977.8185803669567,3,14,4,15,1705.2811524540004,1.2661922023427004,0.9074524575124148,0.44021216506271454,-0.03262810942989887,-432.8246417548521,12,24,1.454708597120373,0.8197431511197251
3,1000_S0,9,60,1.082800252034305,0.2914413468005073,55.00000000000001,13294.426914546177,2.777602287700253,1.942238447978871,-4.552052626129442,-3.711562315180963,-3977.8185803669567,3,14,4,15,1705.8280854540005,1.2951261032464325,0.936851283918766,0.47174908793498216,-0.03262810942989887,-34.23157475485232,12,24,1.4862455199926405,0.8544337662792194
3,1000_S0,10,50,1.2366829064836073,0.296689606050227,54.0,12601.248981296147,2.9890998551597123,1.971707864601246,-4.552052626129442,-3.711562315180963,-3977.8185803669567,3,13,4,15,1496.0010187040002,1.4514611530130468,1.0640888970067197,0.5069406675232464,-0.12259744196823208,-727.4095080048828,10,20,1.7468807511492732,0.9896954629020758
3,1000_S0,11,60,1.2148262342782739,0.38534600494426674,56.666666666666664,14922.598660196178,3.200181371192042,2.112882182615619,-4.552052626129442,-3.5485441684478904,-3977.8185803669567,3,14,4,15,1706.7213398040005,1.4273803590904994,1.0711149946753449,0.6157774322011303,0.12303062107573613,1593.9401708951495,11,25,1.607841357615316,0.9881891876641626
3,1000_S0,12,60,1.1633768884485491,0.38534600494426674,56.666666666666664,14295.77278204618,2.9274048614782773,2.0185227549880085,-4.552052626129442,-3.711562315180963,-3977.8185803669567,3,13,4,15,1705.5322179540005,1.3759015386517497,1.0187936260349468,0.5596508731141581,0.06129140608006645,967.1142927451506,12,25,1.5741473051718164,0.9511257299763127
3,1000_S0,13,60,0.9963516092666954,0.2914413468005073,55.00000000000001,12638.609113796178,2.6356820167513173,1.895757561611405,-4.552052626129442,-3.711562315180963,-3977.8185803669567,4,14,4,15,1707.7108862040004,1.2083033174562288,0.8489374099178074,0.44021216506271454,-0.03262810942989887,-515.6102344088558,12,24,1.391937909700703,0.8197431511197251
3,1000_S0,14,59,1.1845400793016914,0.3905942641939864,57.6271186440678,14295.286269396176,2.9343121716662885,2.0184527907944694,-4.552052626129442,-3.711562315180963,-3977.8185803669567,3,14,4,15,1688.8537306040002,1.3969163950495604,1.0378288846198052,0.5715935072808429,0.06428207501816618,966.6277800951461,12,25,1.604876910302532,0.9722762830755605
3,1000_S0,15,53,1.2942540332798649,0.3905942641939864,56.60377358490566,13826.088636294127,3.461328293208787,2.569725616623265,-4.552052626129442,-3.711562315180963,-3779.912716541994,3,12,4,15,1345.4113637060004,1.511472700381237,1.1327245075573413,0.6165548357097145,0.08724552474702436,2861.239779903103,8,23,1.749497683761362,1.0459315621111356
