date,code,open,high,low,close,preclose,volume,amount,adjustflag,tradestatus,pctChg,signal_close,chain_return_error_pct,action_ratio,stage,stage_v3,ordinal,vr,r3,r5,clv,upper,bias20,decelerate,gap,rt_cash,rt_pct,pt_cash,pt_pct,extra_cash_needed,exit_date,next_open,next_close,dividend_today,dividend,exit0935close,exit0935open,cash,net,fee,gross,price_only,event,calendar_days,model_exit,reason,delayed,exit_clock,actual_exit,entry,exit_model
2023-05-08,sh.601138,14.73,14.78,14.35,14.68,14.77,151113962,2202460780.0,3,1,-0.6093,117.57310971751718,4.326337169779926e-05,1.0,R,R,1191,1.0254963867994211,-8.260869565217387,-20.162162162162144,0.3444444444444435,0.0333333333333326,-16.02706236852577,False,3,10.27826525000189,0.06977776816023,-89.67176024999992,-0.6087695875763742,0.0,2023-05-09,14.68,14.7,0.0,0.0,14.78,14.76,379.7197521000024,2.584448469288516,25.3902479,2.861035422343328,0.0,1,1.0,15.1,deadline,False,10:00,2023-05-09,C,1000_S0
2023-05-10,sh.601138,14.7,15.04,14.37,14.6,14.7,102661904,1502842987.76,3,1,-0.6803,116.93238432396124,2.789115646184559e-05,1.0,R,R,1193,0.9859863012409888,-4.421326397919378,-8.695652173913048,0.3614457831325288,0.6385542168674712,-14.720812182741115,False,3,60.36435050000036,0.4106418401360569,-139.5357004999978,-0.9492224523809374,0.0,2023-05-11,14.51,14.46,0.0,0.0,14.58,14.56,-19.514889899998764,-0.1335497821686213,24.9048899,0.136986301369868,-0.6164383561643838,1,1.0,14.62,deadline,False,10:00,2023-05-11,C,1000_S0
2023-05-11,sh.601138,14.51,14.8,14.35,14.46,14.6,109398210,1590025501.13,3,1,-0.9589,115.81111488523833,4.109589031631167e-06,1.0,R,R,1194,0.527229410058811,-1.1509817197021044,-9.429280397022332,0.3432835820895529,0.507462686567164,-14.36447885506481,True,3,10.722555249999417,0.0738976929703612,-89.22747024999876,-0.6149377687801432,0.0,2023-05-12,14.34,14.36,0.0,0.0,14.41,14.41,-89.1264952499995,-0.6158387774508549,24.69149525,-0.3457814661134262,-0.8298755186722073,1,1.0,14.41,deadline,False,10:00,2023-05-12,C,1000_S0
2023-05-12,sh.601138,14.34,14.79,14.22,14.36,14.46,80167627,1160032070.34,3,1,-0.6916,115.01020814329335,3.706777315870546e-05,1.0,R,R,1195,0.5693850689596507,-1.4986376021798309,-5.981794538361507,0.2444444444444465,0.6444444444444449,-14.430274876468308,True,3,-58.96983009999855,-0.411226151324955,-18.989819899998544,-0.132425522315192,58.96983009999855,2023-05-15,14.62,15.12,0.0,0.0,14.83,14.84,380.3659921000021,2.646517019696126,25.0640079,2.924791086350975,1.810584958217265,1,3.0,14.78,deadline,False,10:00,2023-05-15,C,1000_S0
2023-05-15,sh.601138,14.62,15.38,14.16,15.12,14.36,232318960,3437969743.98,3,1,5.2925,121.09709938207492,2.0891364894026765e-05,1.0,R,R,1196,0.4275219205901354,-2.3129251700680364,-2.775897088693302,0.2456140350877178,0.7543859649122822,-14.26353812167891,False,3,-539.780092499999,-3.692066296169624,459.720162500001,3.1444607558139603,539.780092499999,2023-05-16,15.09,14.78,0.0,0.0,15.3,15.28,-310.12727634999874,-2.049383423114986,25.142276350000003,-1.7857142857142794,-0.1984126984126977,1,1.0,14.85,deadline,False,10:00,2023-05-16,C,1000_S0
2023-05-16,sh.601138,15.09,15.46,14.51,14.78,15.12,166670928,2488224299.86,3,1,-2.2487,118.37401645946213,2.2751322755532044e-05,1.0,R,R,1197,1.2226172126519073,3.561643835616435,2.9972752043596618,0.7868852459016382,0.2131147540983618,-8.827785817655565,False,3,269.68384655000415,1.7871692945659654,-350.0063115499977,-2.31945865838302,0.0,2023-05-17,14.85,15.55,0.0,0.0,15.06,15.08,858.7932445000023,5.805584219698094,25.976755500000003,6.089309878213811,0.4736129905277497,1,1.0,15.68,deadline,False,10:00,2023-05-17,C,1000_S0
2023-05-17,sh.601138,14.85,15.85,14.82,15.55,14.78,214696710,3314842387.56,3,1,5.2097,124.5409983724382,4.28958051585937e-05,1.0,R,R,1198,0.8762142197971048,2.2130013831258566,0.5442176870748217,0.2842105263157887,0.3894736842105269,-10.09732360097322,True,3,-740.3465784999989,-4.985498845117839,658.953778500003,4.4373991818182015,740.3465784999989,2023-05-18,15.91,16.35,0.0,0.0,15.85,15.85,927.132564850002,5.957313503508807,26.83243515,6.237942122186491,2.3151125401929207,1,1.0,16.52,deadline,False,10:00,2023-05-18,C,1000_S0
2023-05-24,sh.601138,15.14,15.29,14.53,14.82,15.23,122492233,1820114878.28,3,1,-2.6921,118.69437915624016,4.484569927898363e-05,1.0,R,R,1203,0.5293296440646708,-6.85015290519877,3.04465493910695,0.1666666666666666,0.5208333333333329,-3.6197949626629033,False,3,279.5879716000023,1.8466840924702923,-360.09219159999776,-2.378416060766168,0.0,2023-05-25,16.0,16.3,0.0,0.0,16.3,16.3,1437.8369574000003,9.693789370851096,26.6030426,9.986504723346831,7.962213225371117,2,1.0,16.3,deadline,False,10:00,2023-05-25,C,1000_S0
2023-08-14,sh.601138,21.09,21.61,20.7,21.4,21.5,129339573,2737037106.41,3,1,-0.4651,175.65372300789005,1.6279069777136446e-05,1.0,R,R,1259,0.8678137038455702,-11.083540115798174,-9.549852755574229,0.1463414634146353,0.5853658536585369,-6.849207096427657,False,3,-362.749356549999,-1.7200064321953483,256.9408015499974,1.2183063136557486,362.749356549999,2023-08-15,22.04,21.39,0.0,0.0,21.86,21.86,585.8166232000025,2.735426656425199,32.4633768,2.9906542056074903,2.9906542056074903,3,1.0,22.04,deadline,False,10:00,2023-08-15,C,1000_S0
2023-09-20,sh.601138,18.49,18.98,18.18,18.4,18.48,104732424,1951207190.43,3,1,-0.4329,151.02936931519514,4.3290044043908793e-07,1.0,D,D,1286,0.9181439963083826,-0.5917159763313751,-4.149377593361003,0.4022988505747138,0.5977011494252862,-8.109989557953368,False,3,51.94572295000029,0.2809395508382925,-128.0093004499997,-0.6923163896700903,0.0,2023-09-21,18.26,18.31,0.0,0.0,18.46,18.45,71.92552805000189,0.3905942641939864,19.61947195,0.5978260869565322,-0.7608695652173703,4,1.0,18.51,deadline,False,10:00,2023-09-21,C,1000_S0
2023-09-22,sh.601138,18.3,20.1,18.24,19.94,18.31,212826070,4131079561.15,3,1,8.9022,163.6698708774452,3.921354451463799e-05,1.0,D,D,1288,0.6718010658608696,0.0546448087431539,-1.5061861215707628,0.1698113207547163,0.8301886792452836,-7.32867699159836,True,3,-1678.647833199999,-9.172938979234967,1600.5325932000046,8.74607974426232,1678.647833199999,2023-09-25,19.76,19.29,0.0,0.0,19.76,19.76,-130.2129379499968,-0.6525273461192819,20.31793795,-0.4513540621865597,-0.9027081243731194,4,3.0,19.85,deadline,False,10:00,2023-09-25,C,1000_S0
2023-10-25,sh.601138,13.82,13.85,13.47,13.54,13.76,193065907,2625027048.38,3,1,-1.5988,111.13791633302948,3.7209302328422567e-05,1.0,D,D,1305,2.945614141356292,-16.757410768300062,-20.37037037037037,0.5730337078651679,0.426966292134832,-23.59800111049416,False,3,249.13985640000152,1.8027485991317045,-310.7202164000003,-2.2483373111432727,0.0,2023-10-26,13.4,13.83,0.0,0.0,13.29,13.29,-200.4057583499981,-1.4788013303933605,16.95075835,-1.2555391432791718,-1.0339734121122546,5,1.0,13.37,deadline,False,10:00,2023-10-26,C,1000_S0
2023-10-26,sh.601138,13.4,14.02,13.24,13.83,13.54,141580469,1926808466.89,3,1,2.1418,113.51827052332332,2.067946829775736e-06,1.0,D,D,1306,1.7157540331989882,-16.264687693259127,-19.97635933806148,0.184210526315786,0.0789473684210511,-23.77413725159038,False,3,-460.583952149998,-3.437193672761179,399.201159650002,2.9791131317164328,460.583952149998,2023-10-27,13.83,14.07,0.0,0.0,13.77,13.77,-120.92726544999805,-0.8736223031729564,17.14226545,-0.6507592190889366,0.0,5,1.0,13.74,deadline,False,10:00,2023-10-27,C,1000_S0
2023-10-27,sh.601138,13.83,14.19,13.66,14.07,13.83,99990449,1394536019.47,3,1,1.7354,115.48821881873889,4.208242950975993e-05,1.0,D,D,1307,1.2379399409306555,-4.948453608247427,-16.333938294010906,0.7564102564102568,0.2435897435897431,-21.12692121246685,False,3,-271.14054369999707,-1.9605245386839991,208.7395187000029,1.509324068691272,271.14054369999707,2023-10-30,14.07,14.6,0.0,0.0,14.02,14.04,28.556532800001456,0.2027849479064676,17.3434672,0.4264392324093924,0.0,5,3.0,14.13,deadline,False,10:00,2023-10-30,C,1000_S0
2023-10-30,sh.601138,14.07,14.76,13.93,14.6,14.07,120823083,1739499854.46,3,1,3.7669,119.83852130444828,2.0113717141168053e-05,1.0,D,D,1308,0.8643985897570206,2.2529069767441623,-12.987012987013014,0.7735849056603785,0.2264150943396214,-18.776158175782964,True,3,-561.6531851499973,-3.99184921926082,498.0819526500027,3.540028092750552,561.6531851499973,2023-10-31,14.82,14.72,0.0,0.0,14.87,14.88,247.52892140000205,1.6939595202843631,17.7310786,1.9178082191780852,1.5068493150685036,5,1.0,14.88,deadline,False,10:00,2023-10-31,C,1000_S0
