id,stage,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash
ON0_common,U,417,-0.37469611117154344,-0.3831023697095659,30.215827338129497,-50346.13984274377,0.5415037952573836,0.5599110664071165,-10.23087722223011,-4.681464040880806,-50408.48668884375,18.0,39.0,7.0,26.0,12562.079842744999,-0.14472861562674688,-0.3895299121958062,-0.44729725324302844,-0.5101056359810335,-67788.23697993279
ON0_common,R,450,-0.2766128184918148,-0.27753130425433786,32.22222222222222,-24618.24205039703,0.537866610955862,0.6418342524056652,-7.757659565589339,-3.433497965271998,-27324.622580129046,11.0,67.0,7.0,46.0,12109.532050398,-0.02838038273058361,-0.2943207865718117,-0.33924024320852314,-0.382466704330906,-35590.07997708206
ON0_common,D,445,-0.3878282770086814,-0.2998961221810307,31.011235955056183,-34712.452241494015,0.42174079331436737,0.4970515317022885,-10.213887194477932,-4.697682269158233,-36134.28115957105,13.0,46.0,7.0,25.0,10869.022241495,-0.14207269345264897,-0.4098360620323295,-0.44978772650533794,-0.4880192720244186,-43851.82830867104
ON0_common,C,311,-0.2600615064698636,-0.3026528915264156,29.260450160771708,-22574.636473739236,0.5495719466410608,0.5575390315093902,-4.340364230482233,-3.200394753368484,-22574.63647373923,23.0,38.0,7.0,32.0,8245.67647374,-0.014627783602976558,-0.29249801189120284,-0.3626582689069325,-0.4158404256106171,-31257.323864422273
ON0_common,UNKNOWN,0,,,,,,,,,,,,,,,,,,,
L1_tail_up,U,174,-0.38941003310442407,-0.3669190150766003,29.88505747126437,-22904.83415216249,0.5067249700875028,0.4852516298152167,-10.23087722223011,-4.265401155318558,-22904.83415216249,21.0,36.0,7.0,34.0,5248.994152163,-0.15966328946736416,-0.4238582507629934,-0.5250671941735654,-0.6129673455382186,-30855.648179074524
L1_tail_up,R,205,-0.37718525397993014,-0.2884235661976922,30.24390243902439,-18404.78616538759,0.41631438574173385,0.4421580444698548,-7.757659565589339,-3.4848342666343557,-21172.966963880623,16.0,51.0,7.0,47.0,5454.516165388,-0.1293848295222469,-0.40078293034312096,-0.47038943259561417,-0.5379934845979107,-23559.211899293612
L1_tail_up,D,183,-0.4166279610258825,-0.3824948800012732,29.508196721311474,-22070.45717081659,0.3953849921534232,0.3282013473639408,-5.966708952003329,-4.008080335736092,-22526.4787986446,14.0,41.0,7.0,33.0,4538.5321708169995,-0.16963909640059546,-0.4704755227539976,-0.5426275661824349,-0.6090564321555108,-26625.967587141604
L1_tail_up,C,146,-0.3603062983541656,-0.303427923773013,25.34246575342466,-16373.420497867653,0.3982511120461536,0.3670209655529192,-4.308875072754563,-3.0771411275396643,-16373.420497867652,22.0,35.0,7.0,32.0,3834.7854978680007,-0.1104796550421052,-0.400357039948951,-0.4909921343569374,-0.5605618962273453,-22211.59383153267
L1_tail_up,UNKNOWN,0,,,,,,,,,,,,,,,,,,,
L2_tail_down,U,212,-0.40635748901836527,-0.42734684155290437,30.18867924528302,-28692.667811781343,0.5146921197753415,0.5543885038729355,-8.310725936842765,-4.602435546431691,-29401.560180781355,12.0,37.0,7.0,31.0,6491.377811782,-0.17900823630778495,-0.43575333074319983,-0.5446463250524798,-0.6372817675338244,-44212.60974111337
L2_tail_down,R,222,-0.23633550899768754,-0.2543518755226766,33.33333333333333,-8784.01930356047,0.5929667555531991,0.7441240860642744,-4.58529445540711,-3.361234443820998,-10105.041544245472,10.0,57.0,7.0,43.0,6099.199303561001,0.010898384926679754,-0.27213008075526424,-0.35857938447933385,-0.43096021980509414,-18937.28938831249
L2_tail_down,D,232,-0.3208132433386386,-0.28564427876591936,31.46551724137931,-9174.07034879047,0.48327785014169644,0.7089867912573229,-10.213887194477932,-4.353576511507132,-13637.37045609974,10.0,42.0,7.0,28.0,5701.4853487909995,-0.0757583304842807,-0.3482545563219278,-0.4093011865698458,-0.46473016257437594,-17965.254308900505
L2_tail_down,C,149,-0.19928074050553585,-0.3063454139229118,33.557046979865774,-7216.701767141607,0.6572410081874314,0.7059656005666646,-4.340364230482233,-3.295599588070743,-9409.426318103873,18.0,35.0,7.0,34.0,4051.2167671419993,0.0389891995969228,-0.2668113885775011,-0.38708842484516975,-0.4635853253297213,-14531.820671361646
L2_tail_down,UNKNOWN,0,,,,,,,,,,,,,,,,,,,
