id,window,total,known,unknown,hit,not_hit,universe_mean,nonhit_mean
L5_breakout,2020,243,243,0,15,228,-0.3810473180402405,-0.37805148747746475
L5_breakout,2021,243,243,0,13,230,-0.318276360399751,-0.3088222602791192
L5_breakout,2022,242,242,0,15,227,-0.35644635025818466,-0.3412356903625376
L5_breakout,2023,242,242,0,12,230,-0.33532254549688256,-0.3202085960222765
L5_breakout,2024,242,242,0,8,234,-0.32477225879511235,-0.3091958080694524
L5_breakout,2025,243,243,0,19,224,-0.3074202467890301,-0.27984181107086914
L5_breakout,2026,168,168,0,15,153,-0.25919657874431745,-0.28825821807702207
L6_breakdown,main2020,1623,1623,0,181,1442,-0.3291354026252871,-0.30572480570855726
L6_breakdown,old2020_2023,970,970,0,104,866,-0.34777703776664354,-0.3432948242843206
L6_breakdown,recent2024,653,653,0,77,576,-0.3014441528747272,-0.2492393263915241
L6_breakdown,all,2006,1623,383,181,1442,-0.3291354026252871,-0.30572480570855726
L6_breakdown,2018,139,0,139,0,0,,
L6_breakdown,2019,244,0,244,0,0,,
L6_breakdown,2020,243,243,0,28,215,-0.3810473180402405,-0.3800037780074824
L6_breakdown,2021,243,243,0,26,217,-0.318276360399751,-0.30666022557110933
L6_breakdown,2022,242,242,0,25,217,-0.35644635025818466,-0.37704469390050094
L6_breakdown,2023,242,242,0,25,217,-0.33532254549688256,-0.30980893102891033
L6_breakdown,2024,242,242,0,34,208,-0.32477225879511235,-0.24028410300420985
L6_breakdown,2025,243,243,0,22,221,-0.3074202467890301,-0.2852718338109015
L6_breakdown,2026,168,168,0,21,147,-0.25919657874431745,-0.20773934220702717
L7_tail_up_volume,main2020,1623,1603,20,106,1497,-0.32094661873800256,-0.3208336077768244
L7_tail_up_volume,old2020_2023,970,950,20,63,887,-0.33435199790507497,-0.33177997063361947
L7_tail_up_volume,recent2024,653,653,0,43,610,-0.3014441528747272,-0.30491651949161586
L7_tail_up_volume,all,2006,1603,403,106,1497,-0.32094661873800256,-0.3208336077768244
L7_tail_up_volume,2018,139,0,139,0,0,,
L7_tail_up_volume,2019,244,0,244,0,0,,
L7_tail_up_volume,2020,243,223,20,12,211,-0.3268393258293968,-0.3203775551662789
L7_tail_up_volume,2021,243,243,0,16,227,-0.318276360399751,-0.3115697224581432
L7_tail_up_volume,2022,242,242,0,15,227,-0.35644635025818466,-0.3532154038381355
L7_tail_up_volume,2023,242,242,0,20,222,-0.33532254549688256,-0.3413646222643259
L7_tail_up_volume,2024,242,242,0,16,226,-0.32477225879511235,-0.36004965528735056
L7_tail_up_volume,2025,243,243,0,20,223,-0.3074202467890301,-0.3039165838846206
L7_tail_up_volume,2026,168,168,0,7,161,-0.25919657874431745,-0.22890966825263362
L8_tail_down_volume,main2020,1623,1603,20,106,1497,-0.32094661873800256,-0.3085074253867522
L8_tail_down_volume,old2020_2023,970,950,20,66,884,-0.33435199790507497,-0.3345566356188486
L8_tail_down_volume,recent2024,653,653,0,40,613,-0.3014441528747272,-0.27094216952186934
L8_tail_down_volume,all,2006,1603,403,106,1497,-0.32094661873800256,-0.3085074253867522
L8_tail_down_volume,2018,139,0,139,0,0,,
L8_tail_down_volume,2019,244,0,244,0,0,,
L8_tail_down_volume,2020,243,223,20,16,207,-0.3268393258293968,-0.31448501560228
L8_tail_down_volume,2021,243,243,0,20,223,-0.318276360399751,-0.32024034065168083
L8_tail_down_volume,2022,242,242,0,16,226,-0.35644635025818466,-0.3817657451275409
L8_tail_down_volume,2023,242,242,0,14,228,-0.33532254549688256,-0.3199869004089524
L8_tail_down_volume,2024,242,242,0,17,225,-0.32477225879511235,-0.3164235145272015
L8_tail_down_volume,2025,243,243,0,13,230,-0.3074202467890301,-0.23976905140156352
L8_tail_down_volume,2026,168,168,0,10,158,-0.25919657874431745,-0.25155302105016436
