id,window,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash
ON0_common,main2020,1623,-0.15587879799524765,-0.20390574382977858,38.87861983980284,-31494.609243117982,0.7253291098487736,0.8715822284532538,-10.200745196903522,-3.889855348872354,-40429.460135886395,17,81,7,1,43829.449243122006,0.08681121024773307,-0.16202289372074988,-0.18455210238449998,-0.2036030909194396,-49114.98645821202
ON0_common,old2020_2023,970,-0.2070606187207833,-0.27349671309562124,32.98969072164948,-21445.230041248575,0.5482952101255751,0.6569636478298,-8.235700377192982,-2.837596113065708,-28733.71070014893,17,48,4,1,22544.70504125,0.07057361695814657,-0.21739798207216632,-0.24809021817648316,-0.27218767413273126,-28329.63338679858
ON0_common,recent2024,653,-0.07985067226206298,-0.1097734818718191,47.626339969372125,-10049.379201869408,0.8905545526784342,0.9450058022202212,-10.200745196903522,-4.869772641049577,-18692.79266484868,9,33,3,1,21284.744201872,0.11093137179581719,-0.09496450995964535,-0.1372294436226396,-0.17690806796905414,-27669.756416963413
L1_tail_up,main2020,708,-0.10065675692115042,-0.2018966165475995,39.68926553672316,8786.845948737671,0.8045016517365532,1.101013849643038,-9.83232226178813,-3.452407909706794,-16153.30749603202,16,81,7,39,19104.484051264,0.14333232584299221,-0.11459156152782808,-0.14781442557704558,-0.17769476853240687,-2166.056118266395
L1_tail_up,old2020_2023,432,-0.17355750986786353,-0.21793808938737008,34.02777777777778,-6197.99492394937,0.5836372411796465,0.7477480807454311,-4.123571283439474,-2.4387905501994367,-13189.692614199543,16,48,4,25,10116.924923950002,0.10468014251770062,-0.19658490571442466,-0.2328713283417225,-0.2600662918487264,-10848.768513099385
L1_tail_up,recent2024,276,0.013448769430226586,-0.09371685377925515,48.55072463768116,14984.84087268704,1.0201234926448421,1.240080538893636,-9.83232226178813,-4.584532312970337,-7832.162048532678,6,33,3,15,8987.559127314,0.20383139539562256,-0.0133395342958609,-0.08313791426710666,-0.15323112271986108,4031.9388056829703
L2_tail_down,main2020,815,-0.1821221805196805,-0.20390677389858383,38.65030674846626,-30646.129430721823,0.6908938055409256,0.7816254586811076,-10.200745196903522,-4.025861853074546,-31787.90852209682,18,81,7,21,22361.949430724002,0.05803294058397439,-0.1943973238234754,-0.23161156679887,-0.2609868685286092,-48121.292586864845
L2_tail_down,old2020_2023,470,-0.22434749383295544,-0.2770550404001427,32.5531914893617,-12538.558323049296,0.5256603663459597,0.6015409269437814,-8.235700377192982,-2.8184651424105307,-12939.560801499354,18,48,4,18,10865.09832305,0.05219178962737138,-0.24574235942485798,-0.28699669406792494,-0.32110975566117733,-17422.8633051493
L2_tail_down,recent2024,345,-0.1245978406436247,-0.10717987626058303,46.95652173913044,-18107.571107672524,0.8333185179929032,0.833676891502362,-10.200745196903522,-4.978977743757316,-21463.574239947604,9,33,3,4,11496.851107674,0.0659904505828249,-0.1533739143273611,-0.22517279033473483,-0.2889840073630179,-35582.73426381555
L3_afternoon_recovery,main2020,337,-0.106139305532213,-0.14291097439024036,41.839762611275965,-2197.310673570149,0.7906948875445134,0.9523397539469131,-6.391240648360583,-3.486843091768005,-9865.638223699667,10,80,7,108,9147.580673571,0.13990560229630514,-0.12842017338827402,-0.17826355860398843,-0.22418785326960164,-11620.254918557192
