id,window,n,late_log_mean,overnight_log_mean,combined_log_mean,late_price_mean
ON0_common,main2020,1623,0.050835255525470614,-0.09881809689618684,-0.04798284137071621,0.05123167404438494
ON0_common,old2020_2023,970,0.052466516903102854,-0.07750167737669653,-0.025035160473593682,0.05283153388496039
ON0_common,recent2024,653,0.04841209543924815,-0.1304826098118156,-0.08207051437256742,0.048855159426684794
L1_tail_up,main2020,708,0.04426155033007059,-0.15366641056189437,-0.10940486023182376,0.044631482922925986
L1_tail_up,old2020_2023,432,0.03819655242209837,-0.11015437088253993,-0.07195781846044158,0.038572781863464085
L1_tail_up,recent2024,276,0.05375459053385321,-0.2217722117991447,-0.1680176212652915,0.054114667189909836
L2_tail_down,main2020,815,0.061115342478199955,-0.07054482269186717,-0.009429480213667202,0.06156461514553264
L2_tail_down,old2020_2023,470,0.07212910247907153,-0.05915725498135403,0.012971847497717529,0.07250932812829118
L2_tail_down,recent2024,345,0.04611108972338938,-0.08605832073227633,-0.039947231008886995,0.04665442644438334
L3_afternoon_recovery,main2020,337,0.06607054490258335,-0.149307885603094,-0.08323734070051063,0.06651937090660184
L3_afternoon_recovery,old2020_2023,216,0.0645645961042072,-0.12822823400168534,-0.06366363789747811,0.06503387501004615
L3_afternoon_recovery,recent2024,121,0.06875885019555233,-0.18693767689155902,-0.1181788266960067,0.06917116523433761
L4_afternoon_reversal,main2020,415,0.05534963864996143,-0.04753939346085056,0.007810245189110894,0.05575854636940238
L4_afternoon_reversal,old2020_2023,239,0.03921277649521472,-0.052417239691614104,-0.01320446319639938,0.03946906072747658
L4_afternoon_reversal,recent2024,176,0.07726276396237318,-0.040915499999756876,0.03634726396261631,0.07787892743997207
L5_breakout,main2020,97,-0.01132325082864399,-0.2535688841369061,-0.26489213496555014,-0.010818075690000383
L5_breakout,old2020_2023,55,-0.044615295207296374,-0.2500256598428744,-0.2946409550501708,-0.04394458522558497
L5_breakout,recent2024,42,0.03227347395292461,-0.25820882071242396,-0.2259353467594994,0.03256187727326514
L6_breakdown,main2020,181,0.03393081313975147,-0.28829316147185946,-0.2543623483321081,0.034543419020314714
L6_breakdown,old2020_2023,104,0.05193796112602554,-0.11571645106290421,-0.06377848993687864,0.05239497855920487
L6_breakdown,recent2024,77,0.009609470405043629,-0.5213837833229158,-0.5117743129178723,0.010432221721034508
L7_tail_up_volume,main2020,106,-8.05602282640777e-05,-0.0932554597084869,-0.09333601993675096,0.0005624637492260957
L7_tail_up_volume,old2020_2023,63,-0.025253757356489805,-0.09772304059111458,-0.1229767979476044,-0.02458392685737381
L7_tail_up_volume,recent2024,43,0.03680110068053176,-0.08670993422928824,-0.0499088335487565,0.037404849986802706
L8_tail_down_volume,main2020,106,0.04849522422845945,-0.2682937006077865,-0.2197984763793271,0.04921375288508473
L8_tail_down_volume,old2020_2023,66,0.07046901844277725,-0.05085855739616634,0.019610461046610968,0.07109399103784608
L8_tail_down_volume,recent2024,40,0.012238463774835045,-0.6270616869069598,-0.6148232231321248,0.013111359933028477
