id,window,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,ci_low,ci_high,increment,inc_low,inc_high,p_mean,p_inc
ON0_common,main2020,1623,-0.3291354026252871,-0.2929934367456236,30.80714725816389,-132251.47060837405,0.5090866642638987,0.5637751005358459,-10.23087722223011,-4.1369749560615015,-132313.8174544739,22.0,81.0,7.0,1.0,43786.310608378,-0.08681121024773295,-0.33537732036682266,-0.3542646935121834,-0.372779049930421,-150213.990199094,-0.39786106385031694,-0.26356174891908385,0.0,0.0,0.0,1.0,1.0
ON0_common,old2020_2023,970,-0.34777703776664354,-0.3026020564984644,26.804123711340207,-49881.042463748614,0.3600864378122192,0.3721443178106321,-10.23087722223011,-3.2697845899655085,-50035.447195948545,22.0,48.0,4.0,1.0,22520.51746375,-0.07057361695814651,-0.3560557187647791,-0.3792262954668477,-0.39921172968915736,-54990.9595079486,-0.4189647910901245,-0.2819179110165856,0.0,0.0,0.0,1.0,1.0
ON0_common,recent2024,653,-0.3014441528747272,-0.2628229667598431,36.75344563552833,-82370.42814462543,0.6491074139923896,0.6318245305087803,-10.16030222072976,-4.761104537259931,-82370.42814462549,12.0,33.0,3.0,1.0,21265.793144628,-0.11093137179581691,-0.3169298880388683,-0.36107785144222765,-0.4065619033002648,-100332.94773534543,-0.424800994665443,-0.1571822709198416,0.0,0.0,0.0,1.0,1.0
ON0_common,all,1623,-0.3291354026252871,-0.2929934367456236,30.80714725816389,-132251.47060837405,0.5090866642638987,0.5637751005358459,-10.23087722223011,-4.1369749560615015,-132313.8174544739,22.0,81.0,7.0,1.0,43786.310608378,-0.08681121024773295,-0.33537732036682266,-0.3542646935121834,-0.372779049930421,-150213.990199094,,,,,,,
ON0_common,2018,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ON0_common,2019,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ON0_common,2020,243,-0.3810473180402405,-0.2761177419572468,32.92181069958848,-15317.47162649962,0.3612858590490043,0.33862729155798793,-10.23087722223011,-3.6944417550104256,-15379.818472599625,15.0,12.0,1.0,1.0,6198.9866265,-0.10979792225164207,-0.4029160162322294,-0.45375575563559395,-0.4974440199586951,-17718.177437599636,,,,,,,
ON0_common,2021,243,-0.318276360399751,-0.2884235661976922,17.695473251028808,-9980.638399599648,0.15694279341288017,0.15833797501888053,-1.949387564932994,-1.3775978981801074,-9980.638399599657,22.0,12.0,1.0,1.0,5635.8783996,-0.035315154170760525,-0.32897482167853803,-0.3520527715494625,-0.37209112625939755,-10838.562175099656,,,,,,,
ON0_common,2022,242,-0.35644635025818466,-0.31169266945453244,22.727272727272727,-8388.347406549734,0.19368720457002578,0.1886365266067365,-5.261079058846291,-1.8039242307834444,-8388.347406549734,16.0,12.0,1.0,1.0,4834.8474065499995,-0.05071002861836744,-0.36723364380979695,-0.3930627726290822,-0.420946483715974,-9058.849598349741,,,,,,,
ON0_common,2023,242,-0.33532254549688256,-0.29253916978467825,33.88429752066116,-16194.585031099607,0.5577301006792975,0.5249422299138985,-10.213887194477932,-4.6755354401715445,-17358.913575599676,10.0,12.0,1.0,1.0,5850.805031100001,-0.08645497501286516,-0.3685573479654454,-0.45778979268939474,-0.5371472086160177,-21135.925914499614,,,,,,,
