id,window,kind,value,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,excluded,matched_primary
ON0_common,main2020,slip,0.0,1623,-0.22941888893814638,-0.1932364999671674,35.05853357979051,-94198.74393200003,0.6199893056132092,0.6618420155113026,-10.141061913283412,-4.041063592456215,-94563.90774799997,14,81,7,1,43798.743932,-0.08681121024773295,-0.23566705371676963,-0.254573331806828,-0.2731062235607305,-112514.60148800004,,
ON0_common,main2020,slip,10.0,1623,-0.42875232846175193,-0.3926507514112222,26.74060382008626,-170304.19728475175,0.421471310977758,0.4821182889468217,-10.320602827996373,-4.232790520331151,-170348.11837695187,29,81,7,1,43773.877284756,-0.08681121024773295,-0.43498800541149035,-0.4538564925061052,-0.47235233214388667,-187913.3789101918,,
ON0_common,main2020,slip,20.0,1623,-0.6276880127433824,-0.5916671107331885,21.5033887861984,-246409.6506375121,0.29618821684412727,0.35701732680628173,-10.499785466998494,-4.42413482441528,-246416.72022191223,69,81,7,1,43749.01063751201,-0.08681121024773295,-0.6339112268079756,-0.6527419983697685,-0.6712008600009256,-263312.1563323921,,
ON0_common,main2020,exit0935close,0.0,1619,-0.28981290216746436,-0.3162862347354221,37.615812229771464,-119879.27214106999,0.6253407123358131,0.659404906637903,-10.23087722223011,-4.625189568986794,-124429.02698765825,13,81,7,1,43674.367141074,-0.04728972706606098,-0.29598323731766113,-0.3189389792029118,-0.3426961469076111,-139649.98613751502,4.0,-0.32911258909466684
ON0_common,main2020,exit0935open,0.0,1619,-0.2912808186728071,-0.3384104758788546,37.615812229771464,-120228.85385277496,0.6249862500427112,0.659851231298513,-10.23087722223011,-4.638773965563079,-125068.27288281918,16,81,7,1,43674.123852779005,-0.048760902207742714,-0.2974520610643547,-0.32035108171646076,-0.3440898520502946,-139669.94572472904,4.0,-0.32911258909466684
ON0_common,main2020,early_entry_DIAGNOSTIC,1450.0,1623,-0.2748316539328709,-0.27277473771743577,34.380776340110906,-111459.75547013585,0.570882845187896,0.6163130945224057,-9.97131518981486,-4.068334659711347,-111512.09711613586,19,81,7,1,43784.98547014,-0.032361452253384465,-0.2812016983090811,-0.3008453557249522,-0.3200817746363617,-129782.50743102789,0.0,-0.3291354026252871
ON0_common,main2020,no_dividend,0.0,1615,-0.33026052590779786,-0.2930533153861994,30.712074303405572,-132240.68320282205,0.5081890580919899,0.5622212968670708,-10.23087722223011,-4.15708455332418,-132303.03004892194,22,81,7,1,43545.833202826005,-0.08786870654659229,-0.3365340796253029,-0.355518177008053,-0.3741287217557766,-150203.20279354206,,
ON0_common,old2020_2023,slip,0.0,970,-0.2480794134712457,-0.20285470854418247,32.371134020618555,-36756.72410000002,0.4757000069081477,0.47651574719944023,-10.141061913283412,-3.1730055037376754,-37113.55389999999,14,48,4,1,22526.7241,-0.07057361695814651,-0.25636638054764915,-0.27956015483743973,-0.2995656052398782,-41969.45370000003,,
ON0_common,old2020_2023,slip,10.0,970,-0.44737510327660224,-0.40224980697814866,21.34020618556701,-63005.360827498545,0.27748489759754996,0.2948575078325573,-10.320602827996373,-3.366467022015185,-63083.52429189855,29,48,4,1,22514.3108275,-0.07057361695814651,-0.4556455064773467,-0.4787929088076295,-0.49875834689971826,-68012.46531589855,,
ON0_common,old2020_2023,slip,20.0,970,-0.646273153865933,-0.6012471116054681,15.154639175257731,-89253.99755500007,0.17392314863821423,0.19291781653663367,-10.499785466998494,-3.5595425021788003,-89261.06713940007,69,48,4,1,22501.897555,-0.07057361695814651,-0.654527026264921,-0.6776281493601751,-0.6975536552211654,-94055.47693180008,,
ON0_common,old2020_2023,exit0935close,0.0,969,-0.3391917046366982,-0.3166810796277486,33.746130030959755,-51308.4774665986,0.469095790198681,0.4549699487146144,-10.23087722223011,-3.852467499701313,-51522.79102939859,13,48,4,1,22502.8324666,-0.06189901806766408,-0.34955635450806993,-0.3776083414178755,-0.4001501068936859,-56704.5248497486,1.0,-0.34783357399060744
ON0_common,old2020_2023,exit0935open,0.0,969,-0.340201631327821,-0.3424363968725609,33.746130030959755,-51338.402596548585,0.46903476249508624,0.4555603806058056,-10.23087722223011,-3.8655678716735307,-51562.70096444855,13,48,4,1,22502.77259655,-0.06291187218091246,-0.3505673245118901,-0.3784432868810526,-0.40085802738711274,-56754.419789798594,1.0,-0.34783357399060744
ON0_common,old2020_2023,early_entry_DIAGNOSTIC,1450.0,970,-0.2892928212743355,-0.2734232236142413,30.824742268041238,-41076.51279894856,0.4307500210007179,0.4476164523587241,-9.960827181195008,-3.175630515394225,-41290.94803139856,19,48,4,1,22520.387798950003,-0.01191051700757058,-0.29758615141209377,-0.32132957106073395,-0.34060918074569274,-46336.507444448565,0.0,-0.34777703776664354
ON0_common,old2020_2023,no_dividend,0.0,966,-0.34849301398247773,-0.3028491322291056,26.70807453416149,-49842.15962224861,0.35982881312859544,0.371584421717881,-10.23087722223011,-3.2697845899655085,-49996.56435444856,22,48,4,1,22420.504622250002,-0.07127563006988628,-0.3568067527010365,-0.38007689906236974,-0.400150403111946,-54952.076666448615,,
ON0_common,recent2024,slip,0.0,653,-0.20169957990735565,-0.16303585968038087,39.05053598774885,-57442.01983200001,0.7471321985647097,0.7242987401913737,-10.070416246953814,-4.66581760271256,-57918.05414800003,12,33,3,1,21272.019832,-0.11093137179581691,-0.21720081297774843,-0.2613929665391312,-0.3069225529492439,-75757.87738800001,,
ON0_common,recent2024,slip,10.0,653,-0.4010890948164154,-0.3625104140749814,34.76263399693721,-107298.8364572532,0.5650781994008899,0.5519814777062155,-10.250098421866722,-4.856296295685408,-107298.83645725329,12,33,3,1,21259.566457256,-0.11093137179581691,-0.4165593475446832,-0.46066316491811377,-0.5061017277278178,-124908.01808269329,,
ON0_common,recent2024,slip,20.0,653,-0.600080682132549,-0.5615869260119717,30.93415007656968,-157155.65308251203,0.43093260028160624,0.42357937889264036,-10.42942204364355,-5.046394853994133,-157155.6530825122,16,33,3,1,21247.113082511998,-0.11093137179581691,-0.6155200163076399,-0.6595356737413635,-0.7048833946930636,-174058.15877739197,,
ON0_common,recent2024,exit0935close,0.0,650,-0.21620050279409883,-0.3044767001970242,43.38461538461538,-68570.7946744714,0.7780871597348041,0.7340477703792605,-10.160302220729761,-5.3109686362137865,-74189.11788745961,10,33,3,1,21171.534674474,-0.02551064555751725,-0.23119903094023858,-0.2835541424622407,-0.3368403804772743,-88341.50867091646,3.0,-0.3012039208421031
ON0_common,recent2024,exit0935open,0.0,650,-0.2183511764224865,-0.3240410210340377,43.38461538461538,-68890.45125622637,0.7770700859089026,0.7341817698091999,-10.160302220729761,-5.314545121429177,-75058.18121642066,16,33,3,1,21171.351256229005,-0.027665071586202003,-0.2334140817699234,-0.28555284831734773,-0.33880190242387515,-88331.54312818043,3.0,-0.3012039208421031
ON0_common,recent2024,early_entry_DIAGNOSTIC,1450.0,653,-0.2533502874378929,-0.2656016287920884,39.66309341500766,-70383.24267118727,0.6972831775740235,0.6743541777968947,-9.97131518981486,-4.730625512860687,-70383.24267118721,12,33,3,1,21264.59767119,-0.06274033003047401,-0.26916429144359527,-0.315470578550085,-0.3626565318274537,-88705.99463207931,0.0,-0.3014441528747272
ON0_common,recent2024,no_dividend,0.0,649,-0.30312249281050857,-0.2628229667598431,36.67180277349769,-82398.52358057344,0.6478459674156501,0.6300984396644354,-10.16030222072976,-4.761104537259931,-82398.52358057347,12,33,3,1,21125.328580576002,-0.11256656768141203,-0.31870640896321817,-0.3631396176108491,-0.4089245224239335,-100361.04317129344,,
L1_tail_up,main2020,slip,0.0,708,-0.28724713053533674,-0.20477425268628174,32.06214689265537,-63366.255359999996,0.5319346437005539,0.4934607713752701,-10.141061913283412,-3.7321940416449007,-63366.25536000004,22,81,7,39,19082.25536,-0.143332325842992,-0.30108066987712817,-0.332984490983978,-0.36099599802849774,-73353.16782999999,,
L1_tail_up,main2020,slip,10.0,708,-0.48646113600257085,-0.40416552071045686,25.847457627118644,-96140.74061247012,0.35522607092035,0.34891359080732526,-10.320602827996373,-3.9245379423772824,-96140.74061247014,32,81,7,39,19071.400612472004,-0.143332325842992,-0.5002670225556488,-0.5321070339732228,-0.5600624908711974,-105660.59343280416,,
L1_tail_up,main2020,slip,20.0,708,-0.6852776254167138,-0.6031590063837549,20.33898305084746,-128915.22586494408,0.24478386783989536,0.25048026837058424,-10.499785466998494,-4.116497978893463,-128915.22586494408,63,81,7,39,19060.545864944,-0.143332325842992,-0.69905591435265,-0.7308322437592012,-0.7587317625629337,-137968.01903561206,,
L1_tail_up,main2020,exit0935close,0.0,707,-0.3952201951890656,-0.4157102620456043,35.21923620933522,-89060.82163120637,0.5179747123109895,0.4680627037395084,-10.23087722223011,-4.601696933118484,-89464.7896614524,15,81,7,39,19017.501631207997,-0.1515465354040809,-0.40789139605926816,-0.45083145004399805,-0.48629446185822117,-101396.47696801132,1.0,-0.38565510421782573
L1_tail_up,main2020,exit0935open,0.0,707,-0.3992880323087947,-0.4194452715059496,35.64356435643564,-90019.66151343532,0.5159207830345941,0.4659770162144186,-10.23087722223011,-4.620861930275469,-90333.73260063834,15,81,7,39,19016.821513437004,-0.155623038263867,-0.41196499498794875,-0.45464292015458785,-0.48985872395311597,-102145.55731647332,1.0,-0.38565510421782573
L1_tail_up,main2020,early_entry_DIAGNOSTIC,1450.0,708,-0.33603421412797596,-0.29993108009532965,31.92090395480226,-71508.8830709002,0.4885589782329844,0.4551069214298706,-9.960827181195008,-3.7839129495829624,-71508.88307090019,17,81,7,39,19076.333070902,-0.09232677047540515,-0.3507349419050735,-0.3836106144585313,-0.41204911621770113,-81752.54677608822,0.0,-0.3869038972507064
L1_tail_up,main2020,no_dividend,0.0,703,-0.3917941933054838,-0.3048364119820702,28.733997155049785,-80705.96969534134,0.42862785330547093,0.4069110580310818,-10.23087722223011,-3.8284140469662256,-80705.96969534134,22,81,7,41,18933.944695343,-0.1482186159378647,-0.40571929653453875,-0.43784813416880625,-0.46607140080326737,-90459.35234050834,,
L1_tail_up,old2020_2023,slip,0.0,432,-0.28280998817983505,-0.20562851618740025,28.935185185185187,-19889.696500000005,0.404012325483203,0.37867868480158284,-10.141061913283412,-2.860879180323082,-19994.519100000012,22,48,4,25,10109.6965,-0.10468014251770048,-0.2920851842100178,-0.32200982644887266,-0.35315552939427997,-22664.325100000013,,
L1_tail_up,old2020_2023,slip,10.0,432,-0.48202955176811835,-0.40501807955934277,20.833333333333336,-31606.23388709934,0.22742160146058596,0.2256466661560064,-10.320602827996373,-3.0549641667692966,-31652.831083499328,32,48,4,25,10104.0938871,-0.10468014251770048,-0.4912861817778028,-0.5211508957942805,-0.5522341919915961,-34196.816046299355,,
L1_tail_up,old2020_2023,slip,20.0,432,-0.680851627530004,-0.6040098656785468,14.814814814814813,-43322.771274200066,0.13662994966331593,0.14131953618560564,-10.499785466998494,-3.248661863325076,-43322.77127420008,63,48,4,25,10098.4912742,-0.10468014251770048,-0.6900897287045269,-0.7198946344254856,-0.7509156485455156,-45729.30699260006,,
L1_tail_up,old2020_2023,exit0935close,0.0,432,-0.36048647282701785,-0.3443877853995499,32.870370370370374,-26497.802387399366,0.4389339306851996,0.3945864613865149,-10.23087722223011,-3.8578803793738583,-26497.802387399344,15,48,4,25,10107.1073874,-0.08261956580865236,-0.3716353077709487,-0.4080885231790372,-0.44263286365804544,-29442.470513249362,0.0,-0.3824695304147263
