year,id,eligible,last_exit,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash
2022,L1_tail_up,False,2021-12-28,225,-0.3988963981843416,-0.286463923344153,23.555555555555554,-13690.24172409967,0.2399668818300855,0.23044837175438726,-10.23087722223011,-3.0933279502955604,-13690.241724099662,22,24,2,9,5505.6767241,-0.12238502596922816,-0.41242280433172535,-0.4541739911402151,-0.49031739579763084,-15167.479805899677
2022,L2_tail_down,False,2021-12-30,234,-0.2901751304121439,-0.28863960600823513,27.350427350427353,-9767.759578599638,0.35200183308854976,0.35610571592213786,-4.58529445540711,-2.233710304404914,-10341.659127199653,12,24,2,9,5687.2695786,-0.012763063033304933,-0.31249853287923923,-0.3579801108242546,-0.3944082785784926,-11949.187182499652
2022,L3_afternoon_recovery,False,2021-12-22,109,-0.4747122677000934,-0.3863728112953524,18.34862385321101,-7823.08302799984,0.20942474350652898,0.19351204036021052,-5.966708952003329,-3.0208867079504564,-7823.083027999841,23,24,2,32,2665.563028,-0.19851218812232768,-0.5103628536485617,-0.5863493027091432,-0.6484095288453449,-9078.114767499846
2022,L4_afternoon_reversal,False,2021-12-31,114,-0.27037355929249574,-0.28892833579300037,23.684210526315788,-4167.733973199847,0.36519845136541934,0.3973952376963017,-2.6808151803853426,-2.0579360722181463,-5114.223150999863,14,24,2,36,2774.9739732,0.007049951874795478,-0.3162279947235892,-0.39823937214998906,-0.44156496802491507,-6143.600459999856
2022,L5_breakout,False,2021-12-22,28,-0.4539569589949484,-0.525585009526636,25.0,-1831.3016574999572,0.17498301879881145,0.17613797109078122,-1.9265541715648655,-1.7220435272824268,-1893.8116635999609,7,16,2,25,688.2266575,-0.17803363915694645,-0.4925053163375966,-0.6504527315036249,-0.822064897155978,-2166.2541428999666
2022,L6_breakdown,False,2021-11-29,54,-0.40165875259960115,-0.4213842932551161,25.925925925925924,-2994.6019592999155,0.27287029106202365,0.28386748389869065,-2.5520249325944544,-2.230598002010199,-3055.9708317999234,12,21,2,28,1316.8369593000004,-0.1250026434895211,-0.4384640682372891,-0.5725851740009745,-0.6712488493422788,-3922.512600599921
2022,L7_tail_up_volume,False,2021-12-22,28,-0.4250119321075587,-0.4252460930650263,17.857142857142858,-1721.81713799996,0.14500556028150582,0.14004228886407993,-1.517532882999988,-1.2912892551172508,-1721.8171379999599,9,14,2,16,688.477138,-0.14932053146202479,-0.46248825141734073,-0.6051569534910259,-0.7289756220663928,-2002.2114060999672
2022,L8_tail_down_volume,False,2021-12-13,36,-0.38095364005828364,-0.3573001671253529,19.444444444444446,-1849.4670398999447,0.2571057663030815,0.2759031193581847,-2.5520249325944544,-2.328044517406619,-1968.9470777999497,10,18,2,23,869.2920399000001,-0.10281086065839061,-0.4313169496108159,-0.5919816051220007,-0.7008637441224221,-2539.292378799952
2023,L1_tail_up,False,2022-12-27,331,-0.3768665175188634,-0.3026528915264156,23.26283987915408,-17110.80132364955,0.23175010508739546,0.22601536270751638,-10.23087722223011,-2.6565182790180515,-17306.36079589955,22,36,3,17,7634.41132365,-0.09134844333431505,-0.38598132084113157,-0.41576106241019617,-0.44235226767212094,-18588.03940544956
2023,L2_tail_down,False,2022-12-29,348,-0.31876233712512025,-0.3012236718257719,26.14942528735632,-13943.484509549515,0.29900462008986034,0.3133466975289791,-5.261079058846291,-2.2277934463519324,-14522.441028749527,12,36,3,14,7959.84450955,-0.03185791606725887,-0.33383421027078647,-0.3644482745826661,-0.3892418560950853,-16124.912113449525
2023,L3_afternoon_recovery,False,2022-12-14,163,-0.45492992666861004,-0.3824948800012732,20.245398773006134,-10009.441582049783,0.1887933415833716,0.18055487129577188,-5.966708952003329,-2.543533493634923,-10109.85984839979,23,36,3,49,3750.93658205,-0.1693286140831085,-0.4785748707513453,-0.5291093924927871,-0.5727160233646186,-11264.473321549793
2023,L4_afternoon_reversal,False,2022-12-29,179,-0.2924286355856344,-0.3092684456875074,21.787709497206702,-6264.29442959978,0.3008548953594961,0.3362942758362231,-2.6808151803853426,-1.9101817682278162,-7215.030722849795,14,36,3,48,4060.7494296,-0.004113539157896166,-0.3216623787317395,-0.37344142347783443,-0.40967282912511105,-8240.160916399787
2023,L5_breakout,False,2022-11-14,43,-0.5002397651637952,-0.6251081893590759,20.930232558139537,-2673.980860499939,0.13095303802005004,0.14232130762662737,-1.9265541715648655,-1.668803638540295,-2748.5781067999433,12,26,3,38,986.3058605000001,-0.21388022491750233,-0.5261228236023751,-0.6271453006232512,-0.7465667928167709,-3008.933345899949
2023,L6_breakdown,False,2022-12-23,79,-0.3307707699550689,-0.3697287985084868,29.11392405063291,-3466.5631923998894,0.32949387126054475,0.3179073208502501,-2.5520249325944544,-2.1763022409698998,-3652.0562163499058,12,32,3,46,1816.2031924000003,-0.0445762020230625,-0.3548706897775424,-0.4432584025976733,-0.530092686770197,-4394.473833699895
2023,L7_tail_up_volume,False,2022-12-15,43,-0.4181500974473387,-0.3923479449357734,23.25581395348837,-2309.128713849941,0.1799233592792211,0.17030221383195918,-1.562323861056031,-1.4125933445875318,-2309.12871384994,9,23,3,27,989.06871385,-0.1322607372309709,-0.4552220643884633,-0.5588135557388486,-0.6644040582720027,-2710.8105776999487
2023,L8_tail_down_volume,False,2022-10-25,52,-0.2633709501106663,-0.2816844866939894,28.846153846153843,-1852.649341299928,0.3861172798919604,0.3654898664233667,-2.5520249325944544,-2.0732290986358275,-2108.621800149934,10,26,3,32,1188.1193413,0.023902240853094756,-0.29562846274578414,-0.40381632186950234,-0.5133814838845013,-2574.868584849934
2024,L1_tail_up,False,2023-12-28,431,-0.38101328157509656,-0.3048364119820702,25.05800464037123,-25595.10774294939,0.3025725909664362,0.2921358848336588,-10.23087722223011,-2.9579701573433,-25823.675091749385,22,48,4,25,10089.09774295,-0.1030816027238882,-0.3902973519387662,-0.4202486871557447,-0.4514206709067455,-28277.71312254939
2024,L2_tail_down,False,2023-12-29,470,-0.3282790634162895,-0.29289363110568434,28.085106382978726,-21923.60586694932,0.3838233753402665,0.4084014115886866,-10.213887194477932,-3.1861453979845464,-23043.05492754936,13,48,4,18,10850.14586695,-0.052191789627371504,-0.34534205683386526,-0.3885570137644026,-0.4139815209630481,-26598.10940119932
2024,L3_afternoon_recovery,False,2023-12-13,216,-0.40047751066877246,-0.3618091556184049,23.14814814814815,-11771.610215049694,0.2905093648923644,0.3299094311762788,-5.966708952003329,-2.6514887743845623,-11771.610215049697,23,48,4,66,5033.2952150500005,-0.12319420131033378,-0.42640965677726106,-0.48260608117273435,-0.5238982822245214,-14566.440909499705
