event,cash,n,start,end
0,29.65886120000505,2,2020-02-28,2020-03-03
1,-212.40701099999387,3,2020-03-16,2020-03-23
2,32.11564570000155,1,2020-05-14,2020-05-14
3,-210.4053664999974,1,2020-07-16,2020-07-16
4,1.1518806000003678,1,2020-07-24,2020-07-24
5,136.1537927000045,3,2021-01-28,2021-02-03
6,-15.46359439999469,2,2021-04-30,2021-05-07
7,54.45107590000225,1,2021-05-24,2021-05-24
8,36.60254570000143,1,2021-07-16,2021-07-16
9,-157.4865009999976,1,2021-07-28,2021-07-28
10,31.572155900001235,1,2021-08-30,2021-08-30
11,-80.16972489999898,2,2021-11-26,2021-11-29
12,67.47055160000127,3,2022-03-08,2022-03-15
13,-158.6474462999995,1,2022-04-25,2022-04-25
14,54.50331605000247,2,2022-09-19,2022-09-20
15,-116.4995202,1,2022-10-10,2022-10-10
16,-592.7944527499985,1,2023-04-27,2023-04-27
17,49.288915450000786,1,2023-05-23,2023-05-23
18,-216.71185579999656,1,2023-06-26,2023-06-26
19,-293.1831655999922,3,2023-07-12,2023-07-20
20,-610.0170153499967,4,2023-08-09,2023-08-25
21,-15.779141799986974,4,2023-09-05,2023-09-15
22,2651.276919300013,6,2023-10-13,2023-10-25
23,133.81041600000208,2,2023-11-22,2023-11-27
24,-221.60136344999773,1,2023-12-05,2023-12-05
25,-353.081031599997,1,2023-12-13,2023-12-13
26,-504.20538924999346,5,2023-12-22,2024-01-08
27,88.90647324999918,2,2024-01-29,2024-01-30
28,-550.6294222999895,2,2024-03-25,2024-03-27
29,-1748.9969130499885,3,2024-05-24,2024-05-31
30,-657.3474105499954,1,2024-06-12,2024-06-12
31,1362.4271750500084,3,2024-07-12,2024-07-19
32,-22.00559469998916,2,2024-08-05,2024-08-07
33,134.21469115000218,1,2024-09-06,2024-09-06
34,-459.54662374999316,2,2024-10-15,2024-10-17
35,-616.2783828499996,1,2024-11-01,2024-11-01
36,160.68540900001244,3,2024-11-14,2024-11-18
37,-95.35887214999457,4,2024-12-31,2025-01-10
38,577.3429658000059,2,2025-01-27,2025-02-05
39,147.8933984500036,1,2025-02-28,2025-02-28
40,-81.37284269999873,1,2025-03-21,2025-03-21
41,1862.0177720000029,1,2025-04-03,2025-04-03
42,-2171.43746917299,1,2025-09-26,2025-09-26
43,829.7138267000119,1,2025-10-14,2025-10-14
44,-10.70257791698532,2,2025-11-11,2025-11-14
45,278.78342439600965,2,2025-11-24,2025-11-25
46,-866.3836862519966,1,2025-12-15,2025-12-15
47,847.934739246004,1,2026-02-02,2026-02-02
48,769.3155414300127,1,2026-03-03,2026-03-03
49,-1429.3688096939877,2,2026-03-19,2026-03-23
50,-933.1190716139972,1,2026-04-30,2026-04-30
51,182.91261680999742,1,2026-05-21,2026-05-21
52,2473.5827359710092,2,2026-06-05,2026-06-12
53,1200.5660486880079,2,2026-06-26,2026-07-02
54,-1156.6724128379792,2,2026-07-13,2026-07-17
55,-2932.088874470981,2,2026-07-28,2026-07-30
56,-116.71366504897742,1,2026-08-13,2026-08-13
