candidate,n,wins,win,cash,mean,worst,mdd,top3,bottom3,mean_pct,note
C00,191,108,56.54450261780105,18942.35167986819,99.17461612496433,-6914.460216357002,-18661.06010186799,16180.437293559007,-14669.462629782001,,paired opportunity cash before FIFO tax; same sale dates
C01,116,51,43.96551724137931,-8254.945826208028,-71.16332608800025,-2011.2974001270047,-10546.205869701005,3682.3753395359895,-4703.033721690021,,paired opportunity cash before FIFO tax; same sale dates
C02,106,39,36.79245283018868,-19.982592303002093,-0.18851502172643483,-2011.2974001270047,-5703.3852294809985,3512.2656091769904,-4152.547308036004,,paired opportunity cash before FIFO tax; same sale dates
C03,116,37,31.896551724137932,-6473.873138910019,-55.80925119750017,-2011.2974001270047,-9015.36053755502,3672.368884808992,-4703.033721690021,,paired opportunity cash before FIFO tax; same sale dates
C04,116,56,48.275862068965516,-7434.489152883026,-64.09042373175022,-2011.2974001270047,-11486.853254349027,4282.762623155985,-4703.033721690021,,paired opportunity cash before FIFO tax; same sale dates
C05,173,86,49.71098265895954,-9096.42170188202,-52.58047226521399,-3862.4915246220075,-14509.177827432031,3792.4463415330038,-8855.71243339501,,paired opportunity cash before FIFO tax; same sale dates
C06,340,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,paired opportunity cash before FIFO tax; same sale dates
C07,1617,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,paired opportunity cash before FIFO tax; same sale dates
C08,286,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,paired opportunity cash before FIFO tax; same sale dates
