event,cash,n,start,end
0,-264.9490622000012,1,2020-02-28,2020-02-28
1,43.09980580000229,1,2020-03-31,2020-03-31
2,-51.47468509999635,1,2020-07-21,2020-07-21
3,-38.23667479999676,1,2020-09-14,2020-09-14
4,-267.5812670999985,1,2020-11-04,2020-11-04
5,-19.11365979999937,1,2020-11-16,2020-11-16
6,142.4787718000025,1,2020-12-14,2020-12-14
7,-87.45727549999901,1,2021-05-07,2021-05-07
8,-5.600519699999495,1,2021-05-26,2021-05-26
9,-47.539460100000724,1,2022-09-22,2022-09-22
10,85.29051065000021,1,2023-03-31,2023-03-31
11,-39.686649999997826,1,2023-05-09,2023-05-09
12,192.06340125000497,1,2023-06-29,2023-06-29
13,271.48106730000654,2,2023-09-07,2023-09-11
14,-120.13676765000127,1,2023-10-19,2023-10-19
15,-31.38288250000005,1,2023-10-27,2023-10-27
16,562.3021555500054,1,2024-03-18,2024-03-18
17,-471.5109546499989,1,2024-04-23,2024-04-23
18,59.311603050002304,1,2024-06-27,2024-06-27
19,1560.5132462500078,4,2024-07-17,2024-07-29
20,-85.74606194999433,2,2024-08-30,2024-09-05
21,295.73000200000024,1,2024-11-20,2024-11-20
22,-152.80671304999487,1,2025-02-07,2025-02-07
23,-202.05714079999962,1,2025-03-05,2025-03-05
24,272.8633915499995,1,2025-04-10,2025-04-10
25,412.5197543930044,1,2025-10-16,2025-10-16
26,6451.347904765033,3,2025-11-04,2025-11-13
27,84.22951281299902,1,2025-12-15,2025-12-15
28,40.99860940500366,1,2026-01-12,2026-01-12
29,-753.0980170739931,1,2026-02-02,2026-02-02
30,1150.483747737002,1,2026-06-10,2026-06-10
31,2383.3010006580007,1,2026-07-01,2026-07-01
32,1156.9049593290038,1,2026-07-15,2026-07-15
33,1477.915809955004,1,2026-08-24,2026-08-24
