entry_i,entry,sell_ref,exit_i,exit,buy_ref,buy_clock,kind,trigger,missing_windows,delayed,missed_dividend,terminal_mark,path
0,2018-06-08,19.83,3,2018-06-13,24.55,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
1,2018-06-11,21.81,3,2018-06-13,24.55,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
2,2018-06-12,23.99,4,2018-06-14,24.51,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
3,2018-06-13,25.72,5,2018-06-15,22.6,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
4,2018-06-14,23.29,6,2018-06-19,21.83,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
5,2018-06-15,22.58,7,2018-06-20,19.8,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
6,2018-06-19,20.32,8,2018-06-21,19.6,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
7,2018-06-20,19.86,9,2018-06-22,17.7,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
8,2018-06-21,18.17,10,2018-06-25,18.62,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
9,2018-06-22,18.72,11,2018-06-26,17.74,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
10,2018-06-25,18.21,12,2018-06-27,18.5,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
11,2018-06-26,18.53,13,2018-06-28,18.22,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
12,2018-06-27,18.27,14,2018-06-29,17.95,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
13,2018-06-28,17.89,15,2018-07-02,18.2,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
14,2018-06-29,18.44,16,2018-07-03,17.54,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
15,2018-07-02,17.59,17,2018-07-04,17.7,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
16,2018-07-03,17.9,18,2018-07-05,17.0,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
17,2018-07-04,17.17,19,2018-07-06,16.91,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
18,2018-07-05,16.96,20,2018-07-09,17.23,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
19,2018-07-06,17.23,21,2018-07-10,17.51,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
20,2018-07-09,17.47,22,2018-07-11,16.95,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
21,2018-07-10,17.35,23,2018-07-12,16.65,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
22,2018-07-11,16.65,24,2018-07-13,17.7,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
23,2018-07-12,17.96,25,2018-07-16,17.62,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
24,2018-07-13,17.62,26,2018-07-17,17.84,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
25,2018-07-16,17.84,27,2018-07-18,17.69,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
26,2018-07-17,17.69,28,2018-07-19,17.18,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
27,2018-07-18,17.21,29,2018-07-20,16.91,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
28,2018-07-19,16.93,30,2018-07-23,17.11,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
29,2018-07-20,17.3,31,2018-07-24,17.23,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
30,2018-07-23,17.25,32,2018-07-25,18.0,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
31,2018-07-24,18.06,33,2018-07-26,17.66,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
32,2018-07-25,17.71,34,2018-07-27,17.68,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
33,2018-07-26,17.76,35,2018-07-30,17.2,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
34,2018-07-27,17.29,36,2018-07-31,17.19,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
35,2018-07-30,17.14,37,2018-08-01,17.25,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
36,2018-07-31,17.17,38,2018-08-02,16.9,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
37,2018-08-01,16.98,39,2018-08-03,16.27,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
38,2018-08-02,16.24,40,2018-08-06,15.77,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
39,2018-08-03,15.81,41,2018-08-07,15.2,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
40,2018-08-06,15.14,42,2018-08-08,15.41,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
41,2018-08-07,15.55,43,2018-08-09,14.99,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
42,2018-08-08,15.01,44,2018-08-10,15.32,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
43,2018-08-09,15.42,45,2018-08-13,15.19,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
44,2018-08-10,15.47,46,2018-08-14,15.73,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
45,2018-08-13,15.72,47,2018-08-15,15.39,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
46,2018-08-14,15.51,48,2018-08-16,14.85,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
47,2018-08-15,15.06,49,2018-08-17,15.09,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
48,2018-08-16,14.89,50,2018-08-20,14.65,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
49,2018-08-17,14.63,51,2018-08-21,14.9,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
50,2018-08-20,14.92,52,2018-08-22,14.99,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
51,2018-08-21,15.02,53,2018-08-23,14.77,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
52,2018-08-22,14.74,54,2018-08-24,15.04,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
53,2018-08-23,15.13,55,2018-08-27,15.0,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_1000
