date,clock,entry,buy_cost,sale_net,single_gap,cash_before,tax_reserve,receivable,deposit,cumulative_deposit,zero_capital_pool_before
2020-01-13,09:40,2020-01-10,17874.9923927,17986.796629660003,0.0,17986.796629660003,0.0,0.0,0.0,0.0,17986.796629660003
2020-01-15,10:30,2020-01-14,18385.563603920004,18346.03383358,39.52977034000287,18457.83807054,0.0,0.0,0.0,0.0,18457.83807054
2020-02-03,09:40,2020-01-23,18025.160396000003,19952.62244,0.0,20024.896906619997,0.0,0.0,0.0,0.0,20024.896906619997
2020-02-12,09:40,2020-02-11,18946.190816240003,19184.25397606,0.0,21183.990486679995,0.0,0.0,0.0,0.0,21183.990486679995
2020-02-19,09:40,2020-02-18,18645.854809640005,18805.0591497,0.0,21042.85882013999,0.0,0.0,0.0,0.0,21042.85882013999
2020-02-25,09:40,2020-02-24,19987.355639120004,20092.32579708,0.0,22489.329807579987,0.0,0.0,0.0,0.0,22489.329807579987
2020-03-12,09:40,2020-03-11,16333.26755882,16499.95375788,0.0,19001.927926339984,0.0,0.0,0.0,0.0,19001.927926339984
2020-04-16,09:40,2020-04-15,13640.254699640001,13835.61116214,0.0,16504.271529659985,0.0,0.0,0.0,0.0,16504.271529659985
2020-04-22,09:40,2020-04-21,14020.680308,14124.99668752,0.0,16989.013517539985,0.0,0.0,0.0,0.0,16989.013517539985
2020-05-21,10:30,2020-05-20,13840.47870404,13815.653539699999,24.82516434000172,16783.986749239983,0.0,0.0,0.0,0.0,16783.986749239983
2020-06-18,09:45,2020-06-17,14220.9043124,14214.8059885,6.098323899999741,17158.314033699982,0.0,0.0,0.0,0.0,17158.314033699982
2020-06-30,09:45,2020-06-29,15091.87873154,15182.75067684,0.0,18120.160398139982,60.0,400.0,0.0,0.0,18120.160398139982
2020-07-03,09:55,2020-07-02,15942.830750240002,15551.924314419999,390.906435820003,18980.20598101998,40.0,0.0,0.0,0.0,18980.20598101998
2020-07-22,09:45,2020-07-21,15372.192337700002,15372.30571246,0.0,18409.680943239975,0.0,0.0,0.0,0.0,18409.680943239975
2020-07-31,09:50,2020-07-30,14761.509124280003,14254.721233380002,506.787890900001,17292.209838919975,0.0,0.0,0.0,0.0,17292.209838919975
2020-09-10,10:30,2020-09-09,13840.47870404,13875.526407020001,0.0,16406.227121659973,0.0,0.0,0.0,0.0,16406.227121659973
2020-09-22,09:40,2020-09-21,13670.2883003,13705.88661628,0.0,16271.635033899973,0.0,0.0,0.0,0.0,16271.635033899973
2020-10-22,09:40,2020-10-21,13590.198698540002,13606.09850408,0.0,16207.445237679973,0.0,0.0,0.0,0.0,16207.445237679973
2020-12-03,09:40,2020-12-02,13950.601906460002,14015.2297641,0.0,16632.47630323997,0.0,0.0,0.0,0.0,16632.47630323997
2020-12-16,10:30,2020-12-15,13710.333101180002,13526.268014320001,184.06508686000052,16208.14241109997,0.0,0.0,0.0,0.0,16208.14241109997
2021-01-04,09:45,2020-12-31,13680.299500520001,13655.99256018,24.306940340000438,16153.80187009997,0.0,0.0,0.0,0.0,16153.80187009997
2021-01-07,09:45,2021-01-06,13720.344301400002,13835.61116214,0.0,16309.113531719968,0.0,0.0,0.0,0.0,16309.113531719968
2021-01-14,09:40,2021-01-13,15892.774749140002,15142.83543196,749.939317180002,17731.604662279966,0.0,0.0,0.0,0.0,17731.604662279966
2021-01-20,10:30,2021-01-19,15332.147536820003,15063.0049422,269.14259462000336,16901.834855339963,0.0,0.0,0.0,0.0,16901.834855339963
2021-01-27,09:55,2021-01-26,15101.88993176,14783.59822804,318.29170372000044,16353.28554655996,0.0,0.0,0.0,0.0,16353.28554655996
2021-02-08,10:30,2021-02-05,13319.8962926,13177.009621620002,142.8866709799986,14428.405236419962,0.0,0.0,0.0,0.0,14428.405236419962
2021-02-18,10:15,2021-02-10,13970.624306900001,14005.25095288,0.0,15113.759896699961,0.0,0.0,0.0,0.0,15113.759896699961
2021-02-23,09:40,2021-02-22,13920.568305800001,13935.39927434,0.0,15078.53486413996,0.0,0.0,0.0,0.0,15078.53486413996
2021-02-26,09:40,2021-02-25,13740.366701840001,13885.50521824,0.0,15043.471776579958,0.0,0.0,0.0,0.0,15043.471776579958
2021-03-18,10:25,2021-03-17,13480.07549612,13516.2892031,0.0,14819.394277839956,0.0,0.0,0.0,0.0,14819.394277839956
2021-04-21,09:40,2021-04-20,14290.982713940002,14344.530534360001,0.0,15683.849316079957,0.0,0.0,0.0,0.0,15683.849316079957
2021-04-29,10:30,2021-04-28,14751.49792406,14514.1703251,237.3275989600006,15907.036927239955,0.0,0.0,0.0,0.0,15907.036927239955
2021-05-14,10:30,2021-05-13,13450.04189546,13346.649412359999,103.39248310000221,14502.188415539953,0.0,0.0,0.0,0.0,14502.188415539953
2021-05-27,10:00,2021-05-26,12519.000275000002,12528.386892319999,0.0,13580.533412399951,0.0,0.0,0.0,0.0,13580.533412399951
2021-06-02,09:45,2021-06-01,12298.753870160002,12398.66234646,0.0,13460.195483859949,0.0,0.0,0.0,0.0,13460.195483859949
2021-07-08,10:30,2021-07-07,12148.585866860001,12119.2556323,29.330234560000463,13280.697245999947,0.0,0.0,0.0,0.0,13280.697245999947
2021-07-19,10:05,2021-07-16,11437.790651240002,11460.654091780001,0.0,12592.765470919947,0.0,0.0,0.0,0.0,12592.765470919947
2021-08-12,10:30,2021-08-11,11738.126657840001,11725.039617159999,13.087040680002247,13630.014436839943,75.0,0.0,0.0,0.0,13630.014436839943
2021-08-18,10:05,2021-08-17,11968.384262900001,11964.53108644,3.853176460001123,13856.418865439942,50.0,0.0,0.0,0.0,13856.418865439942
2021-11-02,10:30,2021-11-01,11567.936254100001,11385.76003568,182.17621842000153,13273.79463821994,0.0,0.0,0.0,0.0,13273.79463821994
2021-11-08,09:45,2021-11-05,11607.981054980002,11660.23031618,0.0,13366.088700299939,0.0,0.0,0.0,0.0,13366.088700299939
2021-12-02,09:40,2021-12-01,11227.555446620003,11231.14143372,0.0,12989.249079039937,0.0,0.0,0.0,0.0,12989.249079039937
2021-12-27,10:30,2021-12-24,12108.54106598,11949.61584156,158.92522441999972,13711.309473979934,0.0,0.0,0.0,0.0,13711.309473979934
2022-02-10,10:30,2022-02-09,11407.757050580001,11320.9507347,86.80631588000142,12923.719142699934,0.0,0.0,0.0,0.0,12923.719142699934
2022-02-22,09:40,2022-02-21,11247.577847060002,11370.844790800002,0.0,12886.806882919935,0.0,0.0,0.0,0.0,12886.806882919935
2022-02-23,10:30,2022-02-22,11337.67864904,11241.12024494,96.55840410000019,12880.349280799934,0.0,0.0,0.0,0.0,12880.349280799934
2022-02-25,10:30,2022-02-24,11257.589047280002,11171.2685664,86.32048088000192,12713.939198159933,0.0,0.0,0.0,0.0,12713.939198159933
2022-03-18,10:30,2022-03-17,10146.345822860001,10083.578143420002,62.76767943999948,11539.928294299933,0.0,0.0,0.0,0.0,11539.928294299933
2022-03-30,10:30,2022-03-29,10096.289821760001,10053.64170976,42.648112000000765,11447.224181199932,0.0,0.0,0.0,0.0,11447.224181199932
2022-04-12,09:40,2022-04-11,9856.021016480001,9903.959541459999,0.0,11254.89390089993,0.0,0.0,0.0,0.0,11254.89390089993
2022-04-29,10:30,2022-04-28,9425.44520351,9395.040169240001,30.405034269999305,10793.91305365993,0.0,0.0,0.0,0.0,10793.91305365993
2022-05-05,10:30,2022-04-29,9615.656105600001,9494.92337672,120.73272888000065,10863.39122686993,0.0,0.0,0.0,0.0,10863.39122686993
2022-05-19,09:40,2022-05-18,9345.356402630001,9395.134265620001,0.0,10642.86938688993,0.0,0.0,0.0,0.0,10642.86938688993
2022-06-02,09:40,2022-06-01,9325.334202410002,9345.23971007,0.0,10642.752694329929,0.0,0.0,0.0,0.0,10642.752694329929
2022-06-07,10:30,2022-06-06,9435.456303620002,9405.113176730001,30.34312689000035,10722.531668649928,0.0,0.0,0.0,0.0,10722.531668649928
2022-06-08,10:30,2022-06-07,9495.522904280002,9405.113176730001,90.40972755000075,10692.188541759928,0.0,0.0,0.0,0.0,10692.188541759928
2022-06-16,10:30,2022-06-15,9665.711606150002,9614.670310040001,51.041296110000985,10811.335947519927,0.0,0.0,0.0,0.0,10811.335947519927
2022-06-27,10:30,2022-06-24,9805.86700769,9724.43833225,81.42867544,10870.062673619925,0.0,0.0,0.0,0.0,10870.062673619925
2022-06-30,10:30,2022-06-29,9885.955808570001,9814.248532239999,71.70727633000206,10878.444198169924,0.0,0.0,0.0,0.0,10878.444198169924
2022-07-20,09:40,2022-07-19,10096.188910880002,9774.3328878,321.85602308000307,10766.821277399922,0.0,0.0,0.0,0.0,10766.821277399922
2022-08-09,09:50,2022-08-08,9555.58950494,9544.71248782,10.877017120001256,11715.344854339919,150.0,0.0,0.0,0.0,11715.344854339919
2022-08-11,10:30,2022-08-10,9735.789306920002,9494.81793227,240.97137465000196,11654.573281669918,100.0,0.0,0.0,0.0,11654.573281669918
2022-08-15,09:40,2022-08-12,9535.567304720002,9544.607043369999,0.0,11463.391018119915,0.0,0.0,0.0,0.0,11463.391018119915
2022-08-19,10:30,2022-08-18,9565.600605050002,9584.73357671,0.0,11512.557290109913,0.0,0.0,0.0,0.0,11512.557290109913
2022-09-29,10:30,2022-09-28,8564.490594050001,8536.94791016,27.542683890000262,10483.904595219912,0.0,0.0,0.0,0.0,10483.904595219912
2022-10-14,10:30,2022-10-13,8464.37959295,8327.390776850001,136.98881609999808,10246.804778019912,0.0,0.0,0.0,0.0,10246.804778019912
2022-11-03,10:00,2022-11-02,8584.512794270002,8636.73702126,0.0,10419.162206329913,0.0,0.0,0.0,0.0,10419.162206329913
2022-11-10,10:00,2022-11-09,8604.53499449,8616.77919904,0.0,10451.428611099911,0.0,0.0,0.0,0.0,10451.428611099911
2022-11-17,10:30,2022-11-16,8974.94569856,8966.04108789,8.904610670000693,10812.93470449991,0.0,0.0,0.0,0.0,10812.93470449991
2022-12-01,10:30,2022-11-30,9255.25650164,9125.703665649999,129.55283599000177,10963.692671589908,0.0,0.0,0.0,0.0,10963.692671589908
2022-12-02,10:30,2022-12-01,9225.223201310002,9165.61931009,59.60389122000197,10874.055480039908,0.0,0.0,0.0,0.0,10874.055480039908
2022-12-20,10:30,2022-12-19,9495.522904280002,9345.23971007,150.28319421000197,10994.071988799906,0.0,0.0,0.0,0.0,10994.071988799906
2023-01-09,10:30,2023-01-06,9505.53400439,9355.21862118,150.3153832099997,10853.767705699904,0.0,0.0,0.0,0.0,10853.767705699904
2023-01-17,10:30,2023-01-16,9525.55620461,9474.965554499999,50.59065011000166,10823.199255809903,0.0,0.0,0.0,0.0,10823.199255809903
2023-02-03,09:40,2023-02-02,9455.478503840002,9524.86011005,0.0,10822.503161249902,0.0,0.0,0.0,0.0,10822.503161249902
2023-02-13,09:40,2023-02-10,9625.667205710002,9754.37506558,0.0,11121.3997229899,0.0,0.0,0.0,0.0,11121.3997229899
2023-02-22,09:40,2023-02-21,9745.800407030001,9854.16417668,0.0,11349.896693959898,0.0,0.0,0.0,0.0,11349.896693959898
2023-03-07,09:40,2023-03-06,10857.032519240001,11031.675687660001,0.0,12635.771974589898,0.0,0.0,0.0,0.0,12635.771974589898
2023-03-15,09:40,2023-03-14,12028.331232110002,11730.19946536,298.1317667500025,13508.938920709896,0.0,0.0,0.0,0.0,13508.938920709896
2023-03-21,09:50,2023-03-20,14831.43926291,14843.619731679999,0.0,16324.227420279893,0.0,0.0,0.0,0.0,16324.227420279893
2023-03-24,09:40,2023-03-23,17154.014488430003,16949.169975890003,204.8445125399994,18441.958133259897,0.0,0.0,0.0,0.0,18441.958133259897
2023-04-06,09:40,2023-04-04,17754.68049503,17368.284242510003,386.3962525199968,18656.227887339897,0.0,0.0,0.0,0.0,18656.227887339897
2023-04-10,09:40,2023-04-07,17704.62499448,18326.25970907,0.0,19227.807101379898,0.0,0.0,0.0,0.0,19227.807101379898
2023-04-24,09:50,2023-04-21,18024.980198,18745.373975690003,0.0,20268.5560825899,0.0,0.0,0.0,0.0,20268.5560825899
2023-05-29,09:40,2023-05-26,17274.147689750003,16749.591753689998,524.5559360600055,18993.167638279898,0.0,0.0,0.0,0.0,18993.167638279898
2023-06-13,09:40,2023-06-12,21178.476732650004,21299.97521985,0.0,23018.995168379894,0.0,0.0,0.0,0.0,23018.995168379894
2023-06-14,09:40,2023-06-13,22339.76434541,21968.56226422,371.2020811900002,23809.08069994989,0.0,0.0,0.0,0.0,23809.08069994989
2023-06-21,09:40,2023-06-20,24572.23966994,25970.105619330003,0.0,27439.421973869892,0.0,0.0,0.0,0.0,27439.421973869892
2023-07-17,09:40,2023-07-14,26113.949086880002,27197.511685859998,0.0,30064.69398978989,0.0,0.0,0.0,0.0,30064.69398978989
2023-07-18,09:55,2023-07-17,25773.571683140002,26049.93690821,0.0,30000.681811119885,0.0,0.0,0.0,0.0,30000.681811119885
2023-08-24,09:40,2023-08-23,22229.6422442,21234.996308740003,994.6459354599974,27112.106436719885,110.0,0.0,0.0,0.0,27112.106436719885
2023-09-08,09:45,2023-09-07,18825.8682068,19109.098771200002,0.0,23991.562963719887,55.0,0.0,0.0,0.0,23991.562963719887
2023-09-26,09:40,2023-09-25,19716.856116590003,19198.953921689998,517.9021949000053,24364.648678609883,0.0,0.0,0.0,0.0,24364.648678609883
2023-11-21,10:30,2023-11-20,16112.860076990002,16089.055843320002,23.80423367000003,20736.848405339882,0.0,0.0,0.0,0.0,20736.848405339882
2023-11-30,09:50,2023-11-29,14841.450363020002,14920.93888695,0.0,19544.927215299882,0.0,0.0,0.0,0.0,19544.927215299882
2023-12-12,10:05,2023-12-11,15432.10526951,15559.908845990001,0.0,20263.38569826988,0.0,0.0,0.0,0.0,20263.38569826988
