entry_i,entry,sell_ref,exit_i,exit,buy_ref,buy_clock,kind,trigger,missing_windows,delayed,missed_dividend,terminal_mark,path
0,2018-06-08,19.83,3,2018-06-13,24.55,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
1,2018-06-11,21.81,3,2018-06-13,24.55,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
2,2018-06-12,23.99,4,2018-06-14,24.51,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
3,2018-06-13,25.72,5,2018-06-15,22.6,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
4,2018-06-14,23.29,6,2018-06-19,21.83,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
5,2018-06-15,22.58,7,2018-06-20,19.8,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
6,2018-06-19,20.32,8,2018-06-21,19.6,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
7,2018-06-20,19.86,9,2018-06-22,17.7,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
8,2018-06-21,18.17,10,2018-06-25,18.62,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
9,2018-06-22,18.72,11,2018-06-26,17.74,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
10,2018-06-25,18.21,12,2018-06-27,18.5,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
11,2018-06-26,18.53,13,2018-06-28,18.22,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
12,2018-06-27,18.27,14,2018-06-29,17.95,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
13,2018-06-28,17.89,15,2018-07-02,18.2,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
14,2018-06-29,18.44,16,2018-07-03,17.54,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
15,2018-07-02,17.59,17,2018-07-04,17.7,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
16,2018-07-03,17.9,18,2018-07-05,17.0,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
17,2018-07-04,17.17,19,2018-07-06,16.91,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
18,2018-07-05,16.96,20,2018-07-09,17.23,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
19,2018-07-06,17.23,21,2018-07-10,17.51,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
20,2018-07-09,17.47,22,2018-07-11,16.95,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
21,2018-07-10,17.35,23,2018-07-12,16.65,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
22,2018-07-11,16.65,24,2018-07-13,17.7,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
23,2018-07-12,17.96,25,2018-07-16,17.62,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
24,2018-07-13,17.62,26,2018-07-17,17.84,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
25,2018-07-16,17.84,27,2018-07-18,17.69,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
26,2018-07-17,17.69,28,2018-07-19,17.18,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
27,2018-07-18,17.21,29,2018-07-20,16.91,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
28,2018-07-19,16.93,30,2018-07-23,17.11,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
29,2018-07-20,17.3,31,2018-07-24,17.23,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
30,2018-07-23,17.25,32,2018-07-25,18.0,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
31,2018-07-24,18.06,33,2018-07-26,17.66,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
32,2018-07-25,17.71,34,2018-07-27,17.68,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
33,2018-07-26,17.76,35,2018-07-30,17.2,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
34,2018-07-27,17.29,36,2018-07-31,17.19,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
35,2018-07-30,17.14,37,2018-08-01,17.25,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
36,2018-07-31,17.17,38,2018-08-02,16.9,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
37,2018-08-01,16.98,39,2018-08-03,16.27,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
38,2018-08-02,16.24,40,2018-08-06,15.77,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
39,2018-08-03,15.81,41,2018-08-07,15.2,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
40,2018-08-06,15.14,42,2018-08-08,15.41,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
41,2018-08-07,15.55,43,2018-08-09,14.99,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
42,2018-08-08,15.01,44,2018-08-10,15.32,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
43,2018-08-09,15.42,45,2018-08-13,15.19,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
44,2018-08-10,15.47,46,2018-08-14,15.73,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
45,2018-08-13,15.72,47,2018-08-15,15.39,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
46,2018-08-14,15.51,48,2018-08-16,14.85,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
47,2018-08-15,15.06,49,2018-08-17,15.09,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
48,2018-08-16,14.89,50,2018-08-20,14.65,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
49,2018-08-17,14.63,51,2018-08-21,14.9,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
50,2018-08-20,14.92,52,2018-08-22,14.99,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
51,2018-08-21,15.02,53,2018-08-23,14.77,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
52,2018-08-22,14.74,54,2018-08-24,15.04,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
53,2018-08-23,15.13,55,2018-08-27,15.0,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
54,2018-08-24,14.99,56,2018-08-28,15.31,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
55,2018-08-27,15.31,57,2018-08-29,15.35,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
56,2018-08-28,15.32,58,2018-08-30,15.13,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
57,2018-08-29,15.11,59,2018-08-31,14.75,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
58,2018-08-30,14.8,60,2018-09-03,14.71,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
59,2018-08-31,14.79,61,2018-09-04,14.69,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
60,2018-09-03,14.7,62,2018-09-05,14.86,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
61,2018-09-04,14.93,63,2018-09-06,14.61,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
62,2018-09-05,14.63,64,2018-09-07,15.0,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
63,2018-09-06,15.03,65,2018-09-10,14.8,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
64,2018-09-07,14.89,66,2018-09-11,14.63,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
65,2018-09-10,14.63,67,2018-09-12,14.68,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
66,2018-09-11,14.69,68,2018-09-13,14.87,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
67,2018-09-12,14.72,69,2018-09-14,14.79,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
68,2018-09-13,14.79,70,2018-09-17,14.56,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
69,2018-09-14,14.6,71,2018-09-18,14.06,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
70,2018-09-17,14.17,72,2018-09-19,14.24,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
71,2018-09-18,14.31,73,2018-09-20,14.37,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
72,2018-09-19,14.42,74,2018-09-21,14.3,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
73,2018-09-20,14.27,75,2018-09-25,14.35,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
74,2018-09-21,14.45,76,2018-09-26,14.6,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
75,2018-09-25,14.43,77,2018-09-27,14.49,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
76,2018-09-26,14.55,78,2018-09-28,14.21,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
77,2018-09-27,14.2,79,2018-10-08,14.0,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
78,2018-09-28,14.24,80,2018-10-09,13.76,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
79,2018-10-08,13.72,81,2018-10-10,13.79,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
80,2018-10-09,13.73,82,2018-10-11,13.01,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
81,2018-10-10,13.71,83,2018-10-12,12.07,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
82,2018-10-11,12.34,84,2018-10-15,12.0,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
83,2018-10-12,11.96,85,2018-10-16,11.9,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
84,2018-10-15,11.89,86,2018-10-17,11.77,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
85,2018-10-16,11.57,87,2018-10-18,11.63,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
86,2018-10-17,11.76,88,2018-10-19,11.17,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
87,2018-10-18,11.38,89,2018-10-22,11.7,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
88,2018-10-19,11.61,90,2018-10-23,12.55,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
89,2018-10-22,12.65,91,2018-10-24,12.18,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
90,2018-10-23,12.19,92,2018-10-25,11.75,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
91,2018-10-24,12.19,93,2018-10-26,12.1,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
92,2018-10-25,12.0,94,2018-10-29,12.13,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
93,2018-10-26,12.09,95,2018-10-30,12.0,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
94,2018-10-29,12.07,96,2018-10-31,12.25,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
95,2018-10-30,12.1,97,2018-11-01,12.48,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
96,2018-10-31,12.25,98,2018-11-02,12.65,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
97,2018-11-01,12.35,99,2018-11-05,12.62,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
98,2018-11-02,12.61,100,2018-11-06,12.5,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
99,2018-11-05,12.6,101,2018-11-07,12.72,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
100,2018-11-06,12.79,102,2018-11-08,12.67,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
101,2018-11-07,12.53,103,2018-11-09,12.35,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
102,2018-11-08,12.39,104,2018-11-12,12.33,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
103,2018-11-09,12.34,105,2018-11-13,12.37,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
104,2018-11-12,12.59,106,2018-11-14,12.67,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
105,2018-11-13,12.67,107,2018-11-15,12.56,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
106,2018-11-14,12.58,108,2018-11-16,12.91,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
107,2018-11-15,12.89,109,2018-11-19,12.89,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
108,2018-11-16,12.86,110,2018-11-20,12.9,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
109,2018-11-19,13.02,111,2018-11-21,12.48,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
110,2018-11-20,12.62,112,2018-11-22,12.52,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
111,2018-11-21,12.52,113,2018-11-23,12.46,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
112,2018-11-22,12.43,114,2018-11-26,11.81,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
113,2018-11-23,11.81,115,2018-11-27,11.79,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
114,2018-11-26,11.73,116,2018-11-28,11.66,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
115,2018-11-27,11.66,117,2018-11-29,11.86,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
116,2018-11-28,11.79,118,2018-11-30,11.46,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
117,2018-11-29,11.46,119,2018-12-03,12.03,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
118,2018-11-30,11.53,120,2018-12-04,12.04,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
119,2018-12-03,12.0,121,2018-12-05,11.89,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
120,2018-12-04,12.1,122,2018-12-06,12.15,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
121,2018-12-05,12.3,123,2018-12-07,11.99,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
122,2018-12-06,11.96,124,2018-12-10,11.81,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
123,2018-12-07,11.92,125,2018-12-11,11.9,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
124,2018-12-10,11.92,126,2018-12-12,12.06,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
125,2018-12-11,12.0,127,2018-12-13,12.15,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
126,2018-12-12,12.09,128,2018-12-14,12.22,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
127,2018-12-13,12.24,129,2018-12-17,12.0,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
128,2018-12-14,12.06,130,2018-12-18,12.2,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
129,2018-12-17,12.28,131,2018-12-19,12.24,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
130,2018-12-18,12.23,132,2018-12-20,11.92,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
131,2018-12-19,11.93,133,2018-12-21,11.71,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
132,2018-12-20,11.78,134,2018-12-24,11.75,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
133,2018-12-21,11.76,135,2018-12-25,11.73,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
134,2018-12-24,11.9,136,2018-12-26,11.73,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
135,2018-12-25,11.78,137,2018-12-27,11.92,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
136,2018-12-26,11.78,138,2018-12-28,11.6,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
137,2018-12-27,11.56,139,2019-01-02,11.66,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
138,2018-12-28,11.59,140,2019-01-03,11.57,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
139,2019-01-02,11.6,141,2019-01-04,11.36,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
140,2019-01-03,11.52,142,2019-01-07,11.76,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
141,2019-01-04,11.65,143,2019-01-08,11.7,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
142,2019-01-07,11.74,144,2019-01-09,11.78,09:25,forced_open_retry,next_open_forced_retry,2,True,0.0,64.07,fixed_0940
