entry_i,entry,sell_ref,exit_i,exit,buy_ref,buy_clock,kind,trigger,missing_windows,delayed,sale_net,buy_cost,dividend_tax,missed_dividend,cash_increment,net_pct
393,2020-01-16,18.41,394,2020-01-17,18.41,09:25,daily_open,planned_open,0,False,18349.439356400002,18452.188936399998,0.0,0.0,-102.74957999999606,-0.5581183052688542
418,2020-02-28,17.08,419,2020-03-02,17.3,09:25,daily_open,planned_open,0,False,17023.4532432,17339.946691999998,0.0,0.0,-316.49344879999626,-1.8530061405152005
426,2020-03-11,16.54,427,2020-03-12,16.25,09:25,daily_open,planned_open,0,False,16485.082941599998,16287.82565,0.0,0.0,197.2572915999972,1.1926075671100194
450,2020-04-15,13.87,451,2020-04-16,13.75,09:25,daily_open,planned_open,0,False,13823.1408948,13782.77555,0.0,0.0,40.36534480000046,0.29102627829848926
452,2020-04-17,13.99,453,2020-04-20,14.06,09:25,daily_open,planned_open,0,False,13942.7787396,14093.4017624,0.0,0.0,-150.6230228000004,-1.0766477684060072
456,2020-04-23,13.96,457,2020-04-24,13.96,09:25,daily_open,planned_open,0,False,13912.8692784,13993.1997584,0.0,0.0,-80.33048000000053,-0.5754332378223534
472,2020-05-20,13.85,473,2020-05-21,13.88,09:25,daily_open,planned_open,0,False,13803.201254,13913.0381552,0.0,0.0,-109.83690120000028,-0.7930462180505435
477,2020-05-27,13.48,478,2020-05-28,13.5,09:25,daily_open,planned_open,0,False,13434.317899200001,13532.27054,0.0,0.0,-97.95264079999833,-0.7266516379821835
480,2020-06-01,13.88,481,2020-06-02,13.9,09:25,daily_open,planned_open,0,False,13833.1107152,13933.078555999999,0.0,0.0,-99.96784079999816,-0.7202294005763556
492,2020-06-17,14.25,493,2020-06-18,14.25,09:25,daily_open,planned_open,0,False,14201.99407,14283.78557,0.0,0.0,-81.79149999999936,-0.5739754385964867
514,2020-07-21,15.43,515,2020-07-22,15.44,09:25,daily_open,planned_open,0,False,15358.432877199999,15476.189417599999,20.0,0.0,-117.75654039999972,-0.7631661723914435
515,2020-07-22,15.36,516,2020-07-23,15.17,09:25,daily_open,planned_open,0,False,15288.644134400001,15205.6440068,20.0,0.0,83.00012760000209,0.5403654140625136
521,2020-07-30,14.29,522,2020-07-31,14.28,09:25,daily_open,planned_open,0,False,14221.8733516,14313.846171199999,20.0,0.0,-91.97281959999964,-0.6436166522043362
542,2020-08-28,14.75,543,2020-08-31,14.84,09:25,daily_open,planned_open,0,False,14700.48509,14874.9773936,0.0,0.0,-174.4923036,-1.1829986684745764
543,2020-08-31,14.74,544,2020-09-01,14.67,09:25,daily_open,planned_open,0,False,14690.5152696,14704.6339868,0.0,0.0,-14.118717199999082,-0.09578505563093
545,2020-09-02,14.77,546,2020-09-03,14.84,09:25,daily_open,planned_open,0,False,14720.4247308,14874.9773936,0.0,0.0,-154.5526628000007,-1.046395821259314
550,2020-09-09,13.91,551,2020-09-10,14.0,09:25,daily_open,planned_open,0,False,13863.0201764,14033.28056,0.0,0.0,-170.26038359999984,-1.2240142602444273
553,2020-09-14,13.85,554,2020-09-15,13.83,09:25,daily_open,planned_open,0,False,13803.201254,13862.9371532,0.0,0.0,-59.73589920000086,-0.43130613140794843
554,2020-09-15,13.73,555,2020-09-16,13.69,09:25,daily_open,planned_open,0,False,13683.5634092,13722.654347599999,0.0,0.0,-39.09093839999878,-0.28471186016022415
558,2020-09-21,13.74,559,2020-09-22,13.65,09:25,daily_open,planned_open,0,False,13693.5332296,13682.573546,0.0,0.0,10.959683600000062,0.07976480058224208
574,2020-10-21,13.64,575,2020-10-22,13.58,09:25,daily_open,planned_open,0,False,13593.8350256,13612.4321432,0.0,0.0,-18.597117600000274,-0.136342504398829
576,2020-10-23,13.59,577,2020-10-26,13.57,09:25,daily_open,planned_open,0,False,13543.9859236,13602.4119428,0.0,0.0,-58.426019200000155,-0.429919199411333
579,2020-10-28,13.94,580,2020-10-29,13.76,09:25,daily_open,planned_open,0,False,13892.9296376,13792.7957504,0.0,0.0,100.13388719999966,0.7183205681492085
