candidate,events,cash,without_best_event,without_worst_event,without_best3_trades,without_worst3_trades
C00,55,7498.423681868866,1252.5781805578008,17228.849018079818,-7700.156676978177,24915.309278449844
C01,60,-10925.108056771678,-15567.19349727469,-6789.505525051711,-17989.629482034696,-2712.539718346714
C02,57,-3412.122314916661,-6063.399234216674,-480.03344044567984,-10800.410878405666,3641.7853309923094
C03,60,-9144.035369473659,-12355.197784015665,-5008.432837753691,-14605.79695109767,-931.4670310486945
C04,60,-10104.65138344668,-14746.736823949692,-4488.093552130709,-17169.172808709696,-1892.0830450217163
C05,108,-9145.193930526562,-12566.426971743575,-3343.461952314574,-16444.741341600587,-571.2595848135879
C06,105,1761.3727668028441,-3419.222859888221,5757.326342602832,-5286.825444858201,10677.180413103833
C07,1,-38080.11081561808,0.0,0.0,-50365.17642200009,-25579.2927764481
C08,108,10014.407257445726,1138.9418798936695,14392.705011398672,2998.7801084547045,14969.66170481971
