event,cash,n,start,end
0,-157.54321109999728,1,2020-01-02,2020-01-02
1,1949.079106900008,5,2020-01-10,2020-01-23
2,426.7480562000019,4,2020-02-11,2020-02-28
3,246.41747289999876,1,2020-03-11,2020-03-11
4,102.43757640000149,1,2020-03-25,2020-03-25
5,-428.67422389999774,1,2020-04-03,2020-04-03
6,-143.26990909999404,6,2020-04-15,2020-05-06
7,-184.08419569999387,3,2020-05-20,2020-06-01
8,-800.7323172999913,7,2020-06-17,2020-07-21
9,-29.139254899999287,1,2020-07-30,2020-07-30
10,78.18437660000563,2,2020-08-13,2020-08-18
11,-334.9180913999935,5,2020-08-28,2020-09-21
12,91.65736630000356,1,2020-10-13,2020-10-13
13,-410.10568219999186,5,2020-10-21,2020-11-06
14,-19.11365979999937,1,2020-11-16,2020-11-16
15,-564.9512063999791,11,2020-12-02,2021-01-26
16,172.0104390000124,6,2021-02-05,2021-03-08
17,-57.645625199998904,1,2021-03-17,2021-03-17
18,-48.57923469999696,2,2021-03-31,2021-04-08
19,-336.0656749999853,9,2021-04-20,2021-06-08
20,-31.17064959999516,2,2021-06-18,2021-06-25
21,5.07771540000067,1,2021-07-06,2021-07-06
22,-57.33159489999707,2,2021-07-16,2021-07-20
23,-124.10729539999738,1,2021-08-02,2021-08-02
24,-202.7081749999943,3,2021-08-11,2021-08-19
25,-168.87763099999756,2,2021-09-02,2021-09-08
26,-425.1888611999839,9,2021-10-11,2021-11-22
27,-69.95964469999853,3,2021-12-01,2021-12-09
28,-34.433209999999235,1,2021-12-24,2021-12-24
29,-24.550379899998006,1,2022-01-04,2022-01-04
30,-26.23505959999966,2,2022-02-09,2022-02-11
31,18.361686500005817,4,2022-02-21,2022-03-03
32,-174.86527959999512,7,2022-03-14,2022-04-11
33,-69.13824309999836,1,2022-04-28,2022-04-28
34,61.0222104500026,1,2022-05-18,2022-05-18
35,-46.565989799995805,3,2022-05-26,2022-06-06
36,-148.61424014999648,4,2022-06-15,2022-06-29
37,-99.82680034999794,1,2022-07-19,2022-07-19
38,-446.81071969999175,7,2022-07-27,2022-08-23
39,-19.05897994999941,1,2022-09-06,2022-09-06
40,-137.34302054999898,1,2022-09-28,2022-09-28
41,-104.05407524999646,2,2022-10-13,2022-10-18
42,-63.082454899997174,3,2022-11-02,2022-11-16
43,-135.53950009999608,4,2022-11-30,2022-12-19
44,-128.99391049999758,1,2023-01-06,2023-01-06
45,-49.195450100000016,1,2023-01-16,2023-01-16
46,20.73927524999999,1,2023-02-02,2023-02-02
47,30.27989030000208,1,2023-02-10,2023-02-10
48,40.08304035000219,1,2023-02-21,2023-02-21
49,-163.02801564999936,1,2023-03-03,2023-03-03
50,29.420231650006826,7,2023-03-14,2023-04-07
51,-97.97190524999678,1,2023-04-21,2023-04-21
52,-670.6147929000035,2,2023-05-26,2023-05-30
53,623.8251087000026,2,2023-06-12,2023-06-19
54,305.13713185000233,1,2023-07-14,2023-07-14
55,264.7466919000035,1,2023-08-07,2023-08-07
56,-1268.6877357999983,1,2023-08-23,2023-08-23
57,326.48106730000654,2,2023-09-07,2023-09-11
58,-239.41797849999784,1,2023-09-25,2023-09-25
59,-72.39112019999811,1,2023-10-31,2023-10-31
60,-104.53407034999873,1,2023-11-20,2023-11-20
61,-162.78656314999898,1,2023-11-29,2023-11-29
62,-53.70310259999678,1,2023-12-11,2023-12-11
63,-32.1123624999982,1,2023-12-20,2023-12-20
64,-344.29115359999196,4,2024-01-12,2024-02-02
65,722.2874263000012,1,2024-02-20,2024-02-20
66,1149.1790989000037,3,2024-02-28,2024-03-11
67,161.33827855000345,1,2024-03-19,2024-03-19
68,-827.6620738999954,1,2024-04-29,2024-04-29
69,230.2949564000046,1,2024-05-20,2024-05-20
70,-17.264167350000207,1,2024-06-07,2024-06-07
71,709.7563100500083,6,2024-07-02,2024-07-23
72,994.1019977000033,1,2024-08-01,2024-08-01
73,238.54719889999978,1,2024-08-09,2024-08-09
74,-118.81292584999028,4,2024-08-26,2024-09-10
75,-866.6122581499912,5,2024-09-25,2024-10-21
76,831.9032296500118,2,2024-11-08,2024-11-12
77,353.73000200000024,1,2024-11-20,2024-11-20
78,-43.206537499998376,1,2024-11-28,2024-11-28
79,-64.35655009999755,1,2024-12-06,2024-12-06
80,-202.39086284999212,3,2024-12-20,2024-12-27
81,310.46945075002077,8,2025-01-08,2025-02-13
82,364.9357045500001,1,2025-02-24,2025-02-24
83,-346.4339560999979,3,2025-03-05,2025-03-17
84,38.87072790000093,1,2025-03-25,2025-03-25
85,272.8633915499995,1,2025-04-10,2025-04-10
86,-447.23025704999964,1,2025-04-22,2025-04-22
87,-854.0798959999847,4,2025-04-30,2025-05-19
88,90.07177335000233,2,2025-05-30,2025-06-05
89,-183.65253799999846,2,2025-06-19,2025-06-26
90,-278.4747378999891,4,2025-07-04,2025-07-18
91,891.9131657000034,2,2025-07-29,2025-08-05
92,-67.47389446897432,4,2025-08-13,2025-08-29
93,54.38920363201032,1,2025-09-11,2025-09-11
94,1944.4398499890085,1,2025-09-23,2025-09-23
95,8875.465377552056,7,2025-10-16,2025-11-11
96,-127.10570495399588,1,2025-12-01,2025-12-01
97,1084.0128017399911,1,2025-12-10,2025-12-10
98,-1391.7448840589932,2,2025-12-18,2025-12-24
99,1324.895522133018,3,2026-01-12,2026-01-22
100,-786.0980170739931,1,2026-02-02,2026-02-02
101,1547.3026574550095,1,2026-02-26,2026-02-26
102,-4378.297753952946,10,2026-03-10,2026-04-22
103,2211.521015628081,11,2026-05-12,2026-06-25
104,515.3456797920298,4,2026-07-10,2026-07-28
105,122.20576889901713,1,2026-08-05,2026-08-05
106,278.1728740310209,1,2026-08-17,2026-08-17
107,417.5946182030093,3,2026-08-27,2026-09-08
