rule,path,selection,candidate,minimum_old_shares,stock,initialcash,slip_bp,sales,completed,pending,increment,completed_increment,mean_pct,fees,tax_paid,terminal_tax_reserve,terminal_receivable,terminal_missing,deposits,withdrawals,unreturned,peak_requirement,peak_date,peak_pct_1000_value,single_median,single_p95,single_max,single_max_date,single_positive,first_deposit,deposit_yuan_days,longest_relative_deficit_calendar_days,relative_mdd,flow_adjusted_absolute_profit,hold_flow_adjusted_absolute_profit,trade_n,trade_wins,trade_win,trade_cash,trade_mean,trade_worst,trade_mdd,trade_top3,trade_bottom3,trade_mean_pct,missing_windows,delayed,policy
S1_r3_le_m2__AND__S2_clv_le_0p2,gap_low_target0.5,discovery_win_positive_cash,C03,2000,3000,0.0,11.0,116,116,0,-12781.972270443046,-12716.972270443031,-0.3230417903738868,3142.646270442801,1282.0,65.0,0,0,3426.4116154553667,0.0,3426.4116154553667,3426.411615455363,2026-01-14,5.710686025758944,11.200951620000524,1496.252081847464,3214.6744078170086,2026-07-31,61,2020-03-02,1199497.7454723283,154,-13923.775703032981,135388.02772955692,148169.99999999997,116,55,47.41379310344828,-12716.972270443031,-109.62907129692269,-3214.6744078170086,-13887.563211452965,5280.212210772801,-8437.363964535012,-0.3230417903738868,0,0,
S1_r3_le_m2__AND__S2_clv_le_0p2,gap_low_target0.5,discovery_win_positive_cash,C03,2000,3000,0.0,20.0,116,116,0,-18141.377621895983,-18076.377621895976,-0.5029103299557379,3141.0576218960014,1282.0,65.0,0,0,7776.201483052006,0.0,7776.201483052006,7776.201483052006,2026-03-18,14.936998622842884,36.17659780000031,1609.1360638590013,3314.235596939994,2026-07-31,64,2020-03-02,2902940.217895872,154,-18442.114332295983,130028.622378104,148170.0,116,52,44.827586206896555,-18076.377621895976,-155.83084156806876,-3314.235596939994,-18377.114332295976,5007.888154496006,-8774.557403700004,-0.5029103299557379,0,0,
S1_r3_le_m2__AND__S2_clv_le_0p2,target1_stop1,discovery_stress_cash,C04,2000,3000,0.0,5.0,116,116,0,-10169.651383446675,-10104.65138344668,-0.1859449038059531,3143.841383447001,1282.0,65.0,0,0,2465.403309159792,0.0,2465.403309159792,2465.4033091597885,2026-01-14,4.10900551526632,32.70994874999815,1420.9960938397435,3148.3002817349916,2026-07-31,62,2020-03-02,892667.9359180378,95,-14326.342684911826,138000.3486165533,148169.99999999997,116,54,46.55172413793103,-10104.65138344668,-87.10906365040242,-3148.3002817349916,-14268.745296721821,7064.521425263016,-8212.568338424964,-0.1859449038059531,0,0,
S1_r3_le_m2__AND__S2_clv_le_0p2,target1_stop1,discovery_stress_cash,C04,2000,3000,0.0,11.0,116,116,0,-13743.164365983597,-13678.164365983615,-0.30584695796388384,3142.7823659834007,1282.0,65.0,0,0,5118.512969752159,0.0,5118.512969752159,5118.5129697521625,2026-01-14,8.530854949586931,50.02677989000313,1496.252081847464,3214.6744078170086,2026-07-31,64,2020-03-02,1726926.1682447414,151,-16535.574490806546,134426.83563401637,148169.99999999997,116,52,44.827586206896555,-13678.164365983615,-117.91521005158289,-3214.6744078170086,-16447.81658078854,6905.184872378582,-8437.363964535012,-0.30584695796388384,0,0,
S1_r3_le_m2__AND__S2_clv_le_0p2,target1_stop1,discovery_stress_cash,C04,2000,3000,0.0,20.0,116,116,0,-19103.43383978799,-19038.433839787962,-0.4857000392007459,3141.193839788001,1282.0,65.0,0,0,9419.716770688003,0.0,9419.716770688003,9419.716770687999,2026-03-18,18.093962294829048,75.5274946999998,1609.1360638590013,3314.235596939994,2026-07-31,65,2020-03-02,3126959.3255471936,154,-20250.140575988,129066.566160212,148169.99999999997,116,51,43.96551724137931,-19038.433839787962,-164.1244296533445,-3314.235596939994,-20185.140575987967,6666.1800430520125,-8774.557403700004,-0.4857000392007459,0,0,
S1_clv_ge_0p9,target0.5_stop2,discovery_layer_daily,C05,2000,3000,0.0,5.0,173,173,0,-9145.193930526555,-9145.193930526564,-0.2551430017398284,4859.308930526999,1270.0,0.0,0,0,6099.7532645036335,0.0,6099.7532645036335,6099.753264503641,2026-05-27,8.703985822636463,1.6055972999965888,1480.1513647535876,3677.6093028119794,2026-05-13,87,2025-09-12,894910.6421920053,46,-18491.081904352657,139024.80606947342,148169.99999999997,173,85,49.13294797687861,-9145.193930526564,-52.86239266200326,-3677.6093028119794,-18409.632556003664,7299.547411074025,-8573.934345712976,-0.2551430017398284,0,0,
S1_clv_ge_0p9,target0.5_stop2,discovery_layer_daily,C05,2000,3000,0.0,11.0,173,173,0,-14406.574524759868,-14406.57452475984,-0.37507531838153035,4857.627524759404,1270.0,0.0,0,0,10638.478349909194,0.0,10638.478349909194,10638.478349909194,2026-05-27,15.180477097473164,23.80423367000003,1555.52404149792,3757.0062933863956,2026-05-13,93,2025-08-15,2237431.8792601763,46,-22880.911363416977,133763.4254752401,148169.99999999997,173,79,45.664739884393065,-14406.57452475984,-83.27499725294706,-3757.0062933863956,-22756.81155944917,7096.325888362782,-8738.187014168598,-0.37507531838153035,0,0,
S1_clv_ge_0p9,target0.5_stop2,discovery_layer_daily,C05,2000,3000,0.0,20.0,173,173,0,-22298.64541610799,-22298.645416107982,-0.5549737933440437,4855.105416107997,1270.0,0.0,0,0,17446.56597801602,0.0,17446.56597801602,17446.56597801602,2026-05-27,24.895214009726054,47.29963980000139,1668.5830566143968,3876.1017792479906,2026-05-13,103,2022-05-05,5481447.602859344,75,-29469.753028211984,125871.354583892,148170.0,173,69,39.884393063583815,-22298.645416107982,-128.8939041393525,-3876.1017792479906,-29281.677540816,6791.493604295993,-9004.783978667983,-0.5549737933440437,0,0,
S1_clv_ge_0p8,open,baseline,C06,3000,3000,0.0,5.0,340,340,0,1761.372766802815,1761.3727668028441,-0.16373291763707928,9586.572233198012,1829.0,0.0,0,0,2394.6136081997574,0.0,2394.6136081997574,2394.6136081997574,2023-05-31,13.26655738614824,29.851684999999634,639.434197108298,4265.148596750994,2025-10-29,210,2020-01-03,3876164.4281520657,40,-12750.580593975545,149931.3727668028,148169.99999999997,340,130,38.23529411764706,1761.3727668028441,5.180508137655424,-4265.148596750994,-12708.169252283551,7048.198211661045,-8915.80764630099,-0.16373291763707928,0,1,
S1_clv_ge_0p8,open,baseline,C06,3000,3000,0.0,11.0,340,340,0,-8426.977269836323,-8426.977269836365,-0.28361765735244066,9583.256269835607,1829.0,0.0,0,0,7471.044827394835,0.0,7471.044827394835,7471.044827394835,2025-09-12,12.069539301122512,46.274180389999856,675.221219848632,4356.3927600522,2025-10-29,226,2020-01-03,9940413.548238099,40,-18613.29427792925,139743.02273016365,148169.99999999997,340,114,33.52941176470588,-8426.977269836365,-24.785227264224602,-4356.3927600522,-18499.343440186254,6816.430550980189,-9081.067989062209,-0.28361765735244066,0,1,
S1_clv_ge_0p8,open,baseline,C06,3000,3000,0.0,20.0,340,340,0,-23709.502324791974,-23709.50232479201,-0.4634447669254442,9578.28232479201,1829.0,0.0,0,0,20123.161388991975,0.0,20123.161388991975,20123.161388991975,2026-06-01,27.285642561345053,68.19260010000107,766.907578688397,4493.259005004002,2025-10-29,245,2020-01-03,20510027.894581564,176,-31547.234084052005,124460.497675208,148169.99999999997,340,95,27.941176470588236,-23709.50232479201,-69.73383036703532,-4493.259005004002,-31332.929033392,6517.635653964015,-9328.958503204005,-0.4634447669254442,0,1,
S0,open,baseline,C07,3000,3000,0.0,5.0,1617,1617,0,-38080.11081561813,-38080.110815618085,-0.17973136140963059,43691.71081562204,1480.0,0.0,0,0,33679.13438618633,0.0,33679.13438618633,33679.13438618633,2025-10-29,41.682097012606846,31.053444899996975,777.47735929719,4348.957669793992,2025-09-23,992,2020-01-03,44248546.06226887,607,-45636.94692672644,110089.88918438186,148170.0,1617,622,38.46629560915275,-38080.110815618085,-23.549852081396466,-4348.957669793992,-45573.20469938643,12285.065606382006,-12500.818039169986,-0.17973136140963059,0,1,
S0,open,baseline,C07,3000,3000,0.0,11.0,1617,1617,0,-83627.28451597173,-83627.28451597165,-0.2996381707577348,43676.804515968375,1480.0,0.0,0,0,74133.5723927523,0.0,74133.5723927523,74133.5723927523,2026-09-09,113.63208521267983,47.73318500000096,819.5186659240808,4436.068887946807,2025-09-23,1075,2020-01-03,78741635.60459113,1237,-88077.07102060664,64542.715484028246,148169.99999999997,1617,538,33.27149041434756,-83627.28451597165,-51.71755381321685,-4436.068887946807,-88001.40788179217,12035.974898840403,-12771.401247774033,-0.2996381707577348,0,1,
S0,open,baseline,C07,3000,3000,0.0,20.0,1617,1617,0,-151948.04506648806,-151948.04506648798,-0.47949838477985335,43654.445066488,1480.0,0.0,0,0,142223.71232118004,0.0,142223.71232118004,142223.71232118004,2026-09-09,218.00078528690995,69.44840000000113,891.7607525832027,4566.735715175993,2025-09-23,1177,2020-01-03,132851710.92260043,2118,-154767.83630258805,-3778.0450664880627,148170.0,1617,436,26.96351267779839,-151948.04506648798,-93.96910641093876,-4566.735715175993,-154642.19557398005,11662.33883752802,-13177.276060679986,-0.47949838477985335,0,1,
S1_clv_ge_0p8,open,baseline_single_batch,C08,1000,3000,0.0,5.0,286,286,0,10014.40725744571,10014.407257445726,-0.07392489687965709,7969.927742555007,1957.0,0.0,0,0,1112.569721649792,0.0,1112.569721649792,1112.5697216497938,2023-05-31,6.163821172575025,29.354104949999055,551.7294256249988,1932.5882208599942,2026-06-01,172,2020-01-03,1855167.1122770105,40,-8100.520309444866,158184.40725744568,148169.99999999997,286,114,39.86013986013986,10014.407257445726,35.01540999106897,-1932.5882208599942,-8007.711794279887,7015.627148991021,-4955.254447373984,-0.07392489687965709,0,0,no_resell_buy_day
S1_clv_ge_0p8,open,baseline_single_batch,C08,1000,3000,0.0,11.0,286,286,0,1606.7547367783845,1606.754736778359,-0.1937553882576016,7967.182263221008,1957.0,0.0,0,0,3512.586307630192,0.0,3512.586307630192,3512.586307630192,2023-05-31,19.460311953629873,42.03078800000185,583.1123963750051,2021.7263578919956,2026-06-01,186,2020-01-03,6049802.1582173,40,-9961.941881800194,149776.75473677836,148169.99999999997,286,100,34.96503496503497,1606.754736778359,5.618023555169088,-2021.7263578919956,-9933.749865810201,6816.430550980189,-5180.655179422807,-0.1937553882576016,0,0,no_resell_buy_day
S1_clv_ge_0p8,open,baseline_single_batch,C08,1000,3000,0.0,20.0,286,286,0,-11004.724044219998,-11004.724044220027,-0.3735011253244786,7963.064044219995,1957.0,0.0,0,0,7240.42949120001,0.0,7240.42949120001,7240.429491200008,2025-07-21,26.79655622205777,66.85012939999888,643.9518372400007,2155.433563440005,2026-06-01,202,2020-01-03,12756353.8801854,40,-17297.825871199973,137165.27595577997,148169.99999999997,286,84,29.37062937062937,-11004.724044220027,-38.47805609867142,-2155.433563440005,-17083.520820539983,6517.635653964015,-5518.756277496002,-0.3735011253244786,0,0,no_resell_buy_day
