candidate,nominal_cash,trade_cash,missed_dividend,fifo_tax,terminal_reserve,account_increment
H00,24295.32093445643,23052.320934456417,0.0,1243.0,0.0,23052.320934456395
H01,15479.974335681125,14744.974335681112,0.0,735.0,130.0,14614.974335681094
H02,9575.49646633945,8332.496466339413,0.0,1243.0,0.0,8332.496466339391
H03,14739.457462281129,14004.45746228111,0.0,735.0,130.0,13874.457462281105
