event,cash,n,start,end
0,-157.54321109999728,1,2020-01-02,2020-01-02
1,2090.2438538000097,6,2020-01-10,2020-01-23
2,426.7480562000019,4,2020-02-11,2020-02-28
3,246.41747289999876,1,2020-03-11,2020-03-11
4,-144.7765806999978,2,2020-03-25,2020-03-26
5,-428.67422389999774,1,2020-04-03,2020-04-03
6,-282.6499200999933,7,2020-04-15,2020-05-07
7,-333.02071679999244,4,2020-05-20,2020-06-02
8,-994.564683399989,9,2020-06-17,2020-07-22
9,-29.139254899999287,1,2020-07-30,2020-07-30
10,78.18437660000563,2,2020-08-13,2020-08-18
11,-302.92545529999006,7,2020-08-28,2020-09-21
12,91.65736630000356,1,2020-10-13,2020-10-13
13,-410.10568219999186,5,2020-10-21,2020-11-06
14,-19.11365979999937,1,2020-11-16,2020-11-16
15,-506.8581703999789,12,2020-12-02,2021-01-26
16,203.5754197000133,7,2021-02-05,2021-03-08
17,-95.21966519999478,2,2021-03-17,2021-03-18
18,-48.57923469999696,2,2021-03-31,2021-04-08
19,-370.9883649999829,10,2021-04-20,2021-06-08
20,-31.17064959999516,2,2021-06-18,2021-06-25
21,-39.70740969999861,2,2021-07-06,2021-07-07
22,-81.33130979999623,3,2021-07-16,2021-07-21
23,-168.21377999999459,2,2021-08-02,2021-08-03
24,-152.7081749999943,3,2021-08-11,2021-08-19
25,-168.87763099999756,2,2021-09-02,2021-09-08
26,-425.1888611999839,9,2021-10-11,2021-11-22
27,-94.20409959999597,4,2021-12-01,2021-12-10
28,-34.433209999999235,1,2021-12-24,2021-12-24
29,-24.550379899998006,1,2022-01-04,2022-01-04
30,-26.23505959999966,2,2022-02-09,2022-02-11
31,-14.623478499996054,5,2022-02-21,2022-03-03
32,-174.86527959999512,7,2022-03-14,2022-04-11
33,-138.38428329999806,2,2022-04-28,2022-04-29
34,61.0222104500026,1,2022-05-18,2022-05-18
35,-124.28025489999527,5,2022-05-26,2022-06-07
36,-168.33965509999507,5,2022-06-15,2022-06-29
37,-475.8706893999879,10,2022-07-19,2022-08-23
38,-88.04248514999927,2,2022-09-06,2022-09-07
39,-137.34302054999898,1,2022-09-28,2022-09-28
40,-104.05407524999646,2,2022-10-13,2022-10-18
41,-40.48523964999549,4,2022-11-02,2022-11-16
42,-144.08850499999608,5,2022-11-30,2022-12-19
43,-128.99391049999758,1,2023-01-06,2023-01-06
44,-49.195450100000016,1,2023-01-16,2023-01-16
45,20.73927524999999,1,2023-02-02,2023-02-02
46,30.27989030000208,1,2023-02-10,2023-02-10
47,40.08304035000219,1,2023-02-21,2023-02-21
48,-195.36368564999793,2,2023-03-03,2023-03-06
49,-410.26847034999264,8,2023-03-14,2023-04-07
50,-97.97190524999678,1,2023-04-21,2023-04-21
51,-670.6147929000035,2,2023-05-26,2023-05-30
52,1307.1961377000043,4,2023-06-12,2023-06-20
53,272.4232870000051,2,2023-07-14,2023-07-17
54,264.7466919000035,1,2023-08-07,2023-08-07
55,-1268.6877357999983,1,2023-08-23,2023-08-23
56,326.48106730000654,2,2023-09-07,2023-09-11
57,-239.41797849999784,1,2023-09-25,2023-09-25
58,-72.39112019999811,1,2023-10-31,2023-10-31
59,-104.53407034999873,1,2023-11-20,2023-11-20
60,-162.78656314999898,1,2023-11-29,2023-11-29
61,-53.70310259999678,1,2023-12-11,2023-12-11
62,-32.1123624999982,1,2023-12-20,2023-12-20
63,-344.29115359999196,4,2024-01-12,2024-02-02
64,722.2874263000012,1,2024-02-20,2024-02-20
65,1149.1790989000037,3,2024-02-28,2024-03-11
66,161.33827855000345,1,2024-03-19,2024-03-19
67,-827.6620738999954,1,2024-04-29,2024-04-29
68,211.22228655001163,2,2024-05-20,2024-05-21
69,-17.264167350000207,1,2024-06-07,2024-06-07
70,709.7563100500083,6,2024-07-02,2024-07-23
71,994.1019977000033,1,2024-08-01,2024-08-01
72,238.54719889999978,1,2024-08-09,2024-08-09
73,-48.31596279998848,5,2024-08-26,2024-09-10
74,-3995.9535757999874,7,2024-09-25,2024-10-21
75,831.9032296500118,2,2024-11-08,2024-11-12
76,353.73000200000024,1,2024-11-20,2024-11-20
77,-43.206537499998376,1,2024-11-28,2024-11-28
78,-588.2334199999932,2,2024-12-06,2024-12-09
79,-202.39086284999212,3,2024-12-20,2024-12-27
80,310.46945075002077,8,2025-01-08,2025-02-13
81,364.9357045500001,1,2025-02-24,2025-02-24
82,-346.4339560999979,3,2025-03-05,2025-03-17
83,38.87072790000093,1,2025-03-25,2025-03-25
84,-364.4941614499985,2,2025-04-10,2025-04-11
85,-1359.0405931499809,6,2025-04-22,2025-05-19
86,-160.90145019999545,3,2025-05-30,2025-06-06
87,-183.65253799999846,2,2025-06-19,2025-06-26
88,-278.4747378999891,4,2025-07-04,2025-07-18
89,-2318.4926678839693,10,2025-07-29,2025-09-01
90,1844.780556762009,2,2025-09-11,2025-09-12
91,1944.4398499890085,1,2025-09-23,2025-09-23
92,5180.595626691065,9,2025-10-16,2025-11-11
93,-276.28345186199294,2,2025-12-01,2025-12-02
94,1084.0128017399911,1,2025-12-10,2025-12-10
95,-1391.7448840589932,2,2025-12-18,2025-12-24
96,1171.2784710870183,4,2026-01-12,2026-01-23
97,-720.0980170739931,1,2026-02-02,2026-02-02
98,1547.3026574550095,1,2026-02-26,2026-02-26
99,-3255.5397160349457,12,2026-03-10,2026-04-23
100,1438.595201097094,13,2026-05-12,2026-06-25
101,515.3456797920298,4,2026-07-10,2026-07-28
102,-130.0350796009734,2,2026-08-05,2026-08-06
103,2260.993956701044,2,2026-08-17,2026-08-18
104,547.5946182030093,3,2026-08-27,2026-09-08
