event,cash,n,start,end
0,-134.8814609000001,1,2020-02-28,2020-02-28
1,43.09980580000229,1,2020-03-31,2020-03-31
2,38.5721158000033,1,2020-07-21,2020-07-21
3,51.81012610000289,1,2020-09-14,2020-09-14
4,-287.5916672999974,1,2020-11-04,2020-11-04
5,100.94874139999956,1,2020-11-16,2020-11-16
6,142.4787718000025,1,2020-12-14,2020-12-14
7,-127.47807589999684,1,2021-05-07,2021-05-07
8,24.415080599999783,1,2021-05-26,2021-05-26
9,2.4860401500009175,1,2022-09-22,2022-09-22
10,85.29051065000021,1,2023-03-31,2023-03-31
11,-229.78355094999824,1,2023-05-09,2023-05-09
12,192.06340125000497,1,2023-06-29,2023-06-29
13,271.48106730000654,2,2023-09-07,2023-09-11
14,39.944833149998885,1,2023-10-19,2023-10-19
15,-171.45428319999883,1,2023-10-27,2023-10-27
16,562.3021555500054,1,2024-03-18,2024-03-18
17,-831.6945564499983,1,2024-04-23,2024-04-23
18,-520.9841998499978,1,2024-06-27,2024-06-27
19,1560.5132462500078,4,2024-07-17,2024-07-29
20,514.5599410500035,2,2024-08-30,2024-09-05
21,295.73000200000024,1,2024-11-20,2024-11-20
22,-82.77101269999548,1,2025-02-07,2025-02-07
23,-472.19484215000193,1,2025-03-05,2025-03-05
24,272.8633915499995,1,2025-04-10,2025-04-10
25,412.5197543930044,1,2025-10-16,2025-10-16
26,6451.347904765033,3,2025-11-04,2025-11-13
27,-866.3836862519966,1,2025-12-15,2025-12-15
28,391.22452485000395,1,2026-01-12,2026-01-12
29,847.934739246004,1,2026-02-02,2026-02-02
30,1150.483747737002,1,2026-06-10,2026-06-10
31,2383.3010006580007,1,2026-07-01,2026-07-01
32,1156.9049593290038,1,2026-07-15,2026-07-15
33,1477.915809955004,1,2026-08-24,2026-08-24
