candidate,date,clock,five_ref,one_ref,difference,covered
H00,2025-10-28,14:50,73.98,,,False
H00,2025-11-07,14:50,72.59,,,False
H00,2025-11-10,14:50,71.5,,,False
H00,2025-12-02,14:50,60.95,,,False
H00,2025-12-19,14:50,58.3,,,False
H00,2026-01-13,14:50,59.17,,,False
H00,2026-01-19,14:50,60.78,,,False
H00,2026-01-23,14:50,60.14,,,False
H00,2026-02-03,14:50,55.66,,,False
H00,2026-03-12,14:50,52.55,,,False
H00,2026-03-18,14:50,52.08,,,False
H00,2026-03-20,14:50,50.35,,,False
H00,2026-03-26,14:50,49.65,,,False
H00,2026-04-01,14:50,53.16,,,False
H00,2026-04-23,14:50,67.7,,,False
H00,2026-05-21,14:50,65.83,65.83000183105469,-1.8310546892053026e-06,True
H00,2026-05-22,14:50,67.21,67.20999908447266,9.155273374972239e-07,True
H00,2026-05-26,14:50,70.04,70.04000091552734,-9.155273374972239e-07,True
H00,2026-06-11,14:50,69.19,69.19000244140625,-2.4414062522737368e-06,True
H00,2026-06-17,14:50,72.4,72.41000366210938,-0.010003662109369316,True
H00,2026-06-22,14:50,78.77,78.7699966430664,3.3569335897709607e-06,True
H00,2026-06-26,14:50,70.76,70.76000213623047,-2.1362304636340923e-06,True
H00,2026-07-13,14:50,63.22,63.220001220703125,-1.2207031261368684e-06,True
H00,2026-07-16,14:50,62.57,62.56999969482422,3.051757815342171e-07,True
H00,2026-07-29,14:50,57.8,57.79999923706055,7.629394502828291e-07,True
H00,2026-08-18,14:50,66.17,66.16000366210938,0.009996337890626705,True
H00,2026-08-28,14:50,64.25,64.25,0.0,True
H00,2026-09-02,14:50,61.8,61.79999923706055,7.629394502828291e-07,True
H01,2020-03-02,09:40,17.17,,,False
H01,2020-04-01,09:30,13.13,,,False
H01,2020-07-22,09:45,15.35,,,False
H01,2020-09-15,09:40,13.74,,,False
H01,2020-11-05,09:40,13.7,,,False
H01,2020-11-17,09:40,14.14,,,False
H01,2020-12-15,09:30,13.36,,,False
H01,2021-05-10,10:30,13.54,,,False
H01,2021-05-27,10:00,12.5,,,False
H01,2022-09-23,10:30,8.65,,,False
H01,2023-04-03,09:30,17.09,,,False
H01,2023-05-10,09:40,14.89,,,False
H01,2023-06-30,09:30,23.55,,,False
H01,2023-09-08,09:30,19.01,,,False
H01,2023-09-12,09:30,19.19,,,False
H01,2023-10-20,09:45,16.4,,,False
H01,2023-10-30,09:50,14.21,,,False
H01,2024-03-19,09:30,24.4,,,False
H01,2024-04-24,09:40,21.38,,,False
H01,2024-06-28,09:40,27.28,,,False
H01,2024-07-18,09:30,24.82,,,False
H01,2024-07-22,09:30,24.49,,,False
H01,2024-07-24,09:30,24.4,,,False
H01,2024-07-30,09:30,23.49,,,False
H01,2024-09-02,09:40,19.87,,,False
H01,2024-09-06,09:45,18.77,,,False
H01,2024-11-21,09:30,23.6,,,False
H01,2025-02-10,10:30,21.59,,,False
H01,2025-03-06,09:55,21.47,,,False
H01,2025-04-11,09:30,17.65,,,False
H01,2025-10-17,09:30,63.0,,,False
H01,2025-11-05,09:30,70.31,,,False
H01,2025-11-12,09:30,66.45,,,False
H01,2025-11-14,09:30,65.8,,,False
H01,2025-12-16,09:40,59.9,,,False
H01,2026-01-13,10:15,60.43,,,False
H01,2026-02-03,10:10,54.7,,,False
H01,2026-06-11,09:30,69.82,69.81999969482422,3.0517577442878974e-07,True
H01,2026-07-02,09:30,67.46,67.45999908447266,9.155273374972239e-07,True
H01,2026-07-16,09:30,62.35,62.34999847412109,1.5258789147765128e-06,True
H01,2026-08-25,09:30,58.75,58.75,0.0,True
