candidate,bp,deposits,single_max,single_p95,peak_requirement,longest_deficit_days,minimum_old_shares
C00,5,14991.97707244147,6936.87200885998,2309.4283250624903,14991.97707244147,72,3000
C00,11,19769.820978572825,7029.718405092004,2361.783672337504,19769.820978572825,74,3000
C00,20,26936.586837767994,7168.987999440011,2440.3166932500008,26936.586837767994,74,3000
C01,5,2433.901775910719,3148.3002817349916,1420.9960938397435,2433.901775910723,151,2000
C01,11,5484.74798140438,3214.6744078170086,1496.252081847464,5484.747981404384,151,2000
C01,20,10061.01728964402,3314.235596939994,1609.1360638590013,10061.01728964402,151,2000
C02,5,182.74814979998882,3148.3002817349916,1284.4951880864955,182.74814979998882,198,2000
C02,11,272.57120956000836,3214.6744078170086,1321.6680957903027,272.57120956000836,198,2000
C02,20,2370.9780474719864,3314.235596939994,1377.427457345997,2370.9780474719882,198,2000
C03,5,774.3161001157459,3148.3002817349916,1420.9960938397435,774.3161001157496,151,2000
C03,11,3426.4116154553667,3214.6744078170086,1496.252081847464,3426.411615455363,154,2000
C03,20,7776.201483052006,3314.235596939994,1609.1360638590013,7776.201483052006,154,2000
C04,5,2465.403309159792,3148.3002817349916,1420.9960938397435,2465.4033091597885,95,2000
C04,11,5118.512969752159,3214.6744078170086,1496.252081847464,5118.5129697521625,151,2000
C04,20,9419.716770688003,3314.235596939994,1609.1360638590013,9419.716770687999,154,2000
C05,5,6099.7532645036335,3677.6093028119794,1480.1513647535876,6099.753264503641,46,2000
C05,11,10638.478349909194,3757.0062933863956,1555.52404149792,10638.478349909194,46,2000
C05,20,17446.56597801602,3876.1017792479906,1668.5830566143968,17446.56597801602,75,2000
C06,5,2394.6136081997574,4265.148596750994,639.434197108298,2394.6136081997574,40,3000
C06,11,7471.044827394835,4356.3927600522,675.221219848632,7471.044827394835,40,3000
C06,20,20123.161388991975,4493.259005004002,766.907578688397,20123.161388991975,176,3000
C07,5,33679.13438618633,4348.957669793992,777.47735929719,33679.13438618633,607,3000
C07,11,74133.5723927523,4436.068887946807,819.5186659240808,74133.5723927523,1237,3000
C07,20,142223.71232118004,4566.735715175993,891.7607525832027,142223.71232118004,2118,3000
C08,5,1112.569721649792,1932.5882208599942,551.7294256249988,1112.5697216497938,40,1000
C08,11,3512.586307630192,2021.7263578919956,583.1123963750051,3512.586307630192,40,1000
C08,20,7240.42949120001,2155.433563440005,643.9518372400007,7240.429491200008,40,1000
