date,clock,entry,buy_cost,sale_net,single_gap,cash_before,tax_reserve,receivable,deposit,cumulative_deposit,zero_capital_pool_before
2020-01-03,09:25,2020-01-02,18515.709206780004,18336.05502236,179.65418442000373,18336.05502236,0.0,0.0,179.65418442000373,179.65418442000373,18336.05502236
2020-01-13,09:25,2020-01-10,18045.18279644,17986.796629660003,58.38616677999744,17986.796629660003,0.0,0.0,58.38616677999744,238.04035120000117,17807.14244524
2020-01-15,09:25,2020-01-14,18375.5524037,18346.03383358,29.518570119998913,18346.03383358,0.0,0.0,29.518570119998913,267.5589213200001,18107.99348238
2020-01-17,09:25,2020-01-16,18435.61960502,18365.99145602,69.62814900000012,18365.99145602,0.0,0.0,69.62814900000012,337.1870703200002,18098.4325347
2020-01-21,09:25,2020-01-20,19226.5044224,19294.020899479998,0.0,19294.020899479998,0.0,0.0,0.0,337.1870703200002,18956.833829159998
2020-02-03,09:25,2020-01-23,18025.160396000003,19952.62244,0.0,20020.138917079996,0.0,0.0,0.0,337.1870703200002,19682.951846759996
2020-02-12,09:25,2020-02-11,19106.37001976,19184.25397606,0.0,21179.232497139994,0.0,0.0,0.0,337.1870703200002,20842.045426819994
2020-02-19,09:25,2020-02-18,18675.888410300002,18805.0591497,0.0,20877.92162707999,0.0,0.0,0.0,337.1870703200002,20540.73455675999
2020-02-25,09:25,2020-02-24,19677.0084323,20092.32579708,0.0,22294.35901385999,0.0,0.0,0.0,337.1870703200002,21957.17194353999
2020-03-02,09:25,2020-02-28,17324.376380600002,17038.809563759998,285.5668168400043,19656.160145319987,0.0,0.0,0.0,337.1870703200002,19318.973074999987
2020-03-12,09:25,2020-03-11,16273.200357500002,16499.95375788,0.0,18831.737522599986,0.0,0.0,0.0,337.1870703200002,18494.550452279986
2020-03-26,09:25,2020-03-25,13430.019495020002,13516.2892031,0.0,16074.826368199983,0.0,0.0,0.0,337.1870703200002,15737.639297879983
2020-04-07,09:25,2020-04-03,14371.072315700001,13925.420463120001,445.6518525800002,16570.227336299984,0.0,0.0,0.0,337.1870703200002,16233.040265979984
2020-04-16,09:25,2020-04-15,13770.400302500002,13835.61116214,0.0,16034.766182739982,0.0,0.0,0.0,337.1870703200002,15697.579112419982
2020-04-20,09:25,2020-04-17,14080.747509320003,13955.35689678,125.39061254000262,16219.72277701998,0.0,0.0,0.0,337.1870703200002,15882.53570669998
2020-04-22,09:25,2020-04-21,14080.747509320003,14124.99668752,0.0,16263.971955219979,0.0,0.0,0.0,337.1870703200002,15926.784884899978
