candidate,bp,period,n,wins,win,cash,mean,worst,mdd,top3,bottom3,mean_pct,ci_low,ci_high
C00,5,discovery,69,40,57.971014492753625,4041.9859530001413,58.57950656521944,-2130.5506104499964,-10020.114270799924,5700.1616298500085,-6076.044124699994,-0.06013840136183948,-14846.605296463618,20925.09968597392
C00,5,later,122,56,45.90163934426229,3456.4377288687247,28.33145679400594,-6936.87200885998,-27193.963025441648,15198.580358847044,-17416.885596580978,-0.3821106414699603,-37773.05660422297,44526.30057403018
C00,5,main,191,96,50.26178010471204,7498.423681868868,39.25876273229774,-6936.87200885998,-27193.963025441648,15198.580358847044,-17416.885596580978,-0.2657960625827334,-36018.24989872574,52797.36724034203
C00,5,2020,13,8,61.53846153846154,2057.9386918000146,158.3029762923088,-759.7432071999992,-1245.0826751999957,2537.4467618000053,-1201.461720399995,0.7489871975408259,,
C00,5,2021,5,3,60.0,192.13623450000705,38.42724690000141,-159.17928599999868,-218.26578099999642,410.4020155000035,-217.52502539999477,0.1610670517918259,,
C00,5,2022,1,0,0.0,-170.14523069999814,-170.14523069999814,-170.14523069999814,-170.14523069999814,-170.14523069999814,-170.14523069999814,-1.7117226428571242,,
C00,5,2023,50,29,57.99999999999999,1962.0562574001178,39.241125148002354,-2130.5506104499964,-9326.60413509994,5700.1616298500085,-6076.044124699994,-0.25959991756199324,,
C00,5,2024,43,17,39.53488372093023,-5065.112874849872,-117.79332267092727,-2559.5626150499993,-8364.913507849893,4406.88545780001,-6161.32716764999,-0.7286951237349367,,
C00,5,2025,53,24,45.28301886792453,-8727.585129895677,-164.67141754520145,-6936.87200885998,-23703.826079141785,11696.756375943027,-15341.629435226983,-0.7313702182604226,,
C00,5,2026,26,15,57.692307692307686,17249.135733614276,663.4282974467029,-6156.167588246004,-10635.602081643941,12391.872367833043,-10492.985051591982,0.9030389857334433,,
C00,11,discovery,69,39,56.52173913043478,2605.1877365998935,37.75634400869411,-2149.315862990001,-10778.161555760065,5624.823145670001,-6140.789554340001,-0.1799451769026858,-16644.44419677085,19537.257888133157
C00,11,later,122,55,45.08196721311475,-2687.8066092907848,-22.031201715498234,-7029.718405092004,-30535.00871517269,14925.538340663406,-17635.408993278223,-0.5021761453771418,-43987.91709999987,38211.01496933146
