candidate,events,cash,without_best_event,without_worst_event,without_best3_trades,without_worst3_trades
H00,86,23052.320934456417,15602.723567310393,25135.88356435642,10021.856385549407,28901.073299823413
H01,34,14744.974335681112,8293.62643091608,15611.358021933109,7305.534160624087,16964.036778233105
H02,86,8332.496466339413,4365.14534418939,10954.097848371399,2583.71452487239,12153.276560289385
H03,34,14004.45746228111,7553.109557516078,14757.555479355104,6565.0172872240855,15496.647701105101
