event,cash,n,start,end
0,-727.9008017999986,1,2020-01-16,2020-01-16
1,-415.0270636999994,1,2020-02-28,2020-02-28
2,406.50067449999915,1,2020-03-11,2020-03-11
3,-715.6038959999914,3,2020-04-15,2020-04-23
4,-94.03739479999422,3,2020-05-20,2020-06-01
5,-169.13047629999892,1,2020-06-17,2020-06-17
6,377.4638000000068,2,2020-07-21,2020-07-22
7,-369.30565809999825,1,2020-07-30,2020-07-30
8,907.7037568000123,7,2020-08-28,2020-09-21
9,-284.0546166999957,3,2020-10-21,2020-10-28
10,70.93314110000028,1,2020-11-16,2020-11-16
11,121.4282265999991,1,2020-12-02,2020-12-02
12,-45.47919469999579,2,2020-12-15,2020-12-18
13,-277.18896739999764,1,2020-12-28,2020-12-28
14,-446.762586799985,7,2021-02-05,2021-03-08
15,-5.172864299998764,2,2021-03-17,2021-03-18
16,-198.657236199997,2,2021-04-22,2021-04-28
17,-144.26670569999624,2,2021-05-13,2021-05-19
18,89.80952660000366,2,2021-06-01,2021-06-02
19,98.89695170000414,2,2021-06-18,2021-06-25
20,160.39659230000325,2,2021-07-06,2021-07-07
21,-77.91305509999984,2,2021-07-20,2021-07-21
22,-19.00450959999762,1,2021-08-11,2021-08-11
23,-309.09412750000047,1,2021-09-02,2021-09-02
24,110.77273770000465,4,2021-10-14,2021-11-01
25,-83.03156049999961,1,2021-12-06,2021-12-06
26,-104.46961069999998,1,2021-12-24,2021-12-24
27,-134.6075809999984,1,2022-01-04,2022-01-04
28,-6.224659399997108,2,2022-02-09,2022-02-11
29,13.806135800001357,2,2022-02-21,2022-02-22
30,47.19920080000156,1,2022-03-03,2022-03-03
31,-263.56182609999087,5,2022-03-23,2022-04-11
32,-188.40978354999788,2,2022-04-28,2022-04-29
33,51.01711040000009,1,2022-05-18,2022-05-18
34,-18.614689949998137,1,2022-05-26,2022-05-26
35,0.9714151500011212,1,2022-06-06,2022-06-06
36,-248.92777564999597,4,2022-06-20,2022-06-29
37,-40.076874899998074,2,2022-07-27,2022-08-02
38,-299.4388160999988,1,2022-08-10,2022-08-10
39,-148.2336194499985,2,2022-08-19,2022-08-23
40,40.9716203500011,1,2022-09-06,2022-09-06
41,122.78958075000082,1,2022-09-28,2022-09-28
42,-74.03877509999802,2,2022-10-13,2022-10-18
43,-27.44847999999911,1,2022-11-09,2022-11-09
44,32.018715450001764,2,2022-12-12,2022-12-19
45,-39.190350049999324,1,2023-01-16,2023-01-16
46,90.10854060000202,1,2023-02-21,2023-02-21
47,1405.6981373500057,1,2023-07-14,2023-07-14
48,131.40966660000413,2,2023-09-07,2023-09-11
49,20.557730550002816,1,2023-11-20,2023-11-20
50,-162.78656314999898,1,2023-11-29,2023-11-29
51,-52.12256259999958,1,2023-12-20,2023-12-20
52,120.53251575000286,1,2024-01-12,2024-01-12
53,931.5894901500105,2,2024-05-20,2024-05-21
54,-2083.5626299000032,2,2024-07-02,2024-07-08
55,282.87363664999793,1,2024-07-23,2024-07-23
56,281.6164319000054,1,2024-08-26,2024-08-26
57,-36.57109469999705,1,2024-09-10,2024-09-10
58,935.1445552000041,1,2024-10-15,2024-10-15
59,533.8218029000018,1,2024-11-20,2024-11-20
60,-373.37483914999757,1,2024-11-28,2024-11-28
61,382.26128485000663,2,2024-12-06,2024-12-09
62,38.6883579000023,1,2025-01-08,2025-01-08
63,-393.29385425000146,1,2025-02-13,2025-02-13
64,-486.50535679999666,3,2025-03-05,2025-03-17
65,68.88602805000482,1,2025-03-25,2025-03-25
66,-1351.1130284999927,4,2025-04-22,2025-05-07
67,-38.95123749999402,1,2025-05-19,2025-05-19
68,-1155.1629448499953,2,2025-07-29,2025-08-05
69,1976.552721305001,1,2025-09-12,2025-09-12
70,1870.4333952620073,1,2025-09-23,2025-09-23
71,3438.430353585005,1,2025-10-16,2025-10-16
72,-1351.0678946939734,1,2025-10-27,2025-10-27
73,4566.4689271410025,2,2025-11-06,2025-11-07
74,-1247.8286343779982,1,2025-12-01,2025-12-01
75,-124.36616345398943,1,2025-12-18,2025-12-18
76,6193.993791093009,3,2026-01-12,2026-01-22
77,-145.6849145459928,1,2026-02-02,2026-02-02
78,-1230.7041749789787,5,2026-03-11,2026-03-31
79,-930.2927223869774,1,2026-04-22,2026-04-22
80,505.37888874902274,3,2026-05-20,2026-05-25
81,7449.597367146023,4,2026-06-10,2026-06-25
82,3870.071898570015,2,2026-07-10,2026-07-15
83,176.1855883560129,1,2026-07-28,2026-07-28
84,1874.1604472620093,1,2026-08-17,2026-08-17
85,393.4423645250208,2,2026-08-27,2026-09-01
