event,cash,n,start,end
0,162.15410709999924,1,2020-01-13,2020-01-13
1,857.9496341000013,1,2020-01-22,2020-01-22
2,1248.9180635000012,2,2020-02-24,2020-02-25
3,164.50763740000366,2,2020-03-26,2020-04-02
4,21.376225600000907,1,2020-04-16,2020-04-16
5,123.96798290000334,3,2020-06-24,2020-07-06
6,-290.77328729999863,1,2020-08-14,2020-08-14
7,-230.16167149999637,2,2020-11-09,2020-11-10
8,368.25423910000063,1,2021-01-14,2021-01-14
9,41.40702080000119,1,2021-02-10,2021-02-10
10,-217.52502539999477,3,2021-08-02,2021-08-04
11,-170.14523069999814,1,2022-07-20,2022-07-20
12,-5524.393759249968,16,2023-03-02,2023-04-06
13,1872.2250046000045,1,2023-04-18,2023-04-18
14,-1210.4361894999856,7,2023-05-17,2023-05-31
15,-2919.151037599986,7,2023-06-09,2023-06-20
16,829.5625044500011,1,2023-06-30,2023-06-30
17,1883.2443950500056,2,2023-07-14,2023-07-17
18,2327.0524930500105,2,2023-08-07,2023-08-08
19,2326.1817506500156,5,2023-08-22,2023-08-31
20,469.99202025000704,2,2023-09-22,2023-09-26
21,5.476630350003688,2,2023-10-30,2023-10-31
22,385.2751046000012,1,2023-11-15,2023-11-15
23,639.5418562000068,3,2023-12-08,2023-12-12
24,877.4854845500013,1,2023-12-29,2023-12-29
25,-936.7501015499965,4,2024-01-18,2024-01-23
26,-1252.9611375499844,7,2024-02-01,2024-02-21
27,197.19171785003346,8,2024-03-04,2024-03-20
28,-2826.6649081999894,4,2024-04-25,2024-04-30
29,72.33157610001217,3,2024-05-16,2024-05-20
30,83.84165895001206,4,2024-06-06,2024-06-18
31,1519.0792859000067,3,2024-07-09,2024-07-11
32,-3821.842364349981,6,2024-09-24,2024-10-09
33,621.0315388500094,3,2024-10-18,2024-10-22
34,1279.6298591500054,1,2024-11-11,2024-11-11
35,1058.6626989000179,5,2025-01-22,2025-02-11
36,-354.42827139999645,2,2025-04-11,2025-04-14
37,67.964318250004,2,2025-06-05,2025-06-06
38,-3411.640487849985,7,2025-07-03,2025-07-17
39,-9089.025887958931,14,2025-07-25,2025-08-20
40,-612.6570827639807,3,2025-08-29,2025-09-02
41,-5303.426440922973,7,2025-09-11,2025-09-23
42,4007.076175233102,6,2025-10-21,2025-10-30
43,513.8325505710309,2,2025-11-27,2025-11-28
44,5865.436123470019,2,2025-12-09,2025-12-10
45,-1469.3788254239844,3,2025-12-23,2025-12-25
46,2042.628299394004,1,2026-01-16,2026-01-16
47,4756.393829436092,8,2026-04-01,2026-04-23
48,2024.5452043050027,1,2026-05-13,2026-05-13
49,6245.845501311065,5,2026-05-26,2026-06-04
50,3921.6662573400245,2,2026-06-18,2026-06-22
51,2957.491114416014,1,2026-07-09,2026-07-09
52,2529.114263928008,1,2026-07-23,2026-07-23
53,-9730.425336210952,4,2026-08-04,2026-08-07
54,2501.876599695017,3,2026-08-28,2026-09-07
