peak,trough,n,decline_pct,night_pct,intraday_pct,night_log_sum,intraday_log_sum,D_days,before_D_days,hindsight_only
2020-01-22,2022-10-10,654,-57.3120615304619,-36.1322806818975,-33.1619495336532,-0.44835612723904916,-0.4028976498564242,206,448,True
2023-07-14,2024-01-17,126,-52.32891481305526,-31.3863756983147,-30.5224207697569,-0.3766790659947749,-0.36416608646793897,68,58,True
2024-07-09,2025-04-08,180,-45.27400530503976,-38.35294678071679,-11.226908932214972,-0.48374475607189804,-0.11908661042831953,72,108,True
2025-10-29,2026-03-23,95,-40.767564186124176,-36.87514506033626,-6.166222685990172,-0.4600555963807327,-0.06364529549962332,44,51,True
2026-06-03,2026-07-30,40,-33.62122146822952,-17.399110103860647,-19.639148421725476,-0.19114973195818424,-0.21864304905576223,10,30,True
2023-04-18,2023-05-12,15,-25.169359041167272,-4.912316748088466,-21.303539638685606,-0.050370738474084686,-0.23957200792544547,0,15,True
2025-09-23,2025-10-14,9,-15.733032312685202,-9.335897757701263,-7.055862680785918,-0.09800869285249957,-0.07317154729867556,0,9,True
2023-06-19,2023-07-12,15,-14.85260770975057,-12.122447674246855,-3.1067775139927383,-0.12922579132027504,-0.0315606129223814,0,15,True
