id,window,losing_direction,n,losing_mean,opposite_mean,opposite_cash,large
ALL__volume_trend__high,2025,rt,39,-0.6382066042818365,0.24628462393337658,6252.884169045163,True
ALL__volume_trend__high,2026,rt,29,-0.19374376971791327,-0.16439251429307417,-4560.413903693811,False
ALL__volume_trend__high,2026,pt,29,-0.16439251429307417,-0.19374376971791327,-2121.0234213058234,False
ALL__volume_trend__high,original_PT_window,rt,174,-0.6265246038534191,0.19611667232247457,4303.828519451579,True
ALL__signed_volume5__low,primary,rt,119,-0.6172264255005874,0.2366989539767705,8792.556008045507,True
ALL__signed_volume5__low,2023,rt,61,-1.089850554380665,0.5953428842068079,6174.999648000149,True
ALL__signed_volume5__low,2021_2022,rt,89,-0.31234840341450554,-0.2782678621519637,-2641.7245539999135,False
ALL__signed_volume5__low,2021_2022,pt,89,-0.2782678621519637,-0.31234840341450554,-3041.5246559998877,False
ALL__signed_volume5__low,2024,rt,36,-0.650300914653504,0.25359601683363064,2415.764035100077,True
ALL__signed_volume5__low,2025,rt,38,-0.7449715410301098,0.3538668858615229,3442.256139882137,True
ALL__signed_volume5__low,2026,rt,45,-0.48289318106443513,0.12423949454415822,2934.5358330632916,False
ALL__signed_volume5__low,original_PT_window,rt,180,-0.7773934913988358,0.35823939699917196,14967.555656045653,True
ALL__signed_volume5__high,primary,rt,135,-0.15411060433807014,-0.22744832249081637,-26731.006936602465,False
