date,ret1,ret3,ret5,ret10,ret20,bias5,bias20,ma20slope5,range_pos20,drawdown60,overnight5,intraday5,overnight_minus_intraday5,volume_ratio,volume_trend,signed_volume5,volume_price_corr20,amihud20,atr20,rv5_20,downside_share20,range_expansion,body,clv,upper_shadow,lower_shadow,clv3,market_ret1,market_ret5,relative_ret5,beta_residual1,prev_late_return,prev_am_return,prev_pm_minus_am,us_NASDAQCOM,us_NASDAQSOX,current_gap,gap_over_atr
2018-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.007044962636760799,-0.00945795800945426,0.19970951343500354,
2018-06-11,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,,,,,,,,,0.0013673668540834516,-0.008460007475022069,0.09984871406959162,
2018-06-12,0.09984871406959162,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,-0.004683179515034719,,,,,,,0.0018861280147839388,-0.0023366650877999495,0.09995414947271897,
2018-06-13,0.09995414947271897,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.6666666666666666,0.00885028513327013,,,,,,,0.0057258829094712915,0.0052377979502784555,0.02334305960817007,
2018-06-14,0.07211338057523986,0.2970247100353003,,,,,,,,,,,,,,,,,,,,,0.4178571428571419,0.7714285714285712,0.22857142857142876,0.3535714285714293,0.5904761904761905,-0.009742512584417051,,,,,,,-0.0010501121797167334,-0.001334407432346918,-0.0470451010886469,
2018-06-15,-0.09447900466562975,0.0678587803759747,,,,0.015788555478018163,,,,,0.34740766523169614,0.17812410592399003,0.16928355930770614,,,,,,,,,,-0.7134502923976627,0.08187134502924152,0.2046783625730958,0.08187134502924152,0.4510999721526043,-0.0018483203466722609,,,,,,,0.008490435190003698,0.006108262236114603,-0.02962644911979384,
2018-06-19,-0.03048518677544032,-0.05877448937057106,0.1386787695410996,,,-0.03824857313229413,,,,,0.13525403226141836,-0.005385416071606937,0.14063944833302527,,,0.07264104305836148,,,,,,,-0.018018018018019923,0.504504504504505,0.4774774774774751,0.504504504504505,0.4526014736541059,-0.0073120359350480335,-0.014752145886714918,0.1534309154278145,,,,,8.389755648208208e-05,-0.009936432515731397,-0.03321523472099208,
2018-06-20,-0.10008857395925574,-0.2099533437013995,-0.06831728564878459,,,-0.12338222605694538,,,,,0.0063020064199216935,-0.07706496392317819,0.0833669703430999,,,-0.08730203967263028,,,,,,,-0.9934210526315782,0.0,0.006578947368421747,0.0,0.19545861651124885,-0.03775042191998412,-0.04748486872470126,-0.02083241692408333,,,,,-0.0027675047083631776,-0.011598807969654623,-0.025590551181102317,
2018-06-21,-0.022637795275590844,-0.1472735079433235,-0.1721550646102542,,,-0.11156839939160779,,,,,-0.11489017522793539,-0.0740392430066413,-0.04085093222129408,,,-0.21001359272009362,,,,,,,0.04799999999999885,0.6799999999999973,0.3200000000000028,0.6319999999999985,0.39483483483483406,0.002719905138622636,-0.053272922503759035,-0.11888214210649517,,,,,0.0072382721586286,0.005044639728178257,-0.01309164149043296,
2018-06-22,-0.08509566968781435,-0.1953055801594329,-0.29354587869362336,,,-0.12828631740548835,,,,,-0.15114304499741668,-0.19635397196392199,0.045210926966505305,,,-1.0,,,,,,,-0.8265895953757222,0.06936416184971157,0.10404624277456623,0.06936416184971157,0.24978805394990297,-0.013691935229964591,-0.057048733751372094,-0.23649714494225127,,,,,-0.008810574345786137,-0.012576838357903797,-0.025866813428728763,
2018-06-25,0.03026967528893776,-0.07874015748031493,-0.19622155431515664,,,-0.0607124937280481,,,,,-0.12916258599631578,-0.08926902685048785,-0.03989355914582793,,,-0.6472747804235371,,,,,,,0.6181818181818177,0.72121212121212,0.2787878787878801,0.10303030303030217,0.490192094353943,0.004851156665828693,-0.05071975543984397,-0.14550179887531267,,,,,-0.0026099443901483887,-0.007248325279933243,-0.005341880341880212,
2018-06-26,-0.027243589743589647,-0.08308157099697855,-0.19353410097431323,-0.08169440242057435,,-0.044395465994962136,,,,,-0.10444460757883124,-0.11064905740316797,0.006204449824336718,,,-0.6085751993135786,,,,,,,-0.6507936507936511,0.12698412698412798,0.22222222222222085,0.12698412698412798,0.3058534700153199,-0.010528209955152135,-0.05379529435123609,-0.13973880662307714,,,,,-0.02090391589407614,-0.031334763630561646,-0.025809994508511958,
