factor,window,stage,n,spearman_rt
ret1,primary,ALL,654,0.06507729887936027
ret1,primary,U,216,0.015936568106714427
ret1,primary,R,152,0.06711838291236165
ret1,primary,D,166,0.08422687533635434
ret1,primary,C,120,0.13281730211785875
ret1,2023,ALL,242,-0.09345688754491308
ret1,2023,U,86,-0.07439565137802934
ret1,2023,R,77,-0.07341186460729865
ret1,2023,D,57,-0.29991086814812024
ret1,2023,C,22,0.1326933935629588
ret1,2021_2022,ALL,485,0.09054564953317051
ret1,2021_2022,U,73,0.11608065852904347
ret1,2021_2022,R,123,0.08792140778543503
ret1,2021_2022,D,166,0.0758625575434209
ret1,2021_2022,C,123,0.1188807807678173
ret1,2024,ALL,242,0.05988287358838707
ret1,2024,U,75,-0.006088409975755237
ret1,2024,R,76,0.09901084892842016
ret1,2024,D,58,0.11638388642351175
ret1,2024,C,33,0.06483957219251336
ret1,2025,ALL,243,0.039438689443138816
ret1,2025,U,104,-0.010845877083353469
ret1,2025,R,45,-0.05296617151000792
ret1,2025,D,50,-0.0037939728932352996
ret1,2025,C,44,0.2441053188166288
ret1,2026,ALL,169,0.12989904495145185
ret1,2026,U,37,0.1657183499288762
ret1,2026,R,31,0.044359310639790074
ret1,2026,D,58,0.09383316246146203
ret1,2026,C,43,0.09703972320316831
ret1,original_PT_window,ALL,891,0.009752257043987437
ret1,original_PT_window,U,302,-0.022254867902708083
ret1,original_PT_window,R,229,0.01739134780420775
ret1,original_PT_window,D,222,-0.0383194125507148
ret1,original_PT_window,C,138,0.11423561332160441
ret3,primary,ALL,654,0.07711662748252938
ret3,primary,U,216,0.044148179597134504
ret3,primary,R,152,0.15830320368682355
ret3,primary,D,166,0.0735841409784705
ret3,primary,C,120,0.05874917112989465
ret3,2023,ALL,242,-0.011453469031104448
ret3,2023,U,86,-0.03040440193092798
ret3,2023,R,77,-0.06748397805551608
ret3,2023,D,57,-0.05519812044269412
ret3,2023,C,22,0.1101072840203275
ret3,2021_2022,ALL,485,0.053965872557528494
ret3,2021_2022,U,73,0.008762795167638981
ret3,2021_2022,R,123,0.021263559820374627
ret3,2021_2022,D,166,0.07362646451537395
ret3,2021_2022,C,123,0.06061290123825684
ret3,2024,ALL,242,0.04468022773398944
ret3,2024,U,75,0.0427223972431126
ret3,2024,R,76,0.08000765660144357
ret3,2024,D,58,0.15733206322226778
ret3,2024,C,33,-0.12135395283249914
ret3,2025,ALL,243,0.11330781493391463
ret3,2025,U,104,0.04346631500774218
ret3,2025,R,45,0.2932630578410114
ret3,2025,D,50,0.23509353644822809
ret3,2025,C,44,0.20879741419346104
ret3,2026,ALL,169,0.08467595575052335
ret3,2026,U,37,0.1418322090745012
ret3,2026,R,31,0.11557080407824344
ret3,2026,D,58,-0.12913051804007614
ret3,2026,C,43,0.07892451467166282
ret3,original_PT_window,ALL,891,0.04568683573993214
ret3,original_PT_window,U,302,0.0175560401213606
ret3,original_PT_window,R,229,0.07842902129440046
ret3,original_PT_window,D,222,0.03284657425307931
ret3,original_PT_window,C,138,0.03490777581394444
ret5,primary,ALL,654,0.030592639079540105
ret5,primary,U,216,-0.03055632308311551
ret5,primary,R,152,0.07656969186089305
ret5,primary,D,166,0.10792126192662643
ret5,primary,C,120,-0.013488616900311131
ret5,2023,ALL,242,0.06640753930045312
ret5,2023,U,86,0.036839525960750644
ret5,2023,R,77,0.060394523684248635
ret5,2023,D,57,0.09081922106895415
ret5,2023,C,22,-0.1474576506523768
ret5,2021_2022,ALL,485,0.06893398168752338
ret5,2021_2022,U,73,-0.015860893386253846
ret5,2021_2022,R,123,0.1321412451555108
ret5,2021_2022,D,166,0.08789343451622832
ret5,2021_2022,C,123,-0.012957444956317267
ret5,2024,ALL,242,0.04408359644783431
ret5,2024,U,75,0.009062004349240893
ret5,2024,R,76,0.05359730991773574
ret5,2024,D,58,0.2208241694977718
ret5,2024,C,33,-0.19528509395236668
ret5,2025,ALL,243,0.0023994814662985434
ret5,2025,U,104,-0.07089599116433366
ret5,2025,R,45,0.09422773126462658
ret5,2025,D,50,0.14254154407865394
ret5,2025,C,44,0.28017486996276664
ret5,2026,ALL,169,0.08405903051574101
ret5,2026,U,37,0.16822762418162407
ret5,2026,R,31,0.07339449578583448
ret5,2026,D,58,-0.03726326024915431
ret5,2026,C,43,-0.05331722331932855
ret5,original_PT_window,ALL,891,0.04420033985232765
ret5,original_PT_window,U,302,-0.0013764047702895092
