factor,window,stage,n,spearman_rt
ret5,original_PT_window,R,229,0.07255133631842706
ret5,original_PT_window,D,222,0.10908424826557565
ret5,original_PT_window,C,138,-0.03994451526746262
ret10,primary,ALL,654,0.015078272955054716
ret10,primary,U,216,-0.08817041892024795
ret10,primary,R,152,0.09051839839272251
ret10,primary,D,166,-0.008680269754894797
ret10,primary,C,120,0.14541811307786778
ret10,2023,ALL,242,-0.04373720847812108
ret10,2023,U,86,-0.13638898423053372
ret10,2023,R,77,-0.02238948268625441
ret10,2023,D,57,0.06139881909079015
ret10,2023,C,22,-0.25691699604743085
ret10,2021_2022,ALL,485,0.03344103439443339
ret10,2021_2022,U,73,0.03627106895238614
ret10,2021_2022,R,123,0.039987294494894264
ret10,2021_2022,D,166,0.01931632669371377
ret10,2021_2022,C,123,-0.05963545411519542
ret10,2024,ALL,242,0.0030055572556256615
ret10,2024,U,75,-0.1726468270096172
ret10,2024,R,76,0.11511194835702386
ret10,2024,D,58,0.014705203819996506
ret10,2024,C,33,0.18634578489060072
ret10,2025,ALL,243,-0.0008421987581780746
ret10,2025,U,104,-0.00578901325345176
ret10,2025,R,45,0.022930188729566675
ret10,2025,D,50,0.06277014761145576
ret10,2025,C,44,0.37703532244960264
ret10,2026,ALL,169,0.11512438796565018
ret10,2026,U,37,0.283986494958211
ret10,2026,R,31,0.17004540740080626
ret10,2026,D,58,-0.0586796344303363
ret10,2026,C,43,-0.031953470573186246
ret10,original_PT_window,ALL,891,0.0008108656515610509
ret10,original_PT_window,U,302,-0.10343325537449138
ret10,original_PT_window,R,229,0.05907627348299004
ret10,original_PT_window,D,222,0.026351726400769004
ret10,original_PT_window,C,138,0.10166515438471872
ret20,primary,ALL,654,-0.030117858509970365
ret20,primary,U,216,-0.09946243642725715
ret20,primary,R,152,-0.048984495057682514
ret20,primary,D,166,0.06918600429222377
ret20,primary,C,120,-0.05179859123800233
ret20,2023,ALL,242,-0.08091108932389274
ret20,2023,U,86,-0.16697115021277886
ret20,2023,R,77,-0.09449927109885975
ret20,2023,D,57,0.0963359403319686
ret20,2023,C,22,0.30104491457454424
ret20,2021_2022,ALL,485,0.04381889197094437
ret20,2021_2022,U,73,0.009813603557932715
ret20,2021_2022,R,123,0.025487976768910688
ret20,2021_2022,D,166,-0.012758856859872995
ret20,2021_2022,C,123,0.0005579205422526523
ret20,2024,ALL,242,-0.019392644646264032
ret20,2024,U,75,-0.030774922672825326
ret20,2024,R,76,0.028806978379087262
ret20,2024,D,58,-0.013013382655062343
ret20,2024,C,33,-0.10696974911239752
ret20,2025,ALL,243,-0.07348412291822186
ret20,2025,U,104,-0.1328175477818747
ret20,2025,R,45,-0.1004909272872016
ret20,2025,D,50,0.1500685114762573
ret20,2025,C,44,0.04398082930643657
ret20,2026,ALL,169,0.03305962871675294
ret20,2026,U,37,0.12225780448701036
ret20,2026,R,31,-0.27914483916978866
ret20,2026,D,58,0.1151384659532383
ret20,2026,C,43,-0.10610179852175211
ret20,original_PT_window,ALL,891,-0.04713079593051597
ret20,original_PT_window,U,302,-0.12636004965217915
ret20,original_PT_window,R,229,-0.052155095298647834
ret20,original_PT_window,D,222,0.0793642701299202
ret20,original_PT_window,C,138,-0.05093580973577665
bias5,primary,ALL,654,0.0681947098372665
bias5,primary,U,216,0.03285749589648951
bias5,primary,R,152,0.13627059010129858
bias5,primary,D,166,0.08941407046809349
bias5,primary,C,120,0.031568035544398805
bias5,2023,ALL,242,0.010414419654211433
bias5,2023,U,86,0.027886699058713472
bias5,2023,R,77,-0.05793881472418204
bias5,2023,D,57,-0.05620472322076878
bias5,2023,C,22,0.05590062111801244
bias5,2021_2022,ALL,485,0.06294925610716333
bias5,2021_2022,U,73,0.016661781317409034
bias5,2021_2022,R,123,0.03591059121981172
bias5,2021_2022,D,166,0.08012420048352206
bias5,2021_2022,C,123,0.061894035807954634
bias5,2024,ALL,242,0.061022085673005405
bias5,2024,U,75,0.02832288951039952
bias5,2024,R,76,0.10865612176649231
bias5,2024,D,58,0.15941672374543195
bias5,2024,C,33,-0.1038201210800339
bias5,2025,ALL,243,0.0843772973720185
bias5,2025,U,104,0.017136196048379144
bias5,2025,R,45,0.18302806852797124
bias5,2025,D,50,0.2498078842449914
bias5,2025,C,44,0.19021777480463745
bias5,2026,ALL,169,0.08134117030167588
bias5,2026,U,37,0.1954833741801596
bias5,2026,R,31,0.05888877954237591
bias5,2026,D,58,-0.10842576785150415
bias5,2026,C,43,0.021678376045644796
bias5,original_PT_window,ALL,891,0.0485953266980835
bias5,original_PT_window,U,302,0.03317118020566297
bias5,original_PT_window,R,229,0.06799164677390236
bias5,original_PT_window,D,222,0.043673096500855206
bias5,original_PT_window,C,138,0.011474004298838955
bias20,primary,ALL,654,0.00611602021572158
bias20,primary,U,216,-0.10773029274927871
bias20,primary,R,152,0.03634984235612006
bias20,primary,D,166,0.06982241714461743
bias20,primary,C,120,0.0879049137819448
bias20,2023,ALL,242,-0.06533046824257727
bias20,2023,U,86,-0.18257438543631188
bias20,2023,R,77,-0.04210789276461654
bias20,2023,D,57,0.11800175559789391
bias20,2023,C,22,-0.25988704712679433
bias20,2021_2022,ALL,485,0.0522751234275183
bias20,2021_2022,U,73,0.07759425554930181
bias20,2021_2022,R,123,0.09480105117830757
bias20,2021_2022,D,166,0.011171835912124492
bias20,2021_2022,C,123,0.0073728261776545324
bias20,2024,ALL,242,0.0011380366968080748
bias20,2024,U,75,-0.11256002910020797
bias20,2024,R,76,0.08529373727671591
bias20,2024,D,58,0.009875555786927642
bias20,2024,C,33,0.022563931453396354
bias20,2025,ALL,243,-0.022999051390782486
bias20,2025,U,104,-0.07523149850731954
bias20,2025,R,45,0.04579448611220931
bias20,2025,D,50,0.2058844855604882
bias20,2025,C,44,0.3636235685886261
bias20,2026,ALL,169,0.10805337598429555
bias20,2026,U,37,0.23749111409978088
bias20,2026,R,31,-0.005849133190696439
bias20,2026,D,58,0.06298074110746626
bias20,2026,C,43,-0.0656245287654111
bias20,original_PT_window,ALL,891,-0.015285076689725244
bias20,original_PT_window,U,302,-0.12791248343130676
bias20,original_PT_window,R,229,0.02796363158224147
bias20,original_PT_window,D,222,0.07988949846639047
bias20,original_PT_window,C,138,0.01684247071287499
ma20slope5,primary,ALL,654,-0.03691087524092729
ma20slope5,primary,U,216,-0.14782373220499723
ma20slope5,primary,R,152,-0.018515639062242864
ma20slope5,primary,D,166,0.05235938732514785
ma20slope5,primary,C,120,0.013735238190518534
ma20slope5,2023,ALL,242,-0.06896464234985457
ma20slope5,2023,U,86,-0.16952452038486004
ma20slope5,2023,R,77,-0.02102398305571599
ma20slope5,2023,D,57,0.12452354377289199
ma20slope5,2023,C,22,0.2063313924673174
ma20slope5,2021_2022,ALL,485,0.05365353553722497
ma20slope5,2021_2022,U,73,0.06727668538902672
ma20slope5,2021_2022,R,123,-0.024814495990549766
ma20slope5,2021_2022,D,166,0.013131571580452387
ma20slope5,2021_2022,C,123,-0.019443369648793302
ma20slope5,2024,ALL,242,-0.004721909867249139
ma20slope5,2024,U,75,-0.06209536554054401
ma20slope5,2024,R,76,0.08883024996002252
ma20slope5,2024,D,58,-0.03507314647101836
ma20slope5,2024,C,33,0.00033422459893048126
ma20slope5,2025,ALL,243,-0.10672103641350997
ma20slope5,2025,U,104,-0.1831929404317755
ma20slope5,2025,R,45,-0.18284246255604042
ma20slope5,2025,D,50,0.10211580845771212
ma20slope5,2025,C,44,0.09579530126243102
ma20slope5,2026,ALL,169,0.04138669234277464
ma20slope5,2026,U,37,0.07125919100048343
ma20slope5,2026,R,31,-0.101038625173734
ma20slope5,2026,D,58,0.16872627040730506
ma20slope5,2026,C,43,-0.0454682800206406
ma20slope5,original_PT_window,ALL,891,-0.048435468183695374
ma20slope5,original_PT_window,U,302,-0.15239075749092754
ma20slope5,original_PT_window,R,229,-0.007130704612927831
ma20slope5,original_PT_window,D,222,0.07992854421818482
ma20slope5,original_PT_window,C,138,-0.019968101357564414
range_pos20,primary,ALL,654,0.019699067744892947
range_pos20,primary,U,216,-0.04819828790810835
range_pos20,primary,R,152,0.012278880649743201
range_pos20,primary,D,166,0.013985500311044523
range_pos20,primary,C,120,0.13784026452667922
range_pos20,2023,ALL,242,-0.021769995478588725
range_pos20,2023,U,86,-0.023267663168800322
range_pos20,2023,R,77,-0.036479558415038055
range_pos20,2023,D,57,0.1178701722355401
range_pos20,2023,C,22,-0.15045270528272262
range_pos20,2021_2022,ALL,485,0.035092397859535156
range_pos20,2021_2022,U,73,0.05806247686189392
range_pos20,2021_2022,R,123,0.028109108632929963
range_pos20,2021_2022,D,166,-0.0476310415823457
range_pos20,2021_2022,C,123,0.05715741666105051
range_pos20,2024,ALL,242,0.03108219732486544
range_pos20,2024,U,75,0.05982741944615891
range_pos20,2024,R,76,0.0713284711480923
range_pos20,2024,D,58,0.009875859664207799
range_pos20,2024,C,33,-0.04964064919747197
range_pos20,2025,ALL,243,-0.01055423866906766
range_pos20,2025,U,104,-0.09169221286712266
range_pos20,2025,R,45,-0.02826645637352841
range_pos20,2025,D,50,0.017818976905711235
range_pos20,2025,C,44,0.41950944876908736
range_pos20,2026,ALL,169,0.0823636762096149
range_pos20,2026,U,37,0.1976523650545855
range_pos20,2026,R,31,-0.030852995182659444
range_pos20,2026,D,58,-0.03643525648520838
range_pos20,2026,C,43,-0.01578192257010187
range_pos20,original_PT_window,ALL,891,0.005293945627149537
range_pos20,original_PT_window,U,302,-0.04530278398533377
range_pos20,original_PT_window,R,229,0.011662720988230091
range_pos20,original_PT_window,D,222,0.04660989081166342
range_pos20,original_PT_window,C,138,0.05277423246241425
drawdown60,primary,ALL,654,0.005698556796556049
drawdown60,primary,U,216,-0.031652311758495616
drawdown60,primary,R,152,0.07816293871635342
drawdown60,primary,D,166,0.2077007861222773
drawdown60,primary,C,120,-0.02083311636404615
drawdown60,2023,ALL,242,-0.07695672722461902
drawdown60,2023,U,86,-0.030087886104695517
drawdown60,2023,R,77,-0.019368200523591332
drawdown60,2023,D,57,-0.058067520184439864
drawdown60,2023,C,22,0.044142727704666054
drawdown60,2021_2022,ALL,485,0.07474127087353316
drawdown60,2021_2022,U,73,0.01821015891943413
drawdown60,2021_2022,R,123,0.057845336651517754
drawdown60,2021_2022,D,166,0.060028677922383665
drawdown60,2021_2022,C,123,0.006726840628497312
drawdown60,2024,ALL,242,0.02246120668208162
drawdown60,2024,U,75,0.06754988082217737
drawdown60,2024,R,76,0.07350287189291861
drawdown60,2024,D,58,0.2319068400327445
drawdown60,2024,C,33,-0.047802106634602645
drawdown60,2025,ALL,243,-0.033821043166298706
drawdown60,2025,U,104,-0.044009101941524034
drawdown60,2025,R,45,0.04724098235722427
drawdown60,2025,D,50,0.3508671056998966
drawdown60,2025,C,44,0.2762875176852697
drawdown60,2026,ALL,169,0.09930575982331091
drawdown60,2026,U,37,0.16088683638143436
drawdown60,2026,R,31,0.23816746938604963
drawdown60,2026,D,58,0.11138804798213806
drawdown60,2026,C,43,-0.19009138770509942
drawdown60,original_PT_window,ALL,891,-0.019181140602014174
drawdown60,original_PT_window,U,302,-0.041276892398866345
drawdown60,original_PT_window,R,229,0.042079922805321204
drawdown60,original_PT_window,D,222,0.13246677904183765
drawdown60,original_PT_window,C,138,-0.07709257161212757
overnight5,primary,ALL,654,-0.00048130457710244775
overnight5,primary,U,216,-0.06326943697653334
overnight5,primary,R,152,-0.018091754003339237
overnight5,primary,D,166,0.088441607284494
overnight5,primary,C,120,-0.0172665568742263
overnight5,2023,ALL,242,-0.01379133401082062
overnight5,2023,U,86,-0.04907460304105263
overnight5,2023,R,77,-0.05910889743587984
overnight5,2023,D,57,0.012122194389646271
overnight5,2023,C,22,-0.0033907895765878664
overnight5,2021_2022,ALL,485,0.06610870465331535
overnight5,2021_2022,U,73,-0.11132538332076257
overnight5,2021_2022,R,123,0.2529280125130549
overnight5,2021_2022,D,166,-0.0032125532285498973
overnight5,2021_2022,C,123,0.03659745867040619
overnight5,2024,ALL,242,0.03576143942165852
overnight5,2024,U,75,-0.09382090845093202
overnight5,2024,R,76,0.02119150983557618
overnight5,2024,D,58,0.19713283785425087
overnight5,2024,C,33,0.12334949194523338
overnight5,2025,ALL,243,-0.012521703064991323
overnight5,2025,U,104,-0.042972032264554226
overnight5,2025,R,45,-0.11649974047262922
overnight5,2025,D,50,0.0267992223366928
overnight5,2025,C,44,0.07902435983251854
overnight5,2026,ALL,169,-0.02123536045491841
overnight5,2026,U,37,-0.08892050647463211
overnight5,2026,R,31,0.0016132285062828468
overnight5,2026,D,58,-0.03866978420455576
overnight5,2026,C,43,-0.20541479805746973
overnight5,original_PT_window,ALL,891,-0.004333997543768168
overnight5,original_PT_window,U,302,-0.052502218520013876
overnight5,original_PT_window,R,229,-0.030506465816821184
overnight5,original_PT_window,D,222,0.07312384166635533
overnight5,original_PT_window,C,138,-0.02641099736575611
intraday5,primary,ALL,654,0.04132485418970233
intraday5,primary,U,216,0.0009139594967150615
intraday5,primary,R,152,0.1150708014426481
intraday5,primary,D,166,0.10923232137369882
intraday5,primary,C,120,-0.024989538553028153
intraday5,2023,ALL,242,0.04015001218628665
intraday5,2023,U,86,0.002614144820153785
intraday5,2023,R,77,0.09297494981817547
intraday5,2023,D,57,0.10903845958169908
intraday5,2023,C,22,-0.32985033792032614
intraday5,2021_2022,ALL,485,0.04261337198264988
intraday5,2021_2022,U,73,0.05670246347884763
intraday5,2021_2022,R,123,0.02575918329818213
intraday5,2021_2022,D,166,0.08046342659786854
intraday5,2021_2022,C,123,-0.01571146635818261
intraday5,2024,ALL,242,0.007051327784828768
intraday5,2024,U,75,0.06073410219380452
intraday5,2024,R,76,0.05135356897875787
intraday5,2024,D,58,0.09690518714745477
intraday5,2024,C,33,-0.42347241013804493
intraday5,2025,ALL,243,0.041570025480341215
intraday5,2025,U,104,-0.03762954704180749
intraday5,2025,R,45,0.13855124091768886
intraday5,2025,D,50,0.2917317135452562
intraday5,2025,C,44,0.22792303953990278
intraday5,2026,ALL,169,0.10618376589801556
intraday5,2026,U,37,0.19952578682006575
intraday5,2026,R,31,0.11356531953339731
intraday5,2026,D,58,-0.015351720678121164
intraday5,2026,C,43,0.000981761902480554
intraday5,original_PT_window,ALL,891,0.04213033477518781
intraday5,original_PT_window,U,302,0.0044711874376930465
intraday5,original_PT_window,R,229,0.11734952519721589
intraday5,original_PT_window,D,222,0.11872228025349983
intraday5,original_PT_window,C,138,-0.07622957473701134
overnight_minus_intraday5,primary,ALL,654,-0.020935688084635175
overnight_minus_intraday5,primary,U,216,-0.007372454229311631
overnight_minus_intraday5,primary,R,152,-0.10312477323310433
overnight_minus_intraday5,primary,D,166,-0.029368340654763854
overnight_minus_intraday5,primary,C,120,0.04432822687503368
overnight_minus_intraday5,2023,ALL,242,-0.012649620732333017
overnight_minus_intraday5,2023,U,86,-0.05076507000606339
overnight_minus_intraday5,2023,R,77,-0.10702125746978375
overnight_minus_intraday5,2023,D,57,-0.12580023214131947
overnight_minus_intraday5,2023,C,22,0.4033898948881112
overnight_minus_intraday5,2021_2022,ALL,485,-0.021189757897585947
overnight_minus_intraday5,2021_2022,U,73,-0.17759366946782015
overnight_minus_intraday5,2021_2022,R,123,0.06695571293699898
overnight_minus_intraday5,2021_2022,D,166,-0.05435158331433203
overnight_minus_intraday5,2021_2022,C,123,0.028639564384225456
overnight_minus_intraday5,2024,ALL,242,0.05975760546808013
overnight_minus_intraday5,2024,U,75,-0.01186453944625888
overnight_minus_intraday5,2024,R,76,-0.05368898146118558
overnight_minus_intraday5,2024,D,58,0.07085063889978387
overnight_minus_intraday5,2024,C,33,0.39515254062813765
overnight_minus_intraday5,2025,ALL,243,-0.02910778354176673
overnight_minus_intraday5,2025,U,104,0.009470126528997478
overnight_minus_intraday5,2025,R,45,-0.10450712012985856
overnight_minus_intraday5,2025,D,50,-0.14056234579172336
overnight_minus_intraday5,2025,C,44,-0.15779829484534397
overnight_minus_intraday5,2026,ALL,169,-0.13317147353384096
overnight_minus_intraday5,2026,U,37,-0.24844354348752506
overnight_minus_intraday5,2026,R,31,-0.05605403799028018
overnight_minus_intraday5,2026,D,58,-0.05121894952772605
overnight_minus_intraday5,2026,C,43,-0.08638852235899783
overnight_minus_intraday5,original_PT_window,ALL,891,-0.013290924277065004
overnight_minus_intraday5,original_PT_window,U,302,0.002515987166154983
overnight_minus_intraday5,original_PT_window,R,229,-0.10827273775898542
overnight_minus_intraday5,original_PT_window,D,222,-0.06034894793495466
overnight_minus_intraday5,original_PT_window,C,138,0.08269382268989159
volume_ratio,primary,ALL,654,0.055934483726435606
volume_ratio,primary,U,216,0.032120120922062456
volume_ratio,primary,R,152,0.0788002851692478
volume_ratio,primary,D,166,0.05883062849533992
volume_ratio,primary,C,120,0.07005346420769806
volume_ratio,2023,ALL,242,-0.008350210091994477
volume_ratio,2023,U,86,-0.00877486806621735
volume_ratio,2023,R,77,0.05504213303353206
volume_ratio,2023,D,57,0.06735272711680469
volume_ratio,2023,C,22,-0.06041784302653869
volume_ratio,2021_2022,ALL,485,0.0011512297448774533
volume_ratio,2021_2022,U,73,-0.0376578397815252
volume_ratio,2021_2022,R,123,0.04584809959173597
volume_ratio,2021_2022,D,166,-0.013637380291858141
volume_ratio,2021_2022,C,123,0.003185986821736447
volume_ratio,2024,ALL,242,0.06074762203342373
volume_ratio,2024,U,75,-0.03539420162550573
volume_ratio,2024,R,76,0.08772337702954759
volume_ratio,2024,D,58,0.13790345330228873
volume_ratio,2024,C,33,0.047137485810970735
volume_ratio,2025,ALL,243,0.01992668626439795
volume_ratio,2025,U,104,0.03495555887883406
volume_ratio,2025,R,45,0.03505188649099485
volume_ratio,2025,D,50,0.03563624188857717
volume_ratio,2025,C,44,0.1914998609384426
volume_ratio,2026,ALL,169,0.10650750768912592
volume_ratio,2026,U,37,0.11784931124771245
volume_ratio,2026,R,31,0.1381745006756255
volume_ratio,2026,D,58,-0.005045300055396292
volume_ratio,2026,C,43,0.017447789821618598
volume_ratio,original_PT_window,ALL,891,0.037327607744736487
volume_ratio,original_PT_window,U,302,0.0015079299215154918
volume_ratio,original_PT_window,R,229,0.07920336953997278
volume_ratio,original_PT_window,D,222,0.07625302804519117
volume_ratio,original_PT_window,C,138,0.012364128754683075
volume_trend,primary,ALL,654,-0.0048414379682517415
volume_trend,primary,U,216,-0.045040898669465715
volume_trend,primary,R,152,0.018327930935511914
volume_trend,primary,D,166,0.02378937843931368
volume_trend,primary,C,120,-0.02088842668914354
volume_trend,2023,ALL,242,-0.0024585518944998603
volume_trend,2023,U,86,-0.048653903457541836
volume_trend,2023,R,77,0.19803594338463928
volume_trend,2023,D,57,0.04729182260417431
volume_trend,2023,C,22,-0.1293054771315641
volume_trend,2021_2022,ALL,485,-0.04407399789891938
volume_trend,2021_2022,U,73,-0.0573755951370094
volume_trend,2021_2022,R,123,0.02466663452635111
volume_trend,2021_2022,D,166,-0.029647576773563177
volume_trend,2021_2022,C,123,-0.12868669050965684
volume_trend,2024,ALL,242,-0.005078819934769418
volume_trend,2024,U,75,-0.12562771210383916
volume_trend,2024,R,76,0.1210513729575429
volume_trend,2024,D,58,0.09161385629368898
volume_trend,2024,C,33,-0.01070323908748908
volume_trend,2025,ALL,243,-0.060639907201110975
volume_trend,2025,U,104,-0.00788481134892615
volume_trend,2025,R,45,-0.1510938376152369
volume_trend,2025,D,50,-0.13378168275454025
volume_trend,2025,C,44,0.15555947378073665
volume_trend,2026,ALL,169,0.07507430984703421
volume_trend,2026,U,37,0.039957316750687054
volume_trend,2026,R,31,0.07987898141247839
volume_trend,2026,D,58,0.10925313655900554
volume_trend,2026,C,43,-0.10768359517826129
volume_trend,original_PT_window,ALL,891,-0.006541885775064368
volume_trend,original_PT_window,U,302,-0.06057234081112419
volume_trend,original_PT_window,R,229,0.08031180578481141
volume_trend,original_PT_window,D,222,0.016476857057116847
volume_trend,original_PT_window,C,138,-0.0583216126049453
signed_volume5,primary,ALL,654,0.05918685332601426
signed_volume5,primary,U,216,0.045711791826817706
signed_volume5,primary,R,152,0.11317585619291998
signed_volume5,primary,D,166,0.07891609264232693
signed_volume5,primary,C,120,-0.02325351232668155
signed_volume5,2023,ALL,242,0.06466888560548946
signed_volume5,2023,U,86,0.07610116007821217
signed_volume5,2023,R,77,0.08695309321502029
signed_volume5,2023,D,57,-0.006093311961922043
signed_volume5,2023,C,22,-0.1508474817018567
signed_volume5,2021_2022,ALL,485,0.05019512950046979
signed_volume5,2021_2022,U,73,0.07604310525149754
signed_volume5,2021_2022,R,123,0.12899418607160493
signed_volume5,2021_2022,D,166,0.012468443566496292
signed_volume5,2021_2022,C,123,-0.03093270572326011
signed_volume5,2024,ALL,242,0.06799048083630682
signed_volume5,2024,U,75,0.02091202020783361
signed_volume5,2024,R,76,0.16400637168535326
signed_volume5,2024,D,58,0.16327472659797757
signed_volume5,2024,C,33,-0.13080209599667747
signed_volume5,2025,ALL,243,0.04804430589185874
signed_volume5,2025,U,104,0.025826380239623973
signed_volume5,2025,R,45,0.03478833847226557
signed_volume5,2025,D,50,0.057388464943189096
signed_volume5,2025,C,44,0.1205243880032156
signed_volume5,2026,ALL,169,0.07545260508633016
signed_volume5,2026,U,37,0.21305353351321854
signed_volume5,2026,R,31,0.07885449589407185
signed_volume5,2026,D,58,-0.006645642775766036
signed_volume5,2026,C,43,-0.031793981611101016
signed_volume5,original_PT_window,ALL,891,0.060268153705647684
signed_volume5,original_PT_window,U,302,0.045120108454600356
signed_volume5,original_PT_window,R,229,0.09833473117567666
signed_volume5,original_PT_window,D,222,0.0660741080980268
signed_volume5,original_PT_window,C,138,-0.055971504090305
volume_price_corr20,primary,ALL,654,-0.02733294205525736
volume_price_corr20,primary,U,216,-0.023869296009159293
volume_price_corr20,primary,R,152,-0.007417406395765647
volume_price_corr20,primary,D,166,0.10630049507676455
volume_price_corr20,primary,C,120,-0.12034866604367715
volume_price_corr20,2023,ALL,242,-0.03586467703455025
volume_price_corr20,2023,U,86,-0.2583862573480841
volume_price_corr20,2023,R,77,0.02049535947035587
volume_price_corr20,2023,D,57,0.18567562285113948
volume_price_corr20,2023,C,22,0.21380121277018477
volume_price_corr20,2021_2022,ALL,485,0.107192985683695
volume_price_corr20,2021_2022,U,73,0.17513811125211787
volume_price_corr20,2021_2022,R,123,0.001354432386731531
volume_price_corr20,2021_2022,D,166,-0.005407189388792881
volume_price_corr20,2021_2022,C,123,0.1620268930947454
volume_price_corr20,2024,ALL,242,0.0014183385262893904
volume_price_corr20,2024,U,75,-0.002661732807064644
volume_price_corr20,2024,R,76,0.05672643795158807
volume_price_corr20,2024,D,58,0.18747789953750854
volume_price_corr20,2024,C,33,-0.19420071932096686
volume_price_corr20,2025,ALL,243,-0.07443362793398843
volume_price_corr20,2025,U,104,-0.07047085623741187
volume_price_corr20,2025,R,45,-0.059759513246865285
volume_price_corr20,2025,D,50,0.10313592497850922
volume_price_corr20,2025,C,44,0.05843583866560362
volume_price_corr20,2026,ALL,169,0.008546966069189808
volume_price_corr20,2026,U,37,0.11463841617560987
volume_price_corr20,2026,R,31,-0.13555221088178152
volume_price_corr20,2026,D,58,0.07879591508086306
volume_price_corr20,2026,C,43,-0.26975376694290326
volume_price_corr20,original_PT_window,ALL,891,-0.023361047141955152
volume_price_corr20,original_PT_window,U,302,-0.08611521469465118
