factor,stage,bucket,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters
volume_ratio,ALL,1,127,-0.7299771724145887,-0.67778006688963,33.85826771653544,-36067.656681954446,0.47557472822391866,0.49648675083027993,-9.70526855644401,-37799.07886620961,31
volume_ratio,ALL,2,126,-0.49493013311040107,-0.08115879040468175,49.2063492063492,-19670.921152756422,0.6409453838024606,0.7095362660321373,-11.124780081111952,-32133.76462855056,41
volume_ratio,ALL,3,132,-0.5669014229529372,-0.06133142349213665,49.24242424242424,-28062.873981528435,0.6027743671547252,0.6522434926527586,-10.70066262246178,-33268.679943640476,36
volume_ratio,ALL,4,145,-1.1283771602709018,-0.8802995421115324,40.0,-52339.317183108404,0.43342012022441884,0.5240163126088172,-11.91543918827798,-53366.77317120839,34
volume_ratio,ALL,5,124,-0.003823232240737089,0.30218466149888085,55.64516129032258,2878.839243833555,0.9968840552264581,1.0532893472124654,-12.332728137168736,-15392.722720389693,30
clv,ALL,1,135,-0.9160426417169737,-0.7210080946225221,37.03703703703704,-46734.915477898416,0.35823328518744846,0.3812464737730177,-12.229427049039757,-46895.31661149843,42
clv,ALL,2,114,-1.0187955086197338,-0.840341850209475,36.84210526315789,-43581.484039381576,0.42673189869032135,0.44622406826373323,-10.105854526435447,-44449.17795948159,43
clv,ALL,3,131,-0.5889824461195017,-0.0989267747747778,48.854961832061065,-29344.77304831441,0.5949219779086338,0.6253772187182826,-10.70066262246178,-38813.04971208252,40
clv,ALL,4,132,-0.3102333921399214,-0.0113250466146148,49.24242424242424,1230.4913310016082,0.7911979334484203,1.0177279673536277,-12.332728137168736,-22056.824337391776,41
clv,ALL,5,142,-0.2540288853304064,0.5175974624275805,53.52112676056338,-14831.24852092134,0.817704751074089,0.8192717824170648,-11.91543918827798,-23517.136044257604,43
clv3,ALL,1,111,-0.8906691871573895,-0.6386820291891546,37.83783783783784,-39409.32936687052,0.4344203599455782,0.4277983175219048,-12.229427049039757,-40582.10830062055,40
clv3,ALL,2,134,-0.967704050921694,-0.7454700212358651,41.7910447761194,-48396.920823626395,0.38118217266426546,0.41639431752959427,-12.332728137168736,-48887.26248902639,39
clv3,ALL,3,126,-0.5991564457567704,-0.5353408006148264,40.476190476190474,-10072.22997240948,0.6067846719394371,0.8554565134689,-9.916277761251097,-36489.893427865776,42
clv3,ALL,4,144,-0.5651417074761473,-0.15195055085236636,48.61111111111111,-39414.23660210942,0.6302063352257739,0.5702727497699824,-11.91543918827798,-42175.28610721644,37
clv3,ALL,5,139,-0.061707294212860385,0.515837689375,56.11510791366906,4030.7870095016706,0.9532204974646049,1.05690657279838,-10.155278745951652,-20442.87531922679,44
