factor,stage,bucket,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters
ret1,ALL,1,136,-0.6337874711976286,-0.626400186944445,41.911764705882355,-29975.03887558043,0.5740966764536313,0.6419052108120261,-12.229427049039757,-31962.29117840652,38
ret1,ALL,2,112,-0.8499498736510736,-0.5265380011967402,39.285714285714285,-27762.426200538554,0.44721013505425183,0.5472812548099089,-11.294812295554268,-30760.093268115685,46
ret1,ALL,3,135,-0.7426506654187823,-0.4376746680152127,42.96296296296296,-39414.26771387344,0.525309402024514,0.5450750235718534,-9.916277761251097,-42125.468044371526,39
ret1,ALL,4,132,-0.48354361896278064,-0.02048717759396605,50.0,-21116.326503876353,0.6394191698022532,0.6787308351321255,-9.120108097805772,-29328.577487191505,45
ret1,ALL,5,139,-0.349014209129948,0.1857337772420583,51.798561151079134,-14993.870461645365,0.7763941157940353,0.8269341813594938,-12.332728137168736,-28440.914207890553,39
ret1,U,1,39,-0.7745114008903234,-0.847637721180383,43.58974358974359,-8296.00786836186,0.5864737770341588,0.7556420208997245,-10.70066262246178,-11000.687250044883,15
ret1,U,2,34,-1.0049071008416373,-0.18440889211129366,47.05882352941176,-14001.209994864828,0.4375545648336887,0.4639055612806641,-11.294812295554268,-19371.103939281908,17
ret1,U,3,41,-0.8161559265077379,-0.3195731659275936,43.90243902439025,-12016.314689227844,0.48823077110533164,0.5711424819868411,-9.916277761251097,-23176.512982439857,15
ret1,U,4,39,-1.2501458750950145,-0.5599742136193162,48.717948717948715,-16758.495778148812,0.3807454865692117,0.4395242349039207,-8.955440431609654,-18937.195329383878,22
ret1,U,5,63,-0.5732246249464633,-0.012280754549983,49.2063492063492,-6641.878924992708,0.6895897134962722,0.8592188851155417,-12.332728137168736,-21332.846818334867,15
ret1,R,1,47,-0.6394359305510142,-0.7798533561794848,36.17021276595745,-13988.442714788807,0.5552571251503436,0.5340093887608799,-6.311610978034164,-14007.875602538812,20
ret1,R,2,24,-0.5593152252570087,-0.5677011293088561,37.5,-4077.5465394129196,0.5528276339931897,0.592341328660227,-6.006505000475725,-4813.446018312918,14
ret1,R,3,30,-0.8760069561232764,-0.5432505758604875,43.333333333333336,-12178.460425908883,0.4616874584923012,0.40621275373565285,-8.628950102799992,-13150.49825638798,16
ret1,R,4,30,-0.6231129063935295,-0.8812585200001395,43.333333333333336,-9421.304756001844,0.5929100202358094,0.4976122758608655,-6.728208157067416,-11159.072213006879,12
ret1,R,5,21,-0.3728153005908366,0.1414510594889213,52.38095238095239,615.1441156931032,0.7861065565336893,1.0479200950530139,-8.223646820562418,-9350.730131129952,12
ret1,D,1,36,-0.6677705295152483,-0.19466951895043905,41.66666666666667,-7377.652533544831,0.46886441079487273,0.4874832803912941,-12.229427049039757,-9806.411764347888,16
ret1,D,2,35,-0.7353763479971358,-0.2359529609192322,42.857142857142854,-3314.0988516569096,0.48325876552213437,0.7388909253911623,-11.124780081111952,-4846.40653121394,16
ret1,D,3,46,-0.40693071331632763,-0.3700319770527065,43.47826086956522,-5962.355639578769,0.7001672429954254,0.7468917230626537,-9.098307319576708,-8095.38077286791,15
ret1,D,4,34,-0.13990588710895335,0.23505508452452203,50.0,-1394.3522435918526,0.8152525640219135,0.8347264054403291,-4.459903419932236,-4039.227438911894,16
ret1,D,5,15,-0.5437429156662112,0.1857337772420583,53.333333333333336,-6628.554304572997,0.49580142272539823,0.2449210662829666,-11.91543918827798,-8473.071894462008,10
ret1,C,1,14,-0.13542311783630367,0.4336518661210015,57.14285714285714,-312.93575888492467,0.8851026950584313,0.9414318013976282,-6.639395060878929,-2646.4292841239667,10
ret1,C,2,19,-1.150831938644031,-1.507471780645152,21.052631578947366,-6369.570814603896,0.3087624250615921,0.49092213168496407,-5.036557294660186,-6957.754578512946,10
ret1,C,3,18,-1.2109125193593886,-0.9901064925075475,38.88888888888889,-9257.136959157942,0.3695087983244895,0.3639166777252395,-9.500315327488163,-9959.594096346958,12
ret1,C,4,29,0.28890064755616635,0.6008375896032866,58.620689655172406,6457.8262738661615,1.3148044640206165,1.7476355332959197,-9.120108097805772,-2952.937216549994,12
ret1,C,5,40,0.08963603374912887,0.9667342379040516,55.00000000000001,-2338.5813477727743,1.0749495081001483,0.8689323394537626,-8.827690427622347,-6970.035481757855,17
ret3,ALL,1,128,-0.7903297091600595,-0.626400186944445,41.40625,-32864.15658302245,0.5209044342438683,0.6228283128242005,-12.229427049039757,-37739.79886977258,37
ret3,ALL,2,113,-0.6182433041856067,-0.505664900505041,40.707964601769916,-37076.989881389454,0.5325179824560426,0.4488579858602201,-8.552868772215849,-40679.122512589536,36
ret3,ALL,3,139,-0.6116140336470607,-0.3210299224756824,43.16546762589928,-19485.683792727395,0.5735690643674775,0.7134501829293842,-10.70066262246178,-27422.654819101444,38
ret3,ALL,4,138,-0.7873986249028686,-0.18773722222222855,45.65217391304348,-43237.086388024465,0.523570624572893,0.5222523874840058,-12.332728137168736,-45622.75332655555,44
ret3,ALL,5,136,-0.2153602755623873,0.2124221126764957,55.14705882352941,-598.0131103503641,0.8472432461745839,0.9915921213151971,-11.91543918827798,-23332.724873449875,36
ret3,U,1,25,-0.7360281260306758,-0.373307965523587,44.0,-4084.4415473619224,0.6154963693886405,0.8121245008434038,-8.955440431609654,-9686.98708295197,12
ret3,U,2,30,-0.6423953288212993,-0.48860552560445536,46.666666666666664,-11351.973816385866,0.5581124329006882,0.4583509328205638,-8.552868772215849,-19135.282707711904,17
ret3,U,3,36,-1.4667383783820114,-0.7357903927146396,41.66666666666667,-19268.552601145842,0.3383490889482542,0.40643593434180253,-10.70066262246178,-19268.55260114584,17
ret3,U,4,50,-1.0128107678155136,-0.8129855373996677,40.0,-17481.33647398679,0.509968050704874,0.6034617942767116,-12.332728137168736,-20704.930496089844,18
ret3,U,5,75,-0.5545111536340577,0.1221652756164519,54.666666666666664,-5527.602816715639,0.6523774892361823,0.8796259827936119,-10.155278745951652,-24802.17441229981,17
