window,label,stage,n,previous20_mean_pct,day_mean_log_bp,day_linked_pct,night_mean_log_bp,night_linked_pct,intraday_mean_log_bp,intraday_linked_pct,raw_night_mean_log_bp,raw_night_linked_pct,action_mean_log_bp,action_linked_pct,daily_down_pct,intraday_down_pct,night_down_pct,rt_net_mean_pct,pt_net_mean_pct,gross_rt_arith_mean_pct,remove5_worst_daily_mean_log_bp
primary,stage,ALL,654,6.490576710104088,23.055844698335303,351.70189109057407,-12.953404266469487,-57.13663291834723,36.00924896480478,953.8180312108991,-13.93038252903195,-59.7897005276632,-0.9769782625624628,-6.189592162141622,50.0,48.1651376146789,52.44648318042814,-0.6024282179441639,0.21989924785540438,-0.4112664727891246,30.655155943343217
primary,stage,U,216,26.756893971242114,41.066036122015085,142.78992571790027,-17.718549046880558,-31.799661609443557,58.78458516889574,255.9951921756438,-18.617534503227855,-33.11120657849272,-0.8989854563472975,-1.9230769230769273,50.0,49.074074074074076,54.166666666666664,-0.8458519423633717,0.47049547780654605,-0.6583381591195464,60.07075204419547
primary,stage,R,152,-3.1608699350207345,33.35617247644007,66.03257559526588,-6.54273097262676,-9.466434159771989,39.89890344906688,83.39339012480438,-6.900843631134594,-9.957897833522194,-0.35811265850783885,-0.5428524428359949,46.05263157894737,42.76315789473684,47.368421052631575,-0.633419548223537,0.25225243044629747,-0.4429466515384455,59.837582243007475
primary,stage,D,166,-11.173315890880168,-0.09860254099453791,-0.16354633503865823,-25.755656546918985,-34.78912253458846,25.657054005924405,53.09785352591745,-28.10704089060359,-37.2854607197917,-2.351384343684596,-3.8281008970126478,53.01204819277109,49.39759036144578,57.22891566265061,-0.4904196864560082,0.09903364820113696,-0.2948003214268134,28.500632628316243
primary,stage,C,120,6.671422821908639,9.620736964518567,12.237709627901529,5.213452487358134,6.455985265952766,4.407284477160258,5.431093749688554,5.213452487358134,6.455985265952766,0.0,0.0,50.83333333333333,51.66666666666667,49.166666666666664,-0.2799549641943322,-0.10495725115004555,-0.08752072036308914,40.44161395697393
primary,stage_contemporaneous_hindsight,ALL,654,6.490576710104088,23.055844698335303,351.70189109057407,-12.953404266469487,-57.13663291834723,36.00924896480478,953.8180312108991,-13.93038252903195,-59.7897005276632,-0.9769782625624628,-6.189592162141622,50.0,48.1651376146789,52.44648318042814,-0.6024282179441639,0.21989924785540438,-0.4112664727891246,30.655155943343217
primary,stage_contemporaneous_hindsight,U,216,26.574930533375877,104.69721286181186,859.7088755190467,1.5247707245776718,3.34834098859734,103.17244213723424,828.615656854071,0.6257852682303785,1.360872892662781,-0.8989854563472975,-1.9230769230769273,44.44444444444444,44.907407407407405,50.46296296296296,-1.292156327421272,0.9156884618861422,-1.104198228396691,123.70239868720157
primary,stage_contemporaneous_hindsight,R,152,-1.447846462808194,-79.08120296057416,-69.94178801594508,-42.265274035272355,-47.3988479996092,-36.81592892530172,-42.85636180775727,-42.265274035272355,-47.3988479996092,0.0,0.0,57.23684210526315,51.31578947368421,53.94736842105263,0.1331328323951644,-0.5128411001234606,0.32306767031472616,-53.601011952459615
primary,stage_contemporaneous_hindsight,D,166,-11.068970909878463,-73.64427681968415,-70.5505512787041,-38.5186874768389,-47.239649354637486,-35.1255893428453,-44.18261372210118,-40.870071820523506,-49.259368810959636,-2.351384343684596,-3.8281008970126478,62.048192771084345,57.22891566265061,60.8433734939759,0.13055529026523113,-0.5204292756881405,0.3255736282752617,-47.32906880188548
primary,stage_contemporaneous_hindsight,C,119,4.741156431550638,140.20347341804515,430.37882727424164,35.42077721948137,52.425726018167175,104.78269619856358,247.9588656911014,34.96335600861421,51.59827924096706,-0.4574212108671555,-0.5428524428359949,34.45378151260504,37.81512605042017,42.016806722689076,-1.297142098027899,0.9100831901167897,-1.103888442561052,171.7177274025035
2023,stage,ALL,242,6.399926829631393,21.63390458328845,68.79934079370558,-9.907810831356704,-21.319042431160867,31.541715414645186,114.53645965864187,-10.92224574030683,-23.227090343985445,-1.0144349089501257,-2.4250440917107596,52.066115702479344,50.82644628099173,50.413223140495866,-0.6182521404498512,0.11818150894383313,-0.3684106354434784,43.11661041359392
2023,stage,U,86,30.27097322289015,55.30054195591732,60.8954615272415,-6.280274317098177,-5.257770801692382,61.58081627301561,69.82444142249055,-6.280274317098177,-5.257770801692382,0.0,0.0,52.32558139534884,48.837209302325576,54.65116279069767,-0.9676335646724474,0.4284769747216058,-0.6984042937508065,112.59016751475215
2023,stage,R,77,-3.855814790833988,39.98283375150328,36.05211432123711,-3.484734660563714,-2.6475664840316613,43.46756841206707,39.752145280396206,-6.6729586601212345,-5.008405921147284,-3.188223999557538,-2.4250440917107596,48.05194805194805,48.05194805194805,51.94805194805194,-0.7424725518356194,0.21058096562468367,-0.47678526603653515,79.55762288040489
2023,stage,D,57,-12.624872941971274,2.405524942768296,1.380592579760964,-17.94451165921638,-9.722661633531294,20.350036601984602,12.299049145888691,-17.94451165921638,-9.722661633531294,0.0,0.0,50.877192982456144,49.122807017543856,43.859649122807014,-0.4508038648544787,0.02367750196831943,-0.23729861337576674,59.0978862937475
2023,stage,C,22,-1.7275412641443695,-124.37430998439221,-23.938159209937858,-25.74658620359725,-5.50681681019558,-98.62772378079512,-19.505473069649963,-25.74658620359725,-5.50681681019558,0.0,0.0,68.18181818181817,72.72727272727273,45.45454545454545,0.748439789137021,-1.1733384830429698,0.9611764514763411,-23.714428710560714
2023,stage_contemporaneous_hindsight,ALL,242,6.399926829631393,21.63390458328845,68.79934079370558,-9.907810831356704,-21.319042431160867,31.541715414645186,114.53645965864187,-10.92224574030683,-23.227090343985445,-1.0144349089501257,-2.4250440917107596,52.066115702479344,50.82644628099173,50.413223140495866,-0.6182521404498512,0.11818150894383313,-0.3684106354434784,43.11661041359392
2023,stage_contemporaneous_hindsight,U,86,30.05795914146419,140.00304201491218,233.351119475273,0.7960513435323687,0.6869529265550218,139.20699067137994,231.07677786061575,0.7960513435323687,0.6869529265550218,0.0,0.0,44.18604651162791,40.69767441860465,50.0,-1.739112724025991,1.196654351973332,-1.468617472238325,184.49313116705073
2023,stage_contemporaneous_hindsight,R,76,-3.4146032903676438,-45.64109190220955,-29.310440584766045,-8.951352794951692,-6.576781656160245,-36.689739107257836,-24.33405670626292,-12.181527110292864,-8.842335892893562,-3.23017431534119,-2.4250440917107596,56.57894736842105,56.57894736842105,55.26315789473685,0.054549222592675375,-0.5832133160516982,0.31902524867684273,13.579029118081499
