name,date,stage,net_pct,cash
PT_U1,2024-02-26,U,0.1885324877840999,33.1817178500016
PT_U1,2024-03-14,U,0.1550922832674674,35.31451290000233
PT_U1,2024-05-17,U,1.790465982142854,451.19742749999926
PT_U1,2024-06-21,U,3.335372444909102,917.227422350003
PT_U1,2024-06-25,U,-1.383951388639742,-370.3453915999949
PT_U1,2024-10-16,U,-0.5328272676831685,-125.80051789999608
PT_U1,2025-02-25,U,1.030995488596497,235.0669714000013
PT_U1,2025-07-23,U,0.1118711147169778,29.645845399999125
PT_U1,2025-08-04,U,1.5746436584876615,510.1845453500024
PT_U1,2025-08-15,U,5.144731509812165,2191.141150029001
PT_U1,2025-08-22,U,2.806286679080897,1248.797572190999
PT_U1,2025-08-27,U,1.4191128763200147,638.6007943440067
PT_U1,2025-08-28,U,9.540744023582985,4255.171834518011
PT_U1,2025-09-09,U,-3.369841558624988,-1698.4001455469938
PT_U1,2025-09-17,U,3.585729258733456,2111.994533394005
PT_U1,2025-09-24,U,-0.4258650826438902,-292.9951768589965
PT_U1,2025-10-13,U,3.8818633742557287,2367.9366582959947
PT_U1,2025-10-23,U,-1.4276236533749838,-925.1001273869896
PT_U1,2025-11-03,U,6.251889854791096,4398.829701831015
PT_U1,2025-11-05,U,6.824720805590963,4798.461198411006
PT_U1,2026-05-18,U,4.52108200724047,2978.4888263700213
PT_U1,2026-06-05,U,-4.6126820117264495,-3574.8285590879987
PT_U1,2026-06-08,U,0.5202433456536848,364.118317623014
PT_U1,2026-06-17,U,1.1304619140000025,810.5411923380018
PT_U1,2026-06-24,U,4.993097887405519,3644.9614578060296
PT_R1,2024-03-28,R,4.392895484611964,984.8871676500024
PT_R1,2024-04-24,R,5.598586898667947,1176.8229661000023
PT_R1,2024-07-09,R,6.81511534870849,1846.8962595000007
PT_R1,2024-07-16,R,1.6636597459198847,448.52266750000086
PT_R1,2024-10-31,R,-1.2121691377550723,-296.9814387499927
PT_R1,2024-11-04,R,2.116505404751891,503.3049852499997
PT_R1,2024-11-19,R,0.9556043980810272,224.0892313500009
PT_R1,2024-11-26,R,0.715078682046606,156.53072350000204
