start,end,n,day_pct,night_pct,intraday_pct,rt_cash
2020-03-10,2020-04-07,20,-12.546353522867742,-0.837812120769282,-11.80746578157217,960.494728650032
2020-04-13,2020-04-14,2,1.3950073421439158,-0.3460578549773142,1.747111212707993,-314.08344120000004
2020-05-21,2020-06-01,8,0.2166064981949386,0.9718472357870439,-0.7479715963089328,-197.6712944999784
2020-09-07,2020-09-08,2,0.2822865208186397,-1.1291460832745237,1.4275517487508995,-276.54702599999746
2020-09-10,2020-10-09,16,-0.4313443565779918,1.258428729348316,-1.6687727699615882,-369.16433884997343
2020-12-21,2020-12-30,8,0.14652014652015757,-0.0599950957465223,0.20663921566195934,-327.51545014998743
2021-02-26,2021-03-03,4,-0.14367816091954458,-0.6513287498872835,0.510978740409868,-221.24956534999598
2021-03-05,2021-03-05,1,0.8804108584005821,-0.9537784299339713,1.85185185185186,-287.3907512499964
2021-03-09,2021-03-09,1,1.4598540145985384,-0.14598540145984717,1.6081871345029253,-257.7389610999991
2021-03-18,2021-03-24,5,2.2878228782287695,0.1463484108249871,2.1383450334294123,-477.0498064499885
2021-03-30,2021-03-30,1,5.201465201465205,0.659340659340657,4.512372634643369,-658.0641330999993
2021-05-20,2021-06-18,21,-5.450416351249019,-1.8111316792502905,-3.706412686324524,-251.88834754996643
2021-06-22,2021-06-23,2,1.453957996768993,0.00039370647080203187,1.4535585675440201,-249.95325589999888
2021-07-05,2021-08-02,21,0.8327032768082409,0.028468454527025382,0.8040059342174456,-796.479390449978
2021-10-22,2021-11-04,10,1.1314186248911853,-0.7191968724254195,1.8640214815130052,-540.107956049979
2021-12-02,2021-12-08,5,2.6642984014209756,-0.27098014622083844,2.9432541821281895,-493.88634664999313
2022-01-28,2022-02-21,12,2.425876010781696,0.4518183573452956,1.9651786156960376,-613.0274310999819
2022-02-23,2022-02-23,1,0.6211180124223726,0.0,0.6211180124223726,-102.79546534999848
2022-02-25,2022-03-03,5,-1.3747683547116196e-14,-0.26889285486514874,0.2696178379668782,-192.94574014999222
2022-03-08,2022-04-14,26,-6.654343807763363,1.999404306500397,-8.484116327052215,124.69585460003807
2022-04-19,2022-05-20,21,-5.210420841683354,-2.7501266378753044,-2.5298687995682347,-350.7785386999848
2022-05-25,2022-05-26,2,1.3186813186813486,0.0003606896385902581,1.3183158740139787,-176.8968805999993
2022-05-31,2022-05-31,1,2.6172300981461394,0.0,2.6172300981461394,-268.64121619999906
2022-09-19,2022-11-01,27,-6.140350877192917,-1.8209567974357532,-4.399507205265186,-312.37246789997573
2023-08-24,2023-08-24,1,5.107778819119035,5.435801312089983,-0.31111111111111756,14.596950349999858
2023-08-28,2023-08-31,4,7.824803149606286,5.08606775726916,2.606183151379445,-720.1127452499945
2023-09-04,2023-09-22,15,-6.164705882352945,-6.01308954020382,-0.1613164443936121,-487.1050869999551
2023-09-26,2023-09-26,1,2.2809745982374396,1.0368066355624705,1.2314007183170883,-279.74232869999696
2023-10-10,2023-10-11,2,-0.46728971962618104,1.4324271645804572,-1.8728891118066457,281.84039930000813
2023-10-13,2023-11-09,20,-16.85333333333336,-17.448513962564764,0.7209811207535409,-445.8735438999749
2023-12-06,2023-12-08,3,11.378091872791542,1.0520761820861106,10.218509189359862,-1555.9114872999914
2023-12-13,2023-12-19,5,-0.5897771952817805,0.8622683898339468,-1.4396320926509023,55.70542110001267
2023-12-21,2023-12-28,6,1.7182130584192428,0.5362845892569619,1.1756237800025011,-370.06082089999325
2024-01-03,2024-01-18,12,-3.450704225352106,-3.026642027872486,-0.4372976313777526,-279.9885145999905
2024-01-31,2024-02-01,2,7.8518518518518485,-2.813813061746935,10.974465867639378,-1500.9013996999959
2024-08-02,2024-08-30,21,-12.220283367029312,-11.523499457717596,-0.7875355659876453,-557.0425884499238
2024-09-03,2024-09-24,14,5.809768637532143,-4.276610539141155,10.537005880676178,-2491.737387249983
2024-12-10,2024-12-19,8,0.27112516945322884,-0.5495445654198908,0.8252046019165787,-504.913235799982
2024-12-23,2024-12-23,1,0.13623978201635634,0.95367847411445,-0.8097165991902799,136.30775840000058
2025-01-03,2025-01-21,13,2.4142926122645667,0.3598585304547526,2.0470675346621907,-955.8050820999674
2025-02-06,2025-02-07,2,7.750000000000003,2.4921142578124846,5.130039301327737,-1132.8148602499937
2025-03-20,2025-04-25,26,-13.225499524262615,-12.97166917692206,-0.29166404197348794,-628.1970331499413
2025-04-29,2025-04-29,1,0.49999999999998934,-0.05555555555556424,0.5558643690939391,-137.39130300000087
2025-12-04,2025-12-08,3,2.804798962386508,-0.951824378708952,3.792723407101267,-2640.2718329369723
2025-12-15,2025-12-17,3,-0.4048582995951383,-3.708896340119303,3.431301454591979,-2359.228916807985
2025-12-19,2025-12-22,2,4.015099519560747,3.5996243367619045,0.40103927544012524,-472.634485901979
2026-01-09,2026-01-14,4,-2.1685961193543135,-0.47061889404451435,-1.7060060119354836,595.7939583810403
2026-01-27,2026-02-25,16,-3.155585555180544,-1.2347869621994472,-1.9448128889733043,-232.57385267391533
2026-03-02,2026-04-01,23,-4.272890484739661,-6.841365002745968,2.7570976303828014,-3430.3071382828825
2026-07-17,2026-08-05,14,5.814757701206945,-0.8967692561341516,6.772258489420166,-5998.366547603906
2026-09-07,2026-09-07,1,4.521902967498814,1.4287957293138698,3.04953560371517,-2086.9411112189846
